[00000.00-00004.00] 那我们了解了时间就是人作事
[01221.46-01223.62] 那这个过程就叫认识的什么
[01223.62-01226.08] 就叫认识的总的规律
[01226.08-01227.60] 所以你看书上在说的
[01227.60-01228.96] 说人类的认识过程
[01228.96-01231.44] 是从实验旧之上形成感谢认识
[01231.44-01233.20] 在从感谢形成理性
[01233.20-01236.52] 在从理性认识到实验的能动的变成过程
[01236.52-01239.76] 微那起来就是从实验到认识
[01239.76-01243.52] 在实验在认识徐环望父母的身发的过程
[01243.52-01245.20] 同们不要小看这句话
[01245.20-01248.44] 就仅仅这句话里面就有两个考虑
[01248.44-01250.04] 不能说是独立的考虑
[01250.04-01252.64] 但是一般情况之下都是个别的选项
[01252.64-01254.36] 同时来看一下在这里给到的
[01254.36-01256.84] 从感谢从实验到认识
[01256.84-01260.00] 在时间在认识 同们把它标注出来一星
[01260.00-01261.60] 然后写个圈一
[01262.24-01264.96] 大家一调知道认识的旗电在那人
[01265.44-01267.08] 在于实际件上
[01267.08-01269.24] 所以他经常给到的说
[01269.24-01270.64] 实际的形成过程
[01270.64-01272.20] 认识的形成过程是
[01272.20-01274.60] 实际到认识在时间在认识的过程
[01274.60-01275.76] 这样说就对了
[01275.76-01277.28] 如果他给到你说什么呢
[01277.28-01280.12] 说我们所说的认识的总的规律
[01280.12-01281.32] 是认识
[01283.00-01284.40] 到实际
[01285.28-01286.72] 然后再给到说
[01286.72-01287.74] 在认识
[01289.02-01290.04] 在时间
[01290.30-01292.10] 循环望附不断生化的过程
[01292.10-01293.38] 这种说法就一定是啥
[01293.64-01295.16] 就一定是错的
[01295.42-01297.22] 因为在这里面的起点
[01297.48-01299.26] 一定是时间而不能是认识
[01299.52-01301.32] 这个地方考过一个选项
[01301.58-01302.34] 大家一定要注意
[01302.60-01303.36] 只是第一个点
[01303.62-01304.64] 第二个他说了
[01304.90-01307.70] 这是一个循环望附不断生化的上升过程
[01307.96-01310.78] 这里面出现了一个词叫做循环望附
[01311.04-01315.14] 那所谓的循环附在这个地方大家就一定要认知到他
[01315.40-01316.68] 我们所说的
[01316.72-01321.56] 这个样的一个过程 你看时间认识实现认识是不断的循环
[01321.56-01324.80] 这里面就意味着认识的过程
[01324.80-01329.80] 现在旁边就意味着认识的过程是无限反复的
[01329.80-01334.40] 所以在这里认识的过程就有反复性和无限性
[01335.40-01338.08] 就有反复性和无限性
[01338.08-01340.52] 当然这里大家注意一下 紧线于什么
[01340.52-01343.40] 紧线于是过程的反复
[01343.40-01345.92] 你看只是龙桶的过程的反复
[01345.92-01351.04] 是不是意味着 认识在这个里面是原地赚川循环不动的
[01351.04-01352.06] 指定不是
[01352.06-01356.16] 你每一次经过时间经过简单的时间
[01356.16-01358.46] 就会得到不断的什么 身患
[01358.46-01362.30] 也认识在这里面 他仅仅强调是过程的反复性和无限性
[01362.30-01367.16] 而并不意味着 认识自身
[01367.16-01368.96] 无限循环 明白吧
[01368.96-01371.78] 如果他说认识自身是无限循环的
[01371.78-01375.10] 那就意味着认知 他其实没有任何提升的与利了
[01375.10-01378.68] 咱们用时间去检验它完善它的意义在哪里呢
[01378.68-01380.98] 所以在这里只能是过程反复
[01380.98-01382.90] 而不能是认识自身反复
[01382.90-01386.82] 因为在时间过程当中选所形成的认识是不断的怎么样
[01386.82-01387.90] 身化的
[01387.90-01390.70] 这两个地方考过判论体和选项
[01390.70-01391.70] 一定要注意
[01391.70-01393.06] 不要小看这一句话
[01393.06-01395.70] 其实是有两个考电在里面的
[01395.70-01396.86] 两个考电在里面的
[01396.86-01401.94] 这个就是我们所说的认识的形成过程认识形成过程
[01401.94-01402.34] 好
[01402.34-01404.34] 这个就是我们所说的认识
[01404.34-01406.86] 把认识的点 做一个简单的书里
[01406.86-01408.30] 许人第一个什么是认识
[01408.30-01409.34] 概念不重要
[01409.34-01412.14] 只需要在这里知道是做一件事
[01412.14-01413.10] 就会形成看法
[01413.10-01414.34] 而这个看法
[01414.34-01415.82] 它有主体上的差异
[01415.82-01417.50] 所以我们给到了第一个考点
[01417.50-01419.38] 叫认识具有主体性
[01419.38-01423.22] 关键就是不同的人对同意个事物产生
[01423.22-01424.34] 不同的看法
[01424.34-01425.82] 一定是对同意个事物
[01425.82-01428.98] 想想想想过和想想他们雷特
[01428.98-01430.54] 这是第一个点
[01430.54-01432.14] 第二个我们就会说
[01432.14-01433.82] 为什么会出现主体性
[01433.82-01436.64] 因为主题本身是存在差异的
[01436.64-01439.62] 所以我们也说了他存在主题差异性
[01439.62-01442.52] 所以导致认识具有主题性只是第一个
[01442.52-01444.32] 第二个就是我们所说的
[01444.32-01446.20] 认识他有一定的规律
[01446.20-01449.32] 这个规律就分为基本规律和总规律
[01449.32-01453.02] 基本规律两次非月从感性到理性认识
[01453.02-01456.02] 在这里大家知道感性认识和理性认识
[01456.02-01458.46] 感性低级有三种表现
[01458.46-01460.52] 理性高级也有三种表现
[01460.52-01462.72] 两种认识之间有一定的关系
[01462.72-01464.70] 感星月是依賴于李星任事
[01464.70-01467.84] 所以说感星任事是基础
[01467.84-01471.68] 第2个就是他们两支件相顾我甚头
[01471.68-01474.74] 我们形成的李星任事可以用来知道时间
[01474.74-01479.80] 于是又在这里面形成了就李星任事到时间的第2次分约
[01479.80-01481.16] 但是我们会发现
[01481.16-01482.88] 我们所形成的这个任事
[01482.88-01484.48] 它总是追尋的
[01484.48-01488.08] 从时间到任事再到时间再任事的一个过程
[01488.08-01490.06] 所以在这里明确的第一个考虑
[01490.06-01491.60] 其粵一定要是实现
[01491.60-01494.94] 第二个是过程具有无线反复
[01494.94-01498.00] 而并不是认识内容反复
[01498.00-01500.56] 认识内容是不断生画的
[01500.56-01503.12] 它只是强调的是过程反复
[01503.12-01504.14] 就这么几个点
[01504.14-01505.92] 你掰不手指头属于数
[01505.92-01507.22] 一共有没有几句话
[01507.22-01508.70] 所以同学们把这个点
[01508.70-01510.20] 去给它理解清晰
[01510.20-01512.32] 能处理解行题目的地方
[01512.32-01514.12] 其实在主体性的这个地方
[01514.90-01516.94] 是一个理解题目经常出题的点
[01516.94-01519.82] 还有一个就是在我们所说的关系这一块
[01519.82-01520.84] 经常会出体
[01520.84-01522.80] 所以这个就是我们所说的
[01522.80-01523.82] 人士
[01523.82-01525.44] 这就是我们所说的人士了
