[00000.00-00003.00] 好 那我就把行政法给大家讲完了
[00003.00-00005.00] 那我们在整个行政法当中呢
[01151.44-01152.52] 你是不是就知道
[01152.52-01153.88] 我有这个具形认行为了
[01153.88-01155.00] 从那天开始算
[01155.00-01157.76] 算多少时间的六十天提出行认服役
[01157.76-01158.96] 那你提醒认服役
[01158.96-01159.60] 你可以怎么提
[01159.60-01160.16] 我们画一下
[01160.16-01163.24] 你可以输面身体,也可以扣头身体
[01163.24-01168.36] 你可以拿着扶椅材料,直接去到,就跟他做我要身体形成扶椅
[01168.36-01172.32] 对吧,这是我的扶椅材料,我的身体,交给相应的扶椅机关
[01172.32-01176.56] 你也可以,也可以直接跑到十关局或者是线政府
[01176.56-01179.56] 说我要去,我要扶椅,线关局
[01179.56-01183.00] 那就说你啥材料没带你只是,去那一方登记说你要扶椅
[01183.00-01186.44] 那你这个就说什么,就说一口扣身体
[01186.44-01189.24] 所以在这里面大家注意一下 行政副一的话呢
[01189.24-01192.72] 第一个副一的时间 直到60日内
[01192.72-01195.84] 第二个副一的形势 就是输面或者是扣头
[01195.84-01199.80] 那这种情况下 你来到试关局或者是现政府说我要副一
[01199.80-01202.40] 现关局 对吧 那这种情况之下
[01202.40-01204.28] 你就把相得材料交给我了
[01204.28-01207.04] 或者是你把相应的这种输面说明都给我了
[01207.04-01209.92] 或者你给我跨跨一顿表述 反正就是跟我说了
[01209.92-01211.08] 那这种情况之下
[01211.08-01212.80] 我是不是接待你的工作人员
[01212.80-01215.64] 我要判断这个情况 到底是不是无力取弄
[01215.64-01217.28] 还真的是欺货你的权益啦
[01217.28-01219.66] 所以我在你申请之后
[01219.66-01222.44] 我会对你的申请进行什么
[01222.44-01223.82] 进行受理
[01223.82-01225.48] 受理无非就那么激动情况
[01225.48-01227.80] 大家应该还记得咱们前面说过的
[01227.80-01229.40] 受理有激动情况
[01229.40-01230.92] 这个受理和前面
[01230.92-01233.80] 咱们行政处罚的那个
[01233.80-01234.84] 一样 对吧
[01234.84-01237.00] 或者是发放行政循可的那个事要呢
[01237.00-01238.60] 受理第一个就是你
[01238.60-01240.76] 符合要求那么OK我受理
[01240.76-01242.04] 如果你不符合要求
[01242.04-01242.80] 那不受理
[01242.80-01243.72] 如果你确材料
[01243.72-01245.96] 那五日那高中你补征之后受理
[01245.96-01246.80] 结合前面一样
[01246.80-01247.92] 你看对不符合的
[01247.92-01248.88] 不以说理
[01248.88-01250.40] 说面告知对于符合的
[01250.40-01251.12] 那这时候
[01251.12-01252.36] 但不属于本集观
[01252.36-01254.64] 那我就告知你像其他集观去体
[01254.64-01255.32] 比如说
[01256.32-01258.08] 现观分局对你的法款
[01259.36-01260.08] 反了之后
[01260.08-01261.64] 你要么去找世观安全
[01261.64-01262.80] 要么去找现政府
[01262.80-01264.00] 结观你跑到工商局
[01264.00-01265.36] 你说我要告现观局
[01265.96-01266.88] 你确实是
[01266.88-01267.72] 他反应不对
[01267.72-01268.72] 就让你确实应该告
[01268.72-01269.64] 这种就照个什么
[01269.64-01270.64] 符合法律规定
[01270.64-01272.96] 但是工商局能不能管到人家
[01272.96-01275.78] 工商局管道人家他不属于工商局管的
[01275.78-01276.80] 工商局干嘛
[01276.80-01279.12] 英文当告知他向有关行政机关
[01279.12-01281.74] 提出你告他你去找谁去找新政府
[01281.74-01283.20] 要么就去找实关局
[01284.22-01285.76] 所以这是对于他了一个什么
[01285.76-01286.78] 他的一个收理
[01286.78-01289.86] 所以他的收理就包括我们前面所说的
[01289.86-01291.46] 第一个就是要符合
[01291.46-01294.20] 那你这种情况之下就收理
[01295.36-01296.52] 但是你告错了
[01296.52-01297.90] 但是确实你符合
[01297.90-01299.34] 符合但是你告错了
[01299.34-01300.36] 高错了怎么办
[01300.36-01302.92] 你就要告知他找对的就行了
[01304.20-01306.76] 告知其枪有关机关题
[01307.02-01308.04] 那这是在这
[01308.04-01310.86] 如果你不符合那你不符合我一看
[01310.86-01313.92] 他的余法有句而且出一个正常人的认知
[01313.92-01315.48] 这法的这个钱一点都不缘
[01315.48-01317.26] 那这首不符合副一条件
[01317.26-01318.24] 那这个时候
[01318.54-01320.34] 副一部门就可以怎么样不受理
[01320.34-01322.38] 还有一种情况的这事就是我们说了
[01322.38-01324.68] 行政副一的材料材料
[01327.24-01328.02] 不权呢
[01328.02-01332.50] 是不是和徐恨一样,怎么样?补正后受连时间上都一样
[01335.70-01339.10] 材料不全到补正后受连无人内通知一次性补正
[01339.10-01340.50] 这就是受礼
[01340.50-01343.10] 那受礼完了之后,大家知道,就是受礼
[01343.10-01344.98] 大家就也行动副一不受任何钱的
[01344.98-01348.74] 那受礼之后,他就要对受礼的东西进行什么?
[01348.74-01351.82] 进行审查、进行复合,进行神理
[01351.82-01354.98] 神理之后就要出决定,就要出决定
[01354.98-01359.48] 所以呼籲机关因字收到申请知证 请欢一下60内做出呼籲的决定
[01359.48-01362.58] 这个呼籲的决定就是它到底合法还是不合法呀
[01362.58-01367.18] 它的这个呼籲 你它做出的这个形容处法的这种行为
[01367.18-01370.08] 它到底应不应该撤回去呢 那这种情况之下
[01370.08-01373.68] 它要根据它实力的 我们所说的这个过程
[01373.68-01377.68] 根据它实力的结果做出相的决定 给出呼籲结果
[01377.68-01381.66] 呼籲结果 因于当自己受理申请知内60日做出
[01381.66-01385.18] 副一的结果有集中情况,有这么集中情况,咱们来看一下
[01385.18-01388.86] 《协政副一的结果》呢,第一种情况就是被申请人生了
[01388.86-01392.46] 被申请人是谁?被申请人是行政机关呢,就是关盛了
[01392.46-01394.22] 关盛了就两种情况啊
[01394.22-01398.18] 这是我处罚你,我不给你发振我把你的东西扣下了
[01398.18-01403.62] 那这个时候你去告我,然后呢他叫做被申请人生,那就意味着关盛
[01403.62-01408.02] 那这个行政机关盛了就意味着行政机关做出的这个事合理还是不合理
[01408.02-01409.18] 你告我處罰啊
[01409.18-01409.74] 對吧
[01409.74-01411.22] 你去找副一機關
[01411.22-01412.34] 去告我說愛
[01412.34-01414.10] 我關舉給我了一個罰款
[01414.10-01414.38] 對吧
[01414.38-01415.50] 關舉罰我什麼什麼東西
[01415.50-01416.34] 我扣下了
[01416.34-01417.34] 你正如去副一我
[01417.34-01419.42] 然後結果人家實力完了之後說
[01419.42-01420.54] 幹嘛說
[01420.90-01422.14] 你副一的
[01422.14-01423.38] 沒有什麼正於要求
[01423.38-01424.02] 那就是說
[01424.02-01425.26] 就是行政機關手
[01425.26-01426.66] 行政機關手就意味著什麼
[01426.66-01428.42] 就意味著他原本做的
[01428.70-01430.34] 具體行政行為是對的
[01430.34-01431.50] 人家沒緣啊
[01431.50-01432.46] 你人家該罰你
[01432.46-01433.10] 與罰有句
[01433.10-01434.10] 你確實傳統到了
[01434.10-01435.14] 人家該混東西
[01435.14-01435.98] 確實應該混
[01435.98-01436.70] 人家戴旅行
[01436.70-01437.22] 去說旅行
[01437.22-01437.82] 因為你
[01437.82-01439.42] 没有旅行自由意义吗
[01439.42-01442.16] 人家做的都是123卢列的非常清晰
[01442.16-01443.12] 人家做的对
[01443.12-01445.38] 既然人家做的对怎么办
[01445.88-01448.06] 你到原形政行为要不要改
[01448.06-01448.70] 不改
[01448.70-01449.72] 所以在这里叫什么
[01449.72-01450.52] 维持决定
[01450.52-01451.88] 就是女原来的处发
[01451.88-01454.52] 不与发挣的徐核或者是发挣的徐核
[01454.52-01455.52] 或者是我们所说的
[01455.52-01457.36] 什么带旅行形政强努所事
[01457.36-01459.12] 女原来的这些形政行为做的对
[01459.12-01460.02] 那你不需要改
[01460.02-01461.82] 所以在这里叫维持决定
[01461.82-01463.62] 那对于我们所说的
[01463.62-01466.32] 你也去负义我提出来的这些交球
[01466.32-01469.68] 比如说你说阿雅他发握款给我造成了精神上的一些压力
[01469.68-01471.52] 我要的够计赔查配理道歉
[01471.52-01473.68] 那你的这些诉讼性就是什么
[01473.68-01476.72] 就是我们所说的无力取腦吧
[01476.72-01478.36] 那你既然是无力取腦可以怎么办
[01478.36-01479.96] 可以不会你的富一请求吗
[01479.96-01481.44] 所以你看这是人家什么
[01481.44-01483.56] 这是关做的对呀
[01484.84-01485.84] 这是关做的对
[01485.84-01486.92] 那关做的对
[01486.92-01489.28] 你人家原本的你就不要给人的改了
[01489.28-01489.96] 交为持决定
[01489.96-01492.28] 第二个我你也提出来的
[01492.28-01493.20] 就是行政
[01493.20-01495.76] 行政富一申请人体出来的这些诉讼性求
[01495.76-01498.76] 不会因为人家做的对干嘛要给你配个钱
[01498.76-01501.36] 对吧这是第一个叫做背身挺人生
[01501.36-01502.96] 他一个就是身挺人生
[01502.96-01505.56] 身挺人生就因为瓜儿做对了还做错了
[01505.56-01506.56] 瓜儿做错了
[01506.56-01508.16] 那瓜儿做错了怎么办呢
[01508.16-01509.76] 你错了就要改吗
[01509.76-01510.96] 所以在这里你看
[01510.96-01513.16] 第一个要干嘛解除
[01514.56-01515.56] 你错了就要改啊
[01515.56-01516.96] 你原来的形象行为不对
[01516.96-01518.56] 你就要怎么办解除
[01518.56-01520.36] 那你原来的形象行为做的不对
[01520.36-01521.76] 那你就要做出新的
[01521.76-01523.16] 所以你看在这里叫什么
[01523.16-01525.90] 辩哥做出新的權利用的安排
[01525.90-01526.50] 對不對
[01526.50-01527.58] 在往下的說
[01527.58-01528.54] 旅行決定
[01528.54-01530.20] 決定被申請人旅行期限
[01530.20-01531.70] 這個上面是針對的什麼
[01531.70-01533.80] 這個上面是針對的我們所說的作為
[01533.80-01536.24] 這是你做出了相用的行政處法
[01536.24-01538.88] 這個時候你做的不對原來的解除
[01538.88-01541.20] 那這個時候你既然原來的做的不對
[01541.20-01542.40] 你就要變個新的
[01542.40-01543.56] 所以在這裡叫辩哥
[01543.56-01544.36] 叫辩哥
[01544.36-01545.84] 又或者你現在是補作為
[01545.84-01546.96] 比如說你該發證
[01546.96-01547.88] 沒有給我發證
[01547.88-01548.76] 我去副一年了
[01548.76-01550.56] 結果我副一聖了
[01550.56-01552.76] 那這個時候你該發證而補發
[01552.76-01556.10] 我是不是就應該都處理讓你去把這個證書給我發下去
[01556.10-01558.14] 那這種情況之下針對於不作為
[01558.14-01560.12] 他原來應當發這而不法
[01560.12-01560.86] 那現在怎麼辦
[01560.86-01562.12] 他錯了所以他改
[01562.12-01563.96] 所以在這裡他要旅行決定
[01563.96-01565.72] 所以決定被申請人
[01565.72-01566.92] 縣妻旅行
[01566.92-01568.02] 就告訴他你給他發證
[01568.02-01569.96] 在多少天之內把這個證書給他發下去
[01569.96-01570.86] 就要旅行決定
[01570.86-01571.66] 或者是什麼
[01571.66-01573.74] 就直接確認人形狀是行為違法也行
[01573.74-01575.16] 所以就是這種情況
[01575.16-01576.06] 所以他就知道
[01576.06-01577.84] 如果是被申請人是對的
[01577.84-01578.66] 那
[01578.66-01581.70] 對於他的原來的形狀行為
[01581.70-01584.58] 维持对于申请人的无力取扬的要求
[01584.58-01585.18] 不会
[01585.18-01586.06] 如果是
[01586.78-01587.50] 关错了
[01587.50-01588.02] 关错了
[01588.02-01588.94] 只错就要改
[01588.94-01589.86] 原本做的
[01589.86-01590.54] 撤销
[01590.54-01591.74] 然后给他一个新的
[01591.74-01592.54] 原本没做的
[01592.54-01593.18] 给他做了
[01593.18-01594.02] 这个叫做什么
[01594.02-01594.74] 旅行
[01594.74-01595.38] 所以在这里
[01595.38-01596.14] 大家注意一下
[01596.14-01597.22] 这行政副一的
[01598.10-01598.78] 结果
[01598.78-01599.62] 先说副一结果
[01599.62-01600.02] 好
[01600.02-01600.58] 那在这儿呢
[01600.58-01601.42] 我们就把行政副一
[01601.42-01602.22] 大家说完了
[01602.22-01602.66] 我们说了
[01602.66-01603.90] 行政副一的范围
[01603.90-01604.94] 具体行政行为
[01604.94-01606.14] 同时要副代
[01606.78-01607.90] 抽象行政行为
[01607.90-01608.22] 对不对
[01608.22-01609.10] 但抽象行政行为
[01609.10-01610.14] 能不能直接
[01610.14-01611.26] 去副一也不行
[01611.26-01615.62] 第二個就是形容覆業 覆一兩個方面 合法性和
[01616.12-01622.08] 合理性是當性 它和訴訟不一樣 形容訴訟是審查的合法性
[01622.08-01624.32] 只審查的合法性 大注意下
[01624.32-01626.72] 形容覆意叫民高官 難道去告吧?
[01626.72-01629.70] 民就是申請人 官就是被申請人
[01629.70-01631.96] 民高官 你都向誰告呢?
[01631.96-01635.32] 我們說了 覆意找 上級對不對?
[01635.32-01650.82] 注意找上几,然后同几找,叫省部找自己,叫省部找自己,注意找上几,省部找自己
[01650.82-01656.32] 所以在这里面,大家要注意一下,这是我们所说的有关于具体内容,具体的我就不领大家一个个看
[01656.32-01658.12] 那行政夫亦怎么呼应呢
[01658.12-01659.20] 第一个你要去申请
[01659.20-01660.80] 你可以扣头可以收灭
[01660.80-01662.08] 第二个针对你的申请
[01662.08-01663.24] 他会受理
[01663.24-01664.16] 那受理就是
[01664.16-01665.36] 符合情况的
[01665.36-01667.00] 不符合情况的材料不全的
[01667.00-01668.24] 和前面一样对不对
[01668.24-01669.76] 那受理之后呢
[01669.76-01670.88] 他就会实力
[01670.88-01671.80] 实力之后呢
[01671.80-01673.48] 他就会根据审查结果
[01673.48-01675.32] 进行相应的决定
[01675.32-01677.68] 所以他的决定就两种情况
[01677.68-01678.52] 第一种情况呢
[01678.52-01679.88] 就是关做的是对的
[01679.88-01682.44] 那人家的原来的行政行为
[01682.44-01684.60] 维持对于申请人的
[01684.60-01685.96] 不合理的要求不会
[01685.96-01687.36] 如果是关作错了
[01687.36-01688.16] 只错就要改
[01688.16-01689.16] 做错的彻销
[01689.16-01690.08] 给到一个新的
[01690.08-01691.08] 没做的就要去做
[01691.08-01692.08] 就要率型
[01692.08-01693.32] 所以在这里的这个下
[01693.32-01694.40] 就要做行召
[01694.40-01694.92] 服役
[01694.92-01695.68] 行召服役
[01695.68-01697.24] 咱们来做一条题改受一下
[01697.24-01698.04] 神秘高
[01698.04-01699.52] 但是行召服役当中
[01699.52-01701.80] 应当有服役的申请人
[01701.80-01702.76] 承担局长责任
[01702.76-01704.24] 这个点给大家做个补充
[01704.24-01705.40] 你可以给的标注出来
[01705.40-01706.44] 行召服役
[01706.44-01707.28] 太要举折
[01707.28-01708.48] 那这个举折任
[01708.48-01709.32] 由谁来承担
[01709.32-01710.12] 大助一下
[01710.12-01711.52] 举折任是由
[01711.52-01712.96] 被申请人承担的
[01712.96-01713.88] 你说老师
[01713.88-01715.08] 什么叫个举折
[01715.96-01718.56] 我覺得你 罰款 罰的不合理
[01718.56-01720.08] 那這個手臺是申請人
[01720.08-01721.76] 對吧 但是你要知道
[01721.76-01723.72] 你作為國家公權利益觀
[01723.72-01726.40] 這種情況之下你手臺的東西一定比我多
[01726.40-01727.84] 所以這個情況之下
[01727.84-01729.76] 如果讓副疫申請人
[01729.76-01730.88] 讓老百姓舉掌的話
[01730.88-01732.20] 老百姓很容易吃虧
[01732.20-01733.48] 所以我們讓誰舉掌
[01733.48-01734.76] 讓被申請人舉掌
[01734.76-01737.08] 被申請人要舉掌自己的行為合法
[01737.08-01737.80] 合理
[01737.80-01738.92] 那這種情況之下
[01738.92-01740.36] 由被申請人舉掌
[01740.36-01741.84] 就是讓老百姓減少
[01741.84-01743.56] 減成這種舉掌的負擔
[01743.56-01745.36] 所以在這裡 第一種說法是錯的
[01745.36-01747.50] 你可以给他标准在旁边做一个補充
[01747.76-01748.94] 第二个来看一下
[01748.94-01752.16] 说在假视区本他的网络和离某发生了冲突
[01752.16-01753.40] 然后给人打了
[01753.40-01755.12] 以区关局话出来
[01755.76-01758.16] 你顾优打他人的行为
[01758.16-01759.84] 对网络出一无日的行政局努
[01759.84-01760.84] 是不是行政处罢
[01760.84-01762.44] 网络不服役提起行政
[01762.44-01763.60] 服役来看一下吧
[01763.60-01765.68] 说行政服役的围权图竞是什么
[01766.56-01767.60] 服役找
[01767.92-01768.72] 上级嘛
[01768.72-01770.68] 所以区关局的上级是什么
[01770.68-01772.44] 是假视过关局
[01774.08-01774.96] 或者是什么
[01774.96-01777.36] 或者是 以区政府
[01777.76-01779.36] 对不对 副医找上节
[01779.56-01781.76] 这是区吗 省部早之间没有省部
[01781.96-01782.96] 所以它可以向谁
[01782.96-01785.56] 可以向假视官局 或以区人的政府提起副医
[01785.76-01787.36] 你看这就是考虑节形停
[01787.56-01790.36] 所以第一题选择的是 死地 选死地
[01790.76-01791.76] 第二题多选
[01791.76-01793.56] 说 现在行为可以提起行政副医了
[01793.56-01795.56] 朋友们看 行政副医是什么行为
[01795.56-01798.36] 行政副医副医副医具体的行政行为
[01798.36-01802.36] 副医剧行政行为对抽象行政行为可以复待体
[01802.36-01805.32] 而抽象形象形微比例說你要富裔什麼系澤法案
[01805.32-01807.28] 可不可以直接體驗不能開下
[01808.08-01811.76] 中某對市場監督管理製作出的責任停業的處談不服
[01811.76-01813.62] 責任停業是不是進行的行為數據
[01813.62-01814.52] 進行處談
[01814.52-01817.46] 掉銷、價照、掉價價屬於掉銷許可照
[01817.46-01820.28] 形容處法、具體形容形微可以直接富裔
[01820.28-01823.36] 對現政府使用土地確全
[01823.86-01825.48] 土地使用全確全為他人
[01825.48-01826.80] 具體為他人數義什麼
[01826.80-01829.68] 形容確認土地確全問題咱們講過
[01829.68-01830.16] 對吧
[01830.16-01833.56] 行政却认,行政却认属于具体形成行为数语
[01833.56-01833.96] OK
[01833.96-01835.96] 第四个,王某对市政府做出的
[01835.96-01837.96] 8.8拉的细字,细字要出于什么
[01837.96-01841.36] 所以抽象行政行为,抽象行政行为可不可以直接体
[01842.16-01845.56] 不行,因为抽象行为整个负带市场
[01845.56-01847.96] 不能直接你对他表输负账人審查了
[01847.96-01849.72] 对吧,所以这要提选择的是
[01849.72-01853.36] A,B,C,所以这是我们所说的
[01853.36-01855.16] 有关于行政服裔的范围
[01855.16-01857.76] 到这我们就把行政服裔给大家说了
[01857.76-01859.16] 行政服裔核心的这是点
[01859.16-01861.52] 如果说真的是要找两星期的支点
[01861.52-01863.92] 就只有两个
[01863.92-01865.72] 第一个就是在这概念者
[01865.72-01867.44] 第二个就是形成副一集关镇
[01867.44-01869.48] 把这两个点去的吃个透透的
[01869.48-01869.88] 好
[01869.88-01872.36] 这个就是我们所说的形成副一
