[00000.00-00004.36] 要学的这个朝代或者说这个时期相对来说会比较特殊一点
[01174.74-01176.22] 也有关的考察点有两个
[01176.22-01176.82] 第一个呢
[01176.82-01178.82] 就是我们所说的建立了习近
[01178.82-01179.62] 第二个呢
[01179.62-01181.22] 在这个地方为大家補充一下
[01181.22-01182.82] 就是它是进武地
[01182.82-01184.22] 所以在它之里的时候呢
[01184.22-01186.02] 出现了一个小小的圣示
[01186.02-01187.22] 我们把这个圣示呢
[01187.22-01189.82] 稱之為叫做太康胜胜
[01192.30-01194.82] 稱之為叫做太康胜胜
[01195.54-01198.86] 這個就是發生在我們所說的斯馬沿17
[01198.86-01201.06] 而我們所說的斯馬沿成為謊
[01201.06-01203.58] 皇帝之後在公園前二百七十九年
[01203.58-01205.58] 然後一說差不多二百八十年左右
[01205.58-01209.06] 這種情況之下就搞了二十萬大軍去發什麼呢
[01209.06-01210.02] 去發無無
[01210.02-01212.90] 最後把我們所說的這個無給滅掉了
[01212.90-01214.78] 於是南北實現了統一
[01214.78-01217.66] 所以在这里和司码也有关了第3个事情
[01217.66-01220.18] 就是密武之后实现了南北统业
[01220.18-01222.02] 但是这个南北统业大家注意下
[01222.02-01223.98] 它是一场短暂的统业
[01226.22-01227.18] 短暂的统业
[01227.18-01229.26] 就是没有多少时间
[01229.26-01231.18] 然后这个局面就结束了
[01231.18-01233.62] 它是一个短暂的统业大家注意下
[01233.62-01235.50] 这是我们所说的司码业
[01235.50-01237.58] 而司码业在去世之后
[01237.58-01238.54] 大家注意下
[01238.54-01239.62] 它的儿子是谁呢
[01239.62-01241.66] 它的儿子就是大明顶领的
[01241.66-01242.46] 我们所熟悉的
[01242.46-01243.78] 老师把他往这边滚
[01243.78-01244.98] 就是孙人这个镜头
[01244.98-01247.18] 他的儿子就是我们所说的禁汇地
[01250.30-01252.18] 他的儿子就是我们所说的禁汇地
[01252.18-01254.10] 而的禁汇地身上有两件事
[01254.10-01255.90] 第一件事需要同一面去实际的
[01255.90-01257.10] 就是我们很熟悉的
[01257.10-01258.70] 就是那个时候天下很乱
[01258.70-01260.18] 老百姓都吃不上饭了
[01260.18-01261.42] 于是在这种情况之下
[01261.42-01262.54] 禁汇地说说
[01262.54-01263.50] 好奇怪
[01263.50-01264.86] 他们都吃不上饭了
[01264.86-01266.66] 他们为啥不吃肉
[01266.66-01268.78] 所以就有了第一个叫做合不
[01268.78-01269.70] 十肉米
[01269.70-01270.82] 按合不熟肉米
[01272.46-01274.82] 就是我们所说的核部10mm
[01274.82-01276.70] 这一天咱们就都知道
[01276.70-01277.30] 对吧
[01277.30-01278.66] 啥都不懂
[01278.66-01280.26] 好像是个傻子一样
[01280.26-01282.70] 所以这里就有了我们所说的核部10mm
[01282.70-01284.30] 正是因为我们都知道
[01284.30-01285.70] 它其实什么都不懂
[01285.70-01286.78] 那这种情况之下
[01286.78-01288.66] 它身边的那些有能力的那些人
[01288.66-01290.14] 它的叔叔博物
[01290.14-01292.18] 它的大爷们就开始怎么样
[01292.18-01294.94] 就开始去中夺它的这样的一个王位
[01294.94-01297.14] 于是就发生了我们所说的第二点事情
[01297.14-01298.66] 就做八王之乱
[01298.66-01300.90] 所以八王之乱是发生在我们所说的
[01300.90-01301.92] 禁会第17了
[01301.92-01303.20] 所以第二个八王之云
[01303.46-01306.78] 八王之云和昨天我们讲到的叫做七国之云
[01307.04-01309.60] 放在一块就出现了一个成余
[01309.86-01311.66] 同一块记不记的就是我们所说的
[01311.90-01312.94] 乱七八糟
[01316.26-01316.78] 乱七八糟
[01317.04-01319.84] 这形容相对来说比较混乱的这样的一个情况
[01320.10-01320.86] 叫做乱七八糟
[01321.12-01323.94] 这是我们所说的在这到了我们所说的禁会第
[01324.20-01328.54] 而禁会第往后呢大距下就出现了另外一个就习近的最后一个皇帝
[01328.54-01329.78] 就是民地
[01329.78-01333.30] 而我们所说的当时是钱赵的大江军
[01333.30-01334.82] 劉耀弓到了成员
[01334.82-01335.90] 然后把民地抓了
[01335.90-01338.38] 然后就宣布着我们所说的习近面王
[01338.38-01340.90] 习近面王是36年习近面王
[01340.90-01341.86] 习近面王了之后
[01341.86-01343.82] 紧接日在37年
[01343.82-01344.62] 大家注意一下
[01344.62-01347.26] 我们所说的司马瑞建立了东京
[01347.26-01348.54] 所以在这种情况之下
[01348.54-01350.62] 大家注意到37年
[01351.90-01353.18] 司马瑞在这儿了
[01353.18-01355.62] 是你看近宗市司马瑞
[01355.62-01358.14] 在这里我们所说的健康这个地方
[01358.14-01360.34] 建立了东京,建立了东京
[01360.34-01363.52] 但在这里面,大致了四马月,它其实
[01363.52-01367.26] 它身上有很多的说道,它说道中啥呢?
[01367.26-01370.30] 这是说,四马月它并非我们所说的
[01370.30-01373.86] 四马家的正位的血头,也就是说它还说
[01373.86-01379.22] 有很多人说它没有这种四马家的存政的血头,说白了,它其实
[01379.22-01382.26] 可能是一个私生子,当也有这样的一个说法
[01382.26-01387.86] 所以,四马月在所有的中青贵族,是家大族里面,其实没有什么坏钱的
[01387.86-01390.70] 而在這種情況之下,有一個人幫到了司馬瑞
[01390.70-01393.86] 這個人就是我們所說的王島王島
[01394.98-01398.74] 王島看到司馬瑞這樣一個情況,就覺得不太行
[01398.74-01401.98] 所以在這裡,就說要幫一幫我們所說的司馬瑞
[01401.98-01405.38] 於是他們借著當時的一個節日叫做福幸
[01406.74-01410.54] 那他注意一下,就有一個我們所說的這種寄寺一事
[01410.54-01414.38] 不能說寄寺一事,就是在何必而清早出會的這樣一個一事
[01414.38-01415.38] 就說福幸
[01415.38-01419.10] 然后把所有的人都约到了我们所说的这个核边
[01419.10-01423.54] 然后就跟大家去说就帮助我们所说的这个司马锐拉鲁人心
[01423.54-01428.30] 后来司马锐成帝了之后就对这个王岛非常地感激
[01428.30-01430.10] 然后赶紧到什么层层度呢
[01430.10-01431.54] 让他共预龙闯
[01431.54-01433.66] 就是你来来来来来来来来坐标上
[01433.66-01436.54] 就是跟他一块坐在这个龙影上
[01436.54-01438.70] 然后关系也都特别特别好
[01438.70-01440.66] 那这里恰恰就埋下了一个服彼
[01440.66-01441.54] 什么服彼呢
[01441.54-01443.54] 就试家大阻在东京的时候
[01443.54-01447.02] 其实成为了黄权一个非常重要的一个威胁
[01447.02-01448.34] 所以那时候流传了一句话
[01448.34-01452.18] 就要往于码共天下就出现了这样的一个情况
[01452.18-01453.94] 这就是我们所说的东京
[01453.94-01454.82] 而在东京之后
[01454.82-01456.18] 有一买下的这个福比
[01456.18-01459.46] 然后在东京我们所说的后面就出现了
[01460.26-01462.54] 我们所说南方政权的更迭
[01464.26-01466.86] 那就是南方政权的更迭
[01466.86-01469.78] 这个南方政权更迭就出现了我们所说的
[01469.78-01472.78] 南炒,我们把它称着一叫送其梁称
[01475.58-01478.38] 送其梁称
[01478.38-01481.58] 我们把这个称着一叫做南炒
[01481.58-01484.78] 它主要是南方正权,南方正权
[01485.58-01489.38] 这是我们所说的南炒,这时候我们所说的南炒,拿住一下
[01490.78-01494.58] 所以这条主线,同时就旅行处了,同时就能够旅行处
[01494.58-01497.98] 我们的这条线其实是在这,从草草开去说
[01497.98-01500.90] 然后是我们所说的司马家串权
[01500.90-01503.06] 然后司马家串权之后建立了西进
[01503.06-01503.86] 西进呢
[01503.86-01505.66] 我们所说的到我们所说的
[01505.66-01507.26] 会文地的时候开一模落了
[01507.26-01509.50] 然后到会面地的时候西进就灭亡了
[01509.50-01510.78] 西进灭亡了之后
[01510.78-01513.50] 这条线就纷到了东近这一边
[01513.50-01515.54] 所以在我们所说司马家的另一边
[01515.54-01516.62] 就建立了东近
[01516.62-01517.46] 东近之后呢
[01517.46-01519.98] 有一政权的根本就出现了送起两层
[01519.98-01522.18] 我们称就为叫做南炒
[01522.18-01522.98] 这南炒
[01522.98-01524.98] 这是我们所说的第一条直线
[01524.98-01525.86] 第一条直线
[01525.86-01527.34] 但是还有第二条之前
[01527.34-01528.66] 第二条之前是什么呢
[01528.66-01529.70] 就是我们所说的
[01529.70-01531.02] 在西津灭亡之后
[01531.02-01532.50] 我就把它接着往下了
[01532.50-01533.62] 在这
[01533.62-01534.50] 大家注意一下
[01534.50-01535.98] 在西津灭亡之后
[01535.98-01537.06] 或者是我们所说的
[01537.06-01538.98] 在东京的统治时期
[01538.98-01541.18] 被方的少数民族
[01542.18-01544.86] 被方的少数民族
[01545.78-01547.10] 在这种情况之下
[01547.10-01549.58] 其实也开始猜语到了各具
[01549.58-01550.42] 那这种情况
[01550.42-01552.26] 这下就进入到了我们所说的
[01552.26-01553.94] 武胡乱华尸气
[01553.94-01554.82] 就是我们所说的
[01554.82-01555.74] 武胡十六国
[01555.74-01556.70] 武胡十六国
[01556.70-01558.42] 老师刚才有点不清楚
[01558.42-01560.90] 在这里我就给同学们去进一步去写
[01560.90-01562.94] 我们所说的先是草间
[01562.94-01565.32] 草间之后是我们所说的
[01565.32-01566.38] 司马家
[01566.38-01568.82] 司马家建立了我们所说的稀借
[01568.82-01572.22] 司马家当中的我们所说的司马言
[01574.02-01575.10] 司马言之后
[01575.10-01576.26] 就是我们所说的
[01576.26-01579.34] 它是这个借五弟
[01579.34-01583.68] 和它身上的点顾和事件我就为大家写了
[01583.68-01586.26] 然后再后是接规定
[01586.26-01591.62] 接规定之后是我们所说的静命地
[01591.62-01592.90] 我就简单写了
[01592.90-01595.22] 静命地之后我们所说的
[01595.22-01597.52] 这个时候习近灭亡了
[01597.52-01602.90] 习近灭亡之后时间的卖落就只相了两边
[01602.90-01606.98] 一边就是我们所说的刚才司马瑞建立了东西
[01606.98-01608.02] 另外一边就是
[01608.02-01610.00] 这是我们所说的南朝 对吧
[01610.00-01612.62] 就是南方已经我们所东京之后的
[01612.62-01615.28] 我们所说的送起两层就出现南朝
[01615.28-01617.54] 那另一条线就在西进灭王之后
[01617.54-01618.98] 在东京统治时期
[01618.98-01622.10] 我们所说的北方少数民族出现了
[01622.10-01623.94] 各具中原的这种情况
[01623.94-01625.78] 就是他们也想来分一辈高
[01625.78-01629.54] 所以在这种情况之下就出现了五胡十六国时期
[01629.54-01631.70] 五胡十六国时期就出现了
[01631.70-01636.14] 我们所说的北朝就出现北朝
[01636.14-01638.58] 在这里面不是提到了武呼互乱华
[01638.58-01639.98] 在西京面王之后
[01639.98-01643.06] 北方少数民族入主到我们所说的中演地区
[01643.06-01645.46] 这个少数民族同学们就需要去掌握
[01645.46-01646.50] 这是它的大跨
[01646.50-01648.14] 我们回到细节上来
[01648.14-01649.18] 我们就来看一下
[01649.18-01651.18] 这里的少数民族主要的哪些叫
[01651.18-01653.66] 修努先碑结底枪
[01653.66-01655.86] 这个是需要同学们备住的
[01655.86-01658.14] 就是在武呼所有国持期入主中演的
[01658.14-01661.06] 少数民族主要有修努先碑结底枪
[01661.06-01666.10] 而修努这个民族其实一直都是我们所熟悉的这样的一个
[01666.10-01668.34] 民族,对吧,从看朝开始,
[01668.34-01669.62] 认从从起手往那时候,
[01669.62-01671.62] 看中是我们所说的一个
[01671.62-01673.74] 边境的一个比较大的一个问题。
[01673.74-01675.98] 那第二就是我们所说的先杯族,
[01675.98-01677.82] 这个先杯族是一个重点,
[01677.82-01679.22] 因为在先杯族当中,
[01679.22-01681.58] 有一个非常了不起的皇帝,
[01681.58-01683.22] 这时候我们所说的北北小恩弟,
[01683.22-01685.30] 那北的小恩弟是行了北北小恩弟,
[01685.30-01686.06] 改革,
[01686.06-01688.42] 所以我们在北朝的这样的一个更点上,
[01688.42-01691.14] 就是我们从谁从谁开始呢,
[01691.14-01694.70] 就从我们所说的北北小恩弟开始,
[01694.70-01696.50] 我们在这就把它西坏下
[01696.50-01700.10] 就是北位宵文地进行相应的改革
[01700.10-01703.70] 而北位最后又分出来了东位和西位
[01703.70-01707.10] 而东位和西位最后又被北期和北州所取代
[01707.10-01710.10] 而我们把这种情况就称着一叫做北朝
[01710.10-01713.10] 所以南北朝是南方政权和北方政权
[01713.10-01714.70] 领利的这样的情况
[01714.70-01716.30] 所以这是我们所说的
[01716.30-01718.90] 有关于五胡乱华时期
[01718.90-01720.70] 这是我们所说的这个五胡
[01720.70-01722.90] 主要是哪几个少数民族
[01722.90-01727.16] 这个五个少民族当中一军突起的就是我们所说的先为祖
[01727.16-01728.16] 大家注意一下
[01728.16-01730.78] 我们来看一下这里面的这个题目吧
[01730.78-01736.38] 说五胡乱华时期说那五胡不包括我们叫修努先得解敌枪
[01736.38-01737.90] 当然不包括女真
[01737.90-01740.70] 所以这要替选择的是司定 选的司定
[01741.70-01743.74] 接着来往下看
[01743.74-01747.22] 我们说了在这个五胡乱华时期
[01747.22-01750.24] 我们出现了很多的政权情况
[01750.24-01754.56] 在这一个时期当中出现了一些非常有名的事件
[01754.56-01758.00] 其中就一个我们所说的叫做飞水之战
[01758.00-01760.00] 飞水之战大家需要掌握的是
[01760.00-01762.64] 飞水之战所也身出来的点顾
[01762.64-01763.92] 所以出来的点顾
[01763.92-01766.40] 它说飞水之战是前情皇帝
[01766.40-01770.00] 福坚和东京的谢安打起来了
[01770.00-01772.44] 他们两个人打起来之后有什么事
[01772.44-01774.40] 大致一下抓有这么几个点顾
[01774.40-01776.80] 第一个就是前情的皇帝福坚
[01776.80-01778.32] 他当时要讨讨的东西
[01778.32-01779.88] 他讨讨讨的东西就过程当中
[01779.88-01781.56] 他其实是有很多的
[01781.56-01783.52] 我们所说的这样的一个军队在的
[01783.52-01785.88] 所以他就说一句说话就根本就没在怕的
[01785.88-01788.76] 所以就是打就是要灭掉人家的这样的理念
[01788.76-01790.40] 就是跟人家去对战去了
[01790.40-01792.52] 当时东西派出来的是谢安
[01792.52-01793.12] 对吧
[01793.12-01795.12] 我们都知道就是王泄堂前宴
[01795.12-01796.64] 谢家是施安大族
[01796.64-01797.76] 所以派先来了
[01797.76-01800.00] 现在当时就说他的军队人不多
[01800.00-01801.88] 所以不能跟福建议认判议
[01802.52-01804.04] 不能认判议是怎么办呢
[01804.04-01805.52] 那咱得支持啊
[01805.52-01806.76] 于是他怎么秩序呢
[01806.76-01809.12] 因为当时打扎的时候有一条核
[01809.12-01810.88] 然后现在就想了一个办法
[01810.88-01811.60] 就跟着福建说
[01811.60-01813.76] 他知道这个福建没人有一点交奥的
[01813.76-01814.72] 他就跟福建说
[01814.72-01816.56] 他说你看这样行不行
[01816.56-01817.92] 我来给你打呀
[01817.92-01819.28] 我也不想来的
[01819.28-01820.72] 我为啥不想来因为我知道
[01820.72-01822.16] 我根本就打不贏
[01822.16-01825.44] 那你看你现在要是把我打呆了回去
[01825.44-01826.40] 我脸上没面儿
[01826.40-01828.00] 你说我知道老脸忙点放呢
[01828.00-01829.52] 然后那个福建就说说吧
[01829.52-01830.64] 你有什么条件
[01830.64-01832.56] 他说那你看这样行不行
[01832.56-01834.64] 他说你看你们人那么多
[01834.64-01836.68] 对吧 我跟你用朋友指定不行的
[01836.68-01838.76] 你让我输得稍微体面一点
[01838.76-01840.32] 你看我在合的这一点
[01840.32-01842.20] 你说你过来把我打呆了住回去
[01842.20-01843.40] 我这没放糾待
[01843.40-01846.52] 你能不能让我先过合
[01846.52-01847.88] 过到合的那一点
[01847.88-01849.16] 然后等我过去了之后
[01849.16-01850.00] 你再把我打呆
[01850.00-01851.80] 这样回去的话我也有交代
[01852.44-01853.40] 福建一天
[01853.92-01855.00] 也不是不行
[01855.00-01855.96] 福建当然就说
[01855.96-01857.32] 说能我还能够怕你吗
[01857.32-01858.48] 我一不怕你耍材
[01858.48-01860.44] 说我带了这么多的人来
[01860.44-01862.44] 对吧 我把人的这些
[01862.44-01863.88] 他们的这个编子
[01863.88-01866.96] 浪到水里都能把河水阻断
[01866.96-01868.76] 我根本都不怕你耍家
[01868.76-01870.72] 他说那你要不你就先途和来吧
[01870.72-01871.80] 于是就有了我们所说的
[01871.80-01873.84] 第1个点过就走投边断留
[01875.40-01878.36] 就走投边断留
[01878.36-01880.68] 当时现在一天有细
[01880.68-01881.80] 就是这个傻子
[01881.80-01882.20] 对吧
[01882.20-01883.96] 然后这个仙人就说说行
[01883.96-01886.52] 那你仙人你的军队往后撤
[01886.52-01887.96] 给我疼出一块第二点
[01887.96-01889.56] 然后我等我的军队过去了
[01889.56-01891.64] 然后你再把我包了角色就行了
[01891.64-01893.54] 當時福建就說那行
[01893.54-01894.54] 然後他就下令了
[01894.54-01895.64] 讓軍隊往後撤
[01895.64-01897.54] 前面的人其實是知道
[01897.54-01898.74] 為什麼要往後撤的
[01898.74-01900.44] 但是後面的人不知道
[01900.44-01902.54] 前面的人往後撤後面的人
[01902.54-01904.04] 因為打了因為打待了
[01904.04-01905.84] 然後後面的人就開始跑
[01905.84-01907.04] 後面的人一跑
[01907.04-01908.24] 前面的人就慌了
[01908.24-01909.24] 後面人跑啥
[01909.24-01910.44] 是不是人哪一副了
[01910.44-01912.74] 所以在這裹是當中有於信息不對稱
[01912.74-01913.64] 所以在這裡面
[01913.64-01914.54] 就導致了一個結果
[01914.54-01916.24] 就是後面的以為前面打待了
[01916.24-01917.84] 前面的以為後面有哪一副
[01917.84-01919.24] 然後還沒等的開始打
[01919.24-01920.64] 他們就開始軍隊
[01920.64-01921.98] 就是福建的他是軍隊
[01921.98-01923.04] 就私下可以算了
[01923.04-01923.72] 就乾淨跑
[01923.72-01925.24] 說愛乾淨有埋富乾淨跑
[01925.24-01928.20] 他們在跑的這個時候又出現了兩個強語
[01928.20-01930.04] 一個叫做風聲合力
[01931.24-01934.24] 一個叫做風聲合力
[01935.64-01936.76] 叫風聲合力
[01936.76-01938.72] 就在他們這個跑的這個時候
[01938.72-01940.64] 他們就聽到那個風呼呼的
[01940.64-01942.48] 在那小他們就以為大軍追來了
[01942.48-01944.48] 那的多少人有這樣的一個聲音
[01944.48-01946.44] 然後往現在跑一關的那種好類
[01946.44-01947.64] 其實休息一下
[01947.64-01949.24] 然后风吹那个草东
[01949.24-01950.80] 他就觉得是人家的服灵
[01950.80-01951.84] 于是就有了我们所说
[01951.84-01952.64] 另外一个点过
[01952.64-01954.04] 就做草木阶灵
[01956.04-01957.08] 于是就有了我们所说
[01957.08-01957.92] 另外一个点过
[01957.92-01959.08] 就做草木阶灵
[01959.08-01960.84] 这时候我们所说的飞学之战
[01960.84-01962.44] 所以有个战的点过
[01962.44-01963.48] 而这个飞学之战的
[01963.48-01964.88] 机构是没有伤
[01964.88-01967.28] 我们所说的用到什么伤亡就打赢了
[01967.28-01967.56] 对吧
[01967.56-01970.84] 所以它是典型的一少生多的战亿
[01972.84-01974.00] 也是典型的
[01974.00-01975.12] 一少生多的战亿
[01975.12-01976.32] 所以同学们需要掌握的
[01976.32-01977.40] 第一个就是飞学之战
[01977.40-01978.40] 他的点顾
[01978.40-01980.40] 第二个就是他的性质
[01980.40-01981.40] 就是他的性质
[01981.40-01983.76] 这是我们所说的在南北朝时期
[01983.76-01986.76] 有名的我们所说的这样的一场战亿
[01986.76-01988.24] 说了飞水之战之后
[01988.24-01991.16] 咱们目光在回到我们所说的
[01991.16-01994.56] 武湖这样的一个修录先被解析
[01994.56-01995.20] 像的身上
[01995.20-01996.80] 我们说了在这里有个一军突起的
[01996.80-01998.36] 就是我们所说的先被
[01998.36-01999.92] 而这个先被回一个人
[01999.92-02001.44] 他之所以能够做大多强
[02001.44-02002.40] 回一个人分不开
[02002.40-02004.40] 这个人就是北位秀文地
[02004.40-02006.08] 我们都知道秀文地实行了
[02006.08-02009.76] 我们所说的北位销文地改革
[02009.76-02012.76] 实际上了我们所说的北位销文地的改革
[02012.76-02014.40] 我们就来看一下北位销文地改革
[02014.40-02015.60] 到底说了是什么
[02015.60-02017.96] 在这里面我们所给到的南窗和北朝
[02017.96-02019.04] 我们刚才讲过了
[02019.04-02020.00] 同一们了解一下
[02020.00-02021.44] 送起两层
[02021.44-02023.64] 是我们所说的南朝
[02023.64-02025.40] 而后面它的一些根本
[02025.40-02027.20] 就是我们所说的北朝
[02027.20-02028.20] 这种所说的北朝
[02028.20-02031.40] 所以在这里面我们所说的南朝和北朝
[02031.40-02034.76] 我们所说的北朝
[02034.76-02039.12] 北朝他是由我们所说的先内族建立了北位同一北方
[02039.12-02041.36] 后来分裂出来了东北和西位
[02041.36-02043.08] 然后东北被北西所期待
[02043.08-02044.68] 西位被北州所期待
[02044.68-02047.24] 同们对北西和北州其实并不陌生
[02047.88-02050.24] 大家如果看过电视剧的话就知道
[02050.24-02052.20] 北西有一个非常有名的大将
[02052.20-02053.28] 长得特别的帅
[02053.28-02057.04] 就说南零王北州的皇帝是与文艺族
[02057.04-02057.40] 对吧
[02057.40-02060.00] 那个时候就是我们常提到的这些文用
[02060.00-02062.00] 所以大家看过什么南零王啊
[02062.00-02064.60] 来连联网分 请说的是这一段历史
[02064.60-02066.50] 这个是发生在我们所说的
[02066.50-02069.56] 北朝时期是发生在我们所说的北朝
[02070.20-02071.70] 这样的一个空间范围之内
[02071.70-02074.80] 我们回到我们所说的北朝之前
[02074.80-02077.20] 就是我们所说的北位统一了北方
[02077.20-02079.20] 北位之所以能够统一北方
[02079.20-02080.80] 是和我们所说的笑文地
[02080.80-02081.80] 有很大的关系
[02081.80-02084.40] 我们叫北位笑文地改革
[02084.40-02086.20] 北位兄弟改革的一个核心
[02086.20-02087.60] 就是要进行汉智
[02087.60-02089.80] 所以我们来看他改革的具体内容
[02089.80-02093.60] 这改革近内容的第一个就是高军铁和租调
[02093.60-02096.76] 租调就是我们所说的租他在这里面就说了
[02096.76-02099.04] 租就是两是调就是不骨
[02099.04-02101.52] 就是租调就是要求我们
[02101.52-02103.60] 你到了多大年龄之后
[02103.60-02105.16] 就是你每年你都要交租
[02105.16-02107.92] 但是他租调其实还和另外一个有关系
[02107.92-02110.56] 就是我们所说的就是和服要有关系
[02110.56-02113.76] 北位时候搞得租调之和我们在后面
[02113.76-02117.28] 堂吵要讲的我们所说的租调不太一样
[02117.28-02119.62] 同们知道他们有不同就行了
[02119.62-02121.88] 在这里租是两是吊就是不补
[02121.88-02124.40] 所以在这个过程中主要的目的就是粗石
[02125.04-02126.52] 人民从事能不能生产
[02126.52-02128.12] 第二就是整个例志
[02128.12-02131.04] 第三个大主义下就是千多落洋
[02131.04-02134.44] 然后一封一属是行汉旨和汉族通坤
[02134.44-02136.92] 他们实行汉旨表现在很多方面
[02136.92-02140.04] 比如说他们把他们的姓势都改了
[02140.04-02140.48] 对吧
[02140.48-02144.88] 你看像我们所说的脱白姨琢改成了我们所说的远信
[02144.88-02147.04] 这个就是实行汉旨的表现
[02147.04-02150.68] 在这里大家只需要记得北位兄弟改革实行汉制当中
[02150.68-02156.32] 第一个牵独第二个我们所说的改汉性和汉族通坤一分一所
[02156.32-02161.12] 这是它具体的一些我们所说的措施了解一下这个点就OK了
[02161.12-02163.68] 这个就是我们所说的北位
[02163.68-02167.76] 到这我们其实就把南朝和北朝说的差不多了
[02167.76-02170.12] 到了我们所说的这个吸劲
[02171.40-02174.56] 吸劲之后又分出来了我们所说的东西
[02174.56-02176.84] 冬季最后被大将留育索面
[02176.84-02178.00] 然后分化出来了
[02178.00-02178.56] 送
[02178.96-02179.88] 其
[02180.52-02181.24] 梁
[02181.76-02182.88] 还有我们所说的
[02182.88-02183.52] 成
[02183.52-02184.04] 对吧
[02184.04-02185.28] 而后面的同时
[02185.28-02186.28] 在冬季同时
[02186.28-02187.04] 去出现了
[02187.04-02187.92] 武胡
[02188.36-02189.52] 先辱叫做
[02189.52-02191.04] 修炉鲜备杰底枪
[02191.04-02193.12] 而在这里面是由我们所说的
[02193.12-02194.28] 北位秀文地
[02194.28-02196.12] 它统一了我们所说的
[02196.12-02198.88] 北方是由先备组统一备方的
[02200.16-02201.68] 所以先备杰里了
[02201.68-02202.68] 北位
[02202.68-02207.92] 而北位在这个过程当中又分裂出来了东位和稀位
[02207.92-02210.44] 东位被被洗所期待
[02210.44-02214.24] 而稀我们所说的稀位被北州所期待
[02214.24-02216.24] 所以在这里面就画分出来了
[02216.24-02217.72] 我们所说的送起两层
[02217.72-02220.80] 在南方的政权称之为南朝
[02220.80-02224.04] 而我们所说的被骑和北州
[02224.04-02227.24] 被方存在政权称之为叫做北朝
[02227.24-02230.76] 而这里面在北州有一个非常有名的人物
[02230.76-02235.48] 他是北州小皇帝的老爷叫做洋间洋间呢
[02236.76-02237.42] 最后
[02238.08-02240.40] 统代替了北州的小皇帝
[02240.40-02245.00] 最后灭了我们所说的后臣也就是统一了难道会被炒
[02245.00-02246.96] 建立了随草
[02246.96-02249.76] 所以这只这一段历史他的一个更低
[02249.76-02251.92] 那最随草他的具体的内容
[02251.92-02254.92] 我们会在下节课来给大家去进行一个想象的介绍
[02254.92-02257.96] 这是我们所说的有关于整个时间的更低
[02257.96-02259.20] 那我說了這麼多呢
[02259.20-02262.24] 我希望同學們能夠掌握著考試的一條主線
[02262.24-02264.52] 就是從三國為主無開始
[02264.52-02266.56] 從美國分出來朝鮮
[02266.56-02269.08] 然後朝鮮到司馬加司馬加到習近
[02269.08-02271.52] 把這個時間1600個書里清楚
[02271.52-02273.72] 在這條時間的主線之上
[02273.72-02275.44] 再給他去按插時間
[02275.44-02276.92] 比如說在習近當中
[02276.92-02278.24] 我們要考兩個皇帝
[02278.24-02279.20] 一個是5D
[02279.20-02280.56] 一個是會帝
[02280.56-02281.60] 那同你們就要去
[02281.60-02284.12] 根據咱們剛才的講解去整理
[02284.12-02285.56] 那5D身上的那些事情
[02285.56-02286.24] 我們要注意啊
[02286.24-02288.24] 会帝身上有哪些事情要注意啊
[02288.24-02290.04] 对吧咱们刚才已经里达出过了
[02290.04-02291.54] 就以时间为主
[02291.54-02293.34] 然后往上去按插时间
[02293.34-02295.14] 把这个地方的时间卖落
[02295.94-02297.64] 书里清楚就可以了
[02297.64-02299.64] 那这是我们所说的关于
[02300.04-02302.24] 三国两件南北朝
[02302.24-02303.84] 它的一个时间更低
[02303.84-02305.44] 那讲完了它的一个具体更低
[02305.44-02307.24] 之后咱们来简单地看一下
[02307.24-02308.64] 在三国两件南北朝时期
[02308.64-02309.74] 它的经济发展
[02309.74-02310.94] 它的经济发展
[02310.94-02313.64] 其实我在这里给同学们列举了一些
[02313.64-02315.44] 首先第一个就是农业的发展
[02315.44-02319.78] 农叶的发展就是从江东拓展到整个长江留运
[02319.78-02323.38] 就是为后期我们所说的经济重新的转移
[02323.38-02324.66] 打下了一个基础
[02324.66-02326.26] 因为我们都知道在最开始的时候
[02326.26-02328.88] 我们的经济重新在北方主要是在黄河留运
[02328.88-02331.24] 三位两天南北朝的时候推一道南方
[02331.24-02333.36] 然后到了我们所说的送朝的时候
[02333.36-02335.66] 经济重新就完全转移到南方了
[02335.66-02338.66] 所以它是打下了一个良好的基础
[02338.66-02341.10] 这是农叶大有这么一个印象就行了
[02341.10-02342.78] 第二个呢就在手工业
[02342.78-02344.32] 手工业这个要记一下
[02344.32-02346.20] 说三国两进南北朝十七
[02346.20-02349.72] 说南方和北方的所烧的词开始各居客色
[02350.92-02353.72] 北朝可以烧至脱白子
[02353.72-02355.32] 所以同时没有在这知道
[02355.32-02357.32] 白子其实从什么时候开始的
[02357.32-02360.52] 就是从我们所说的被朝十七开始的
[02360.52-02362.52] 因为我们在世界单位的考试的时候
[02362.52-02365.04] 比如说像在山东西的单位的考试
[02365.04-02365.92] 考过什么呢
[02365.92-02368.32] 他考的南的时候他具体考过
[02368.32-02371.92] 我们所说的这些具体的词气
[02371.92-02375.76] 他的变宫以及他给你具体磁气的特征
[02375.76-02376.80] 让你去判断
[02376.80-02381.60] 他属于亲死白此还是其他的秘色此等等
[02381.60-02382.92] 就是让你去判断
[02382.92-02384.84] 甚至他给你这些特征认问你
[02384.84-02387.36] 他属于哪一个遥稍制出来的
[02387.36-02388.48] 他可能会这么口
[02388.48-02390.36] 所以到时候我们在讲的
