[00000.00-00003.24] 同時們好 歡迎來學習經濟學的板塊
[00003.24-00007.24] 我是劫瑞老師 那今天我們要進入到一個新的科目的學習
[00007.24-00009.72] 這個科目就叫做經濟學
[01227.80-01229.80] 你一定会给他放到最赚钱的领域
[01229.80-01233.32] 但是如果这时刻意是由政府去运行的
[01233.32-01236.72] 政府就不会把这时刻意投入到最赚钱的领域当中却
[01236.72-01240.00] 政府会把这时刻意投放到最能够
[01240.00-01243.64] 滿足老百姓收活需求的民生領導中卻
[01243.64-01245.24] 以追求社會的穩定性
[01245.24-01246.16] 所以你看到了
[01246.16-01247.64] 他不一定是最賺錢
[01247.64-01249.48] 但是計劃配置
[01249.48-01250.60] 他實現了公平
[01250.60-01251.68] 但他射切了什麼
[01251.68-01252.20] 效率
[01252.20-01253.08] 因為政府說了
[01253.08-01255.28] 你明年不能給我生產期蛋
[01255.28-01256.32] 期蛋太賺錢了
[01256.32-01258.80] 而且社會的高興需求不再期蛋上
[01258.80-01261.16] 你去拿這個月去過生產大米
[01261.16-01262.36] 這過生產小麥
[01262.36-01265.44] 所以你看這10個億就沒有辦法留入到最賺錢的領域
[01265.44-01266.48] 換句話說
[01266.48-01269.64] 他其實沒有實現自身的最大化的利用
[01269.64-01271.64] 这个其实就是我们所说的什么
[01271.64-01273.84] 它其实是效率是不足的
[01275.84-01277.56] 这个就是我们所说的
[01277.56-01279.44] 计划配置的优点和缺点
[01279.44-01281.56] 在这里面我们要知道
[01281.56-01283.64] 计划配置既然效率不足
[01283.64-01286.24] 没有办法计划社会财富的创造
[01286.24-01288.36] 生产力其实在本质上怎么办
[01288.36-01289.80] 就其实提不起来
[01289.80-01291.52] 所以在计划配置之后
[01291.52-01293.20] 又产生了一种新的
[01293.20-01295.04] 我们所说的最配置的方式
[01295.04-01297.08] 这种配置的方式就叫了什么
[01297.08-01298.96] 就叫做市场配置
[01298.96-01300.80] 那我们来看一下市场配置是上
[01300.80-01304.00] 可是市场配置也被称为叫做市场条件
[01304.00-01306.00] 主要是一靠谁进行最后配置呢
[01306.00-01307.48] 同时把这个刺画出来
[01307.48-01311.24] 主要是一靠市场机制进行最后配置的方式
[01311.24-01315.52] 那也就是欢迎快说市场配置它的主体就是谁
[01315.52-01318.84] 它的主体就是市场而不是政府
[01318.84-01320.80] 如果是那市场怎么配置呢
[01320.80-01322.60] 市场它的这种条件模式
[01322.60-01324.60] 它通过市场机制来实现
[01324.60-01326.16] 我们会不会会在后面
[01326.16-01328.08] 给大家去详细地讲解
[01328.08-01329.40] 市场机制是什么
[01329.40-01330.92] 大家只需要在这里就知道
[01330.92-01333.04] 市场配置他更加的怎么样
[01333.04-01334.92] 自由就不会像政府给你
[01334.92-01336.24] 天家那么多的限制
[01336.24-01338.20] 说你只能给我头在鸡蛋里面
[01338.20-01339.64] 不能头在大米里面
[01339.64-01340.88] 在市场配置下
[01340.88-01341.88] 你手里有资源
[01341.88-01344.24] 你想要把这些钱用到哪里
[01344.24-01345.12] 你都可以
[01345.12-01346.64] 这个就是我们所说的
[01346.64-01347.72] 市场配置
[01347.72-01349.20] 市场配置的话
[01349.20-01351.20] 它有自己的这样的一种形式
[01351.20-01353.20] 咱们来看一下后面它最打说的
[01353.20-01356.74] 他市場即使通過競爭的方式配置資源
[01356.74-01358.00] 是一種什麼條件呢?
[01358.00-01359.40] 同時把這個刺划出來
[01359.40-01361.60] 他是一種事後條件
[01361.60-01362.92] 什麼叫事後條件呢?
[01362.92-01363.76] 搭住一下
[01363.76-01365.88] 市場配置和計劃配置不一樣
[01365.88-01369.08] 計劃配置是在經濟運行開始之前
[01369.08-01370.36] 就已經做好規劃
[01370.36-01372.76] 明年以後按這些步著給我走
[01372.76-01374.08] 而市場配置是啥呢?
[01374.08-01377.60] 市場配置是在價格信號發出之後
[01377.60-01379.12] 他才會發生作用
[01379.12-01380.32] 比如說我說同學們
[01380.32-01381.32] 現在你有實的演
[01381.32-01382.28] 你隨便去頭
[01382.28-01384.80] 如果老实那我就要把头在最赚钱的领域
[01384.80-01387.08] 你怎么判断哪个领域赚钱呢
[01387.08-01390.48] 你这时候判断的一个因素非常照理因素是不是
[01390.48-01392.72] 你看哪一个领域当中突然之间
[01392.72-01397.12] 他的产品的价格一路标声就好比疫情期间咱们那个口罩一样
[01397.12-01399.12] 你这时候就会把钱投了什么
[01399.12-01400.96] 就会把钱投了这些行员当中
[01400.96-01403.04] 因为你看到他的价格提升了
[01403.04-01405.04] 你认为他是有列克图的
[01405.04-01407.60] 你分析了一下市场当中的一些经济环境
[01407.60-01409.76] 这个声就得出来说这个行业可行
[01409.76-01411.08] 我投影局之后
[01411.08-01414.04] 那就是什么偏一篇单车变模图
[01414.04-01415.24] 实际变成百亿
[01415.24-01416.04] 都有可能
[01416.04-01417.96] 你看你是怎么做出判断
[01417.96-01419.48] 你是不是在市场价格
[01419.48-01421.80] 新浩发出之后才做出的
[01421.80-01422.88] 条件和行为
[01422.88-01426.40] 那这种条件就是在新浩发出之后的条件
[01426.40-01427.68] 我们把的称之位叫做
[01427.68-01428.88] 市后条件
[01428.88-01429.48] 大家注意一下
[01429.48-01431.00] 这是第2个点
[01431.00-01432.76] 那第3个点就是在这里
[01432.76-01434.72] 我们说了市场这个东西
[01434.72-01436.32] 它其实不太好判断
[01436.32-01437.72] 我说市场在哪呢
[01437.72-01438.64] 你也说不清楚
[01438.64-01441.04] 你说老师我们家超市楼下有个菜市场
[01441.04-01443.00] 我说我这里还有股票市场的
[01443.00-01443.52] 对吧
[01443.52-01445.56] 那说老师我这边我晚上去过
[01445.56-01447.04] 直播逃脑直播的时候
[01447.04-01448.36] 我在那个上面还买东西
[01448.36-01449.64] 他算命的市场呢
[01449.64-01450.84] 他也算市场
[01450.84-01453.68] 所以市场是一个非常宽奋的概念
[01453.68-01456.68] 他没有办法进行非常精准的定位
[01456.68-01458.36] 所以我们就把这种市场
[01458.36-01460.84] 是否给我们的感觉就是他不太好抓呀
[01460.84-01462.60] 所以我们把这种市场调节
[01462.60-01463.92] 也被称着为叫个什么呢
[01463.92-01466.28] 叫做看不见的手的条件
[01466.28-01469.68] 叫做看不见的手的条件
[01469.68-01472.28] 或者一把的称之为叫做无形的手
[01474.28-01478.28] 社的就和我们刚才所说的计划配置形成了线别的对比
[01478.28-01480.28] 那这个看不见的手也好
[01480.28-01481.28] 或者是无形的手也好
[01481.28-01482.28] 它是谁提出来的
[01482.28-01483.68] 同时不在旁边写上
[01483.68-01486.28] 它是我们所说的亚当丝密提出来的
[01489.28-01491.28] 亚当丝密有一个驻作
[01491.28-01494.28] 大家应该都知道叫做果夫录
[01494.28-01497.56] 那雅當司密的國富論
[01497.56-01499.40] 它裡面就提到了交個什麼
[01499.40-01501.46] 無形的手或者是他們電的手
[01501.46-01503.52] 雅當司密對國富論的原名
[01503.52-01506.00] 叫做國民財富的性質和原因研究
[01506.00-01507.44] 所以也叫做國富論
[01507.44-01508.40] 所以大家要知道
[01508.40-01510.68] 這是我們所說的市場配置
[01510.68-01512.08] 在這裡面大家要注意一下
[01512.08-01514.00] 它身上的這個考察點就在於什麼呢
[01514.00-01515.96] 就在於它和我們剛才所說的
[01515.96-01517.84] 計畫配置的一個對比
[01517.84-01519.12] 所以它在考試的時候
[01519.12-01520.48] 大家注意一下會對比
[01520.48-01521.68] 計畫來考察
[01521.68-01523.20] 就會很容易
[01523.20-01526.42] 把这两个点给你高混 张观 李代
[01526.42-01528.46] 所以大家知道 第一个主题
[01528.46-01530.00] 区别前面是市场
[01530.00-01530.80] 第二个呢
[01530.80-01533.18] 计划是市钱 它是时候
[01533.18-01535.80] 第三个 它被称为叫做看不见的时候
[01535.80-01537.74] 出自于亚当司命的活父论
[01537.74-01539.60] 尤其是在看得见的时候
[01539.60-01542.28] 看不见的手段住坐的考察的时候
[01542.28-01544.52] 往往就会给你张观李代
[01544.52-01545.72] 所以大家注意一下
[01545.72-01548.10] 这是我们所说的市场配置
[01548.10-01550.76] 说到市场配置 它其实也是一样的
[01550.76-01553.86] 市场配置它其实很大程度上你补了
[01553.86-01555.66] 计划配置的不足
[01555.66-01559.02] 在这个地方它其实更加坚固的是效率
[01559.02-01561.12] 也是自原配置效率高了
[01561.12-01561.88] 这上我能说的
[01561.88-01563.68] 我如果不给你加限制的话
[01563.68-01565.86] 你就把你手里的这实贵
[01565.86-01567.40] 头到最赚钱的领域
[01567.40-01568.58] 你是这么想的
[01568.58-01570.60] 其他有钱人是不是也是这么想的
[01570.60-01573.66] 大家都会分分把钱头到最赚钱的领域当中
[01573.66-01575.08] 你追求更多的财富
[01575.08-01578.92] 这个时候世界上所有的财富都被继续的怎么样
[01578.92-01579.88] 创造出来了
[01579.88-01582.28] 这种说整个社会就有钱了
[01582.28-01585.48] 这个是市场配置它的一个优点
[01585.48-01587.44] 它有优点,它就必然有什么
[01587.44-01589.12] 它就必然有缺陷
[01589.12-01594.16] 所以在这里,我们来看一下市场配置它的一个缺点或者叫做缺陷
[01594.16-01597.20] 大家注意一下,市场配置它的一个缺陷
[01597.20-01601.04] 它是一个亮星级的理解型的知识点
[01601.04-01604.52] 这个地方在你考的时候,往往就会结合按立了考察
[01604.52-01606.76] 你单纯的背下来没有用
[01606.76-01610.16] 所以在这里要去理解它的一些具体表现
[01610.16-01614.16] 我们来看一下市场配置它的缺险当中的第一点
[01614.16-01616.36] 它的第一个缺险这个傻性呢
[01616.36-01618.16] 我们再说一说一下
[01618.16-01620.76] 它的第一个缺险就做自发性
[01620.76-01622.36] 什么叫做自发性呢
[01622.36-01623.16] 数上给到了
[01623.16-01626.56] 说在价值规律的自发条件之下
[01626.56-01629.36] 生产经济为了追求自身力而导致的
[01629.36-01632.56] 不正当的经济行为和威法的教内中
[01632.56-01634.06] 主力行为就叫做什么
[01634.06-01634.76] 自发性
[01634.76-01638.74] 所以自發自發自發的居主利益
[01638.74-01639.74] 咱們剛才分析了
[01639.74-01641.26] 我們在研究經濟學的時候
[01641.26-01643.20] 咱就做了一個大假設實上
[01643.20-01645.50] 整個市場當中的生產者
[01645.50-01647.82] 所有的廠商都是為了幹嘛
[01647.82-01649.10] 都是為了賺錢
[01649.10-01651.62] 這是我們所說的叫做李星人假設
[01651.62-01652.78] 或者經濟人假設
[01652.78-01653.96] 都是為了賺錢
[01653.96-01656.78] 所以它的目的就是頭最少的錢
[01656.78-01657.88] 賺最多的錢
[01657.88-01659.32] 這是它資深的目的
[01659.32-01661.12] 這是我們所說的生產者
[01661.12-01663.12] 生產者一旦比如這些目的之後
[01663.12-01664.12] 它會怎麼辦呢
[01664.12-01665.76] 他就會想方設法
[01665.76-01667.24] 在他妹的這個東西上
[01667.24-01668.96] 獲得更多的立文
[01668.96-01670.16] 這個就叫做什麼
[01670.16-01672.68] 就叫做自發追求利益
[01672.68-01674.96] 那他自發追求利益之下就會導致什麼
[01674.96-01676.08] 在這裡同標準一下
[01676.08-01678.48] 就做不正當經濟行為
[01678.48-01679.68] 什麼要不正當經行為
[01679.68-01680.88] 就簡單的利益
[01680.88-01683.76] 比如現在我生產一支筆
[01684.96-01685.88] 生產一支筆
[01685.88-01686.80] 這支筆卖多少錢呢
[01686.80-01687.80] 卖一千塊錢
[01687.80-01689.20] 你說老師什麼筆
[01689.20-01690.12] 能卖一千
[01690.12-01690.60] 別管
[01690.60-01693.32] 就是很神奇神筆罵良的筆
[01694.12-01696.96] 假設這有一支一線塊錢的比
[01696.96-01699.12] 這個比是用A材料打造的
[01701.36-01702.76] 那這個比就賣一錢
[01702.76-01704.24] 那你說你賣一千塊錢
[01704.24-01705.40] 那這是一支比
[01705.40-01706.76] 你要賣實質比數就一萬
[01706.76-01709.84] 所以你會發現它的贏利空間其實特別高
[01709.84-01711.28] 但是這裡面遇到一個問題
[01711.28-01713.48] 就是這個比它能夠賣上一線塊錢
[01713.48-01716.88] 其實它本身的材料造價就比較高了
[01718.92-01720.68] 那如果一旦造價高的話
[01720.68-01728.72] 那你看我们所说的这个价格兼去成本是不是他的收入空间或者是影励空间就会渐小了
[01728.72-01730.56] 那这个时候呢 常价就会想
[01730.56-01734.92] 我怎么样能够在这个价格还是卖一天快钱的基础之上
[01734.92-01737.56] 我让我的材料价格第一点
[01737.56-01740.20] 他会想到好一种说是好一种方法
[01740.20-01742.76] 如果说你他是一个有良心的这个企业的话呢
[01742.76-01743.48] 他就会想啊
[01743.48-01747.32] 我在这个国生当中提高生产效率那就是我就有了价格空间
[01747.32-01749.28] 但是有一些无良的商家
[01749.28-01751.06] 这就是无良的商家他就在想
[01751.06-01752.56] A材料太贵了
[01752.56-01753.44] 我也用不起
[01753.44-01754.66] 我这个时候就用什么呢
[01754.66-01755.68] 就用B材料
[01755.68-01758.50] B材料看起来和A材料很像
[01758.50-01761.50] 但是有一个点就是在B材料它有毒
[01761.50-01763.50] 而且用了之后对于身体不好
[01763.50-01765.84] 而且整体的耐用性又不是特别想
[01765.84-01766.94] 但是它会管这个吗
[01766.94-01767.98] 它才不管这个呢
[01767.98-01768.98] 只要它看到说
[01768.98-01771.82] B材料和A材料做出来东西长得都差不多
[01771.82-01773.28] 消费者分辨不出来
[01773.28-01774.76] 那它出于对于什么
[01774.76-01776.36] 对于利益的追求
[01776.36-01777.80] 它就会转尔去选择什么
[01777.80-01781.02] 选择 避材料 而不选择 避材料
[01781.02-01783.52] 于是这时候就会在市场上出现什么
[01783.52-01785.76] 出现假贸委列产品
[01785.76-01789.06] 所以因为那个三句秦案大口网案那个奶粉是怎么来的
[01789.06-01792.34] 就是在他自发追逐力之下所产生的
[01792.34-01796.66] 所以自发性自发性就是自发主力从而导致的什么
[01796.66-01797.94] 不正当的经济行为
[01797.94-01799.84] 这种不正当的经济行为比较长电
[01799.84-01802.44] 现在旁边比如说假贸委列产品
[01802.44-01808.36] 讲冒为立场片就是刚才我们所说的大头玩法的那个男粉的问题
[01808.36-01811.40] 对吧 或者说我们经常出现的山山阵
[01811.40-01815.36] 中南南武器我还没不起到玩呢 对吧
[01815.36-01819.08] 这个就要山阵 或者大家经常看往上看到什么 一会 对吧
[01819.08-01822.88] 中山阵 或者我们所出现的什么 到本 资源
[01822.88-01829.80] 到本资源 他也属于追逐利益而产生的不正当的经济行为
[01829.80-01833.00] 那还有一个就是我们常见的恶意破章水
[01835.00-01836.40] 恶意破章水
[01836.60-01838.80] 如果老师前面的几个吧
[01839.20-01843.00] 我都能理解比如说在这里面提到讲到维练产品
[01843.00-01846.60] 对吧他用比较便宜的采料去做这个东西
[01846.60-01849.20] 或者是我们所说的山战和讲到维练产品
[01849.20-01851.00] 这像是一样的包括道板
[01851.00-01853.00] 那这个恶意破章水是怎么回事呢
[01853.00-01856.80] 这个恶意破章水就是意味着咱俩是同行业竞争的
[01856.80-01859.40] 咱俩同行业竞争的就是你是卖牛奶的
[01859.40-01860.56] 我也是賣牛奶的
[01860.56-01861.32] 但是怎麼樣的
[01861.32-01863.56] 或讓我的牛奶消量和你的
[01863.56-01865.44] 消量比和你的消量比起來
[01865.44-01866.80] 我的消量和更高
[01866.80-01868.00] 那就想一個方法
[01868.00-01869.88] 那我為了追求更高的利用
[01869.88-01871.88] 就想到那些特別不人道的方法
[01871.88-01872.28] 幹嘛呢
[01872.28-01874.28] 我就開始在網上沒水均罵你
[01874.28-01875.92] 我是太陽牛奶不能喝
[01875.92-01877.08] 喝了之後
[01877.08-01879.68] 叫腰不酸了腿不疼了心脹也不跳了
[01879.68-01881.24] 對吧喝了之後人敢了
[01881.24-01882.00] 然後我也說了
[01882.00-01883.00] 我說別喝太陽牛奶
[01883.00-01883.92] 太陽牛奶不乾淨
[01883.92-01886.00] 我們家的牛奶都是在內蒙古大草原
[01886.00-01887.64] 在干塑木廠當中
[01887.64-01889.44] 每天快快乐乐的
[01889.44-01892.00] 活动乱跳的快乐牛所产出来的奶
[01892.00-01893.52] 所以我家的牛奶特别好喝
[01893.52-01894.96] 你们家牛奶不能喝
[01894.96-01895.68] 喝了之后呢
[01895.68-01896.28] 吐头
[01896.28-01897.12] 因为牛呢
[01897.12-01897.68] 意语
[01897.68-01898.48] 把有预制
[01898.48-01900.00] 所以这个奶不能喝
[01900.00-01900.36] 等等
[01900.36-01901.12] 你看我就在吧
[01901.12-01902.56] 上给你散不够的什么
[01902.56-01903.36] 谣眼
[01903.36-01904.76] 我给你拨招水
[01904.76-01905.56] 那在这里面
[01905.56-01906.40] 我们就会发现
[01906.40-01908.36] 这个热意破招水的这个行为
[01908.36-01910.48] 就会导致你的口悲下降
[01910.48-01911.32] 那你口悲下降了
[01911.32-01912.68] 我的市场教育率
[01912.68-01913.64] 不就上来了
[01913.64-01915.12] 所以在这里面大家注意下
[01915.12-01916.12] 热意破招水
[01916.12-01917.36] 它很明显是什么
[01917.36-01920.58] 他很明显是自发性的一个表现
[01920.58-01922.80] 所以在这里,大家一定要注意
[01922.80-01925.70] 这是我们所说的第一个叫做自发性
[01925.70-01926.80] 这叫做自发性
[01926.80-01930.62] 所以自发性自发性,大家注意一下自发居住利益,它保持的结果
[01930.62-01931.96] 不正当的经行为
[01931.96-01934.94] 考理一些行题目的时候,就会给你一个具体的案例
[01934.94-01937.64] 让你去判断,它到底属不属于自发性
[01937.64-01941.04] 就看,它是否是不正当的经济行为就可以了
[01941.04-01944.44] 所以在这里,这是第一个确先叫做自发性
[01944.44-01947.72] 第二,就叫做什麽呢?叫做某木星
[01947.72-01950.32] 所以某木星他產生的原因,大家注意下
[01950.32-01952.36] 某木星有兩個考點,第一個
[01952.36-01954.16] 某木星產生的原因是啥呢?
[01954.16-01959.24] 他說生產精者因不能完全掌握市場各方面的信息
[01959.24-01961.36] 無法掌控經濟變化的趨勢
[01961.36-01966.64] 某木的跟著價格和吃場走,從產生一碰而上的情況
[01966.64-01971.68] 所以某木星他最為直接的表現,大家注意下就是一碰而上
[01971.68-01973.84] 只要你看到这个东西它漲架了
[01973.84-01975.08] 你的本能反应就是什么
[01975.08-01976.04] 它都漲架了
[01976.04-01977.16] 它一定卖得特别好
[01977.16-01979.32] 你就说你就会进行生产
[01979.32-01980.68] 这个就是我们所说的
[01980.68-01981.48] 盲木性
[01981.48-01983.24] 所以它如果要考察盲木性
[01983.24-01986.28] 经常在田中看到什么一宷儿上
[01986.28-01987.76] 或者出现了根封
[01988.68-01989.88] 或者出现了什么
[01989.88-01991.64] 随大利用的这种情况
[01991.64-01994.48] 只要在田中你读出这样的意思表示
[01994.48-01996.32] 它就属于盲木性
[01996.32-01998.52] 到底盲木性为什么会产生呢
[01998.52-02000.12] 盲木性产生的原因
[02000.12-02000.88] 大家注意一下
[02000.88-02002.88] 就是那一句话 朋友把它话出来
[02002.88-02006.08] 叫不能完全掌握市场方面的信息
[02006.08-02008.08] 这个就叫做信息不对称
[02010.28-02011.28] 信息不对称
[02011.48-02014.28] 所以麻木性它就是由信息不对称产生的
[02014.28-02018.08] 由于整个市场 每个行业和领域当中的这些内容
[02018.08-02020.48] 都被该行业的内部人员所掌握
[02020.48-02023.08] 比如说大家是卖苹果的
[02023.08-02025.28] 而我是生产方面面的
[02025.28-02029.44] 大家和卖苹果和我生产方面面说完全不同的生产领域
[02029.44-02031.60] 那我更加了解方便面的信息
[02031.60-02033.84] 大家更加了解苹果的信息
[02033.84-02035.60] 我们两个之间的信息是什么呀
[02035.60-02036.24] 是不对称的
[02036.24-02039.12] 但突然有一天我看到苹果长假了
[02039.12-02040.48] 我看到苹果长假之后
[02040.48-02041.60] 我为看我的天了
[02041.60-02044.08] 方便面我卖了之后才能卖几个钱的
[02044.08-02045.60] 我于是就快就会怎么样
[02045.60-02047.28] 就会停止方便面的生产
[02047.28-02048.08] 主要是去干嘛
[02048.08-02049.52] 生产苹果去卖苹果
[02049.52-02050.72] 那你看在这里面
[02050.72-02054.48] 我也不知道苹果市场当中是否保和了
[02054.48-02056.24] 大家还续不相当多的苹果
[02056.24-02057.84] 我也不管人家是不是
[02057.84-02059.64] 是蘋果 蘋果 蘋果 創新
[02059.64-02060.80] 人家搞的是創新
[02060.80-02062.18] 還是什麼各種各樣的
[02062.18-02063.40] 副家值的味道館
[02063.40-02065.28] 我只要看到蘋果漲家了
[02065.28-02066.34] 我就認為
[02066.34-02068.34] 蘋果就一定比方面面賺錢
[02068.34-02069.74] 那我為什麼會這麼認為呢
[02069.74-02070.80] 就是因為我沒有辦法
[02070.80-02073.64] 或取到完全的蘋果市場的信息
[02073.64-02075.60] 我只能通過他的價格來判斷
[02075.60-02077.76] 我是會只是掌握了某一方面的信息
[02077.76-02079.84] 那正是因為這種信息的不全面
[02079.84-02081.16] 或者叫做不完全
[02081.16-02083.12] 我把的称貝叫信息不對稱
[02083.12-02086.00] 才導致我要跟風去生產蘋果
[02086.00-02086.96] 所以在這裡面
[02086.96-02087.98] 大家要注意一下
[02087.98-02089.78] 我们在以前考试的时候
[02089.78-02092.22] 只考察过这种,就在这
[02092.22-02093.36] 说一红玩上
[02093.36-02096.24] 比如说,我停止生产什么去生产另一个问题
[02096.24-02099.46] 现在我们所说的市场条件的哪一个缺陷
[02099.46-02101.30] 那知道是毛木性
[02101.30-02103.46] 但是这几年考过另外一个点
[02103.46-02107.12] 这个点在山西,在山东都考察过
[02107.12-02107.94] 就是在这
[02107.94-02109.28] 他考到过
[02109.28-02110.00] 细续部队
[02110.00-02112.04] 我们所说的毛木性产生的原因
[02112.04-02113.06] 大家考原因的时候
[02113.06-02115.00] 他也没有考到特别的之伤
[02115.00-02116.14] 他没有直接问说
[02116.14-02118.30] 毛木像產生的原因是什麼?而不是
[02118.30-02119.38] 他說為了
[02119.38-02123.18] 我們所說的避免一空而上或跟風隨大陸的這種情況
[02123.18-02127.14] 以下哪一個措施可以有消的避免這種現象出現
[02127.14-02128.22] 那大家要知道
[02128.22-02131.14] 毛木像產生的原因是信息不對稱
[02131.14-02133.74] 你怎麼樣能夠讓信息對稱和全面一點呢?
[02133.74-02135.78] 其實有一個方法就是要進行什麼?
[02135.78-02137.22] 大量的信息公開
[02137.22-02139.10] 只要進行信息公開之後
[02139.10-02141.58] 我獲得的信息相對來說
[02141.58-02143.70] 變得更加全面和透明了
[02143.70-02146.70] 在这里面 毛木性去是可以避免掉的
[02146.70-02149.10] 当年就是戒者这个
[02149.10-02153.30] 我们所说的 它产生原因来问哪有错是有效的
[02153.30-02155.70] 同时在这里要知道是信息公开
[02155.70-02157.70] 但是能选出信息公开的前提
[02157.70-02160.70] 就是同意没了 知道毛木性产生的原因
[02161.30-02165.50] 这个就是我们所说的第二个叫做毛木性
[02165.50-02168.70] 但是毛木性它有一个结果同样注意
[02168.70-02170.30] 比如说我刚才所说的
[02170.30-02174.06] 就是我看到蘋果非常的賺錢
[02174.06-02177.42] 于是我就停產方便面去生產蘋果
[02177.42-02179.46] 但是這是我自己的想法吧
[02179.46-02183.58] 但是市場當中大陸一下市場中一定有無數個我的
[02184.86-02188.42] 於是不僅我看到了蘋果價格上漲
[02188.42-02190.18] 而是大多數無數個我
[02190.18-02192.38] 於是後一樣的生產者都看到了什麼
[02192.38-02193.54] 蘋果價格上漲
[02193.54-02196.14] 所以大家都會去生產蘋果
[02196.14-02199.06] 那大家都去生產蘋果的結果是什麼
[02199.06-02204.94] 市场当中的苹果数量越来越多,一旦苹果数量变得越来越多的话
[02204.94-02207.26] 同时想一下苹果还会会那么值钱了?
[02207.26-02213.40] 不会,东西一旦变多,或多就不值钱了,苹果的价格就开始一路下滑
[02213.40-02220.58] 我这时候就想完了完了,苹果价格下滑了,我赶紧别生产苹果了,我把手里的苹果卖完之后
[02220.58-02223.14] 我就赶紧去回味到我的方便面行业去吧
[02223.14-02227.22] 结果到我停止生产苹果的时候,其实已经怎么样已经满了
[02227.22-02230.04] 我之前的那些苹果已经在市场当中
[02230.04-02231.42] 很有可能就制修了
[02231.42-02232.66] 因为大家都在生产
[02232.66-02233.78] 已经卖出去了
[02233.78-02235.42] 所以在这里面大家注意一下
[02235.42-02239.06] 某些人可能导致市场当中的产品的
[02239.06-02240.34] 供给增加
[02240.34-02242.58] 而产品的供给增加之后
[02242.58-02244.58] 它的价格就一定会下降
[02244.58-02245.94] 当价格下降的时候
[02245.94-02247.70] 我再去调节生产
[02247.70-02249.62] 就已经来不及了
[02249.62-02252.06] 再去调节就已经来不及了
[02252.06-02253.66] 这个里面我们所说的
[02253.66-02255.90] 再去调节再价格消耗发出之后
[02255.90-02256.98] 再去调节生产
[02256.98-02260.12] 来不及,这个体现是什么兄呢?
[02260.12-02262.90] 就体现的是条件的之后性
[02262.90-02267.30] 所以在这里面我们来看一下,之后性是市场条件的一种
[02267.30-02271.52] 事后条件,它是在价格信号发出之后再去调整
[02271.52-02275.92] 也就是意味着从价格形成到价格信号发出
[02275.92-02278.30] 它有一定的什么时间差
[02278.30-02280.62] 如果一旦有时间差的存在
[02280.62-02286.74] 你再去调节的话,网网网就是落后雨价格信号发出进行了条件
[02286.74-02290.42] 那这种时候可能会造成一部分资源已经显示了
[02290.42-02292.30] 这个就叫做我们所说的什么象
[02292.30-02294.38] 叫做智候性
[02294.38-02296.26] 所以之后行同一们总去判断的
[02296.26-02298.98] 我们在考试的时候其实也很明确
[02298.98-02302.58] 这是他王王会在提案当中给我们非常明显的读出来
[02302.58-02304.26] 他有一定的时间差
[02304.26-02307.26] 你就看是价格西后发出之后
[02307.26-02308.38] 写旁边
[02308.38-02310.42] 是信号发出后
[02310.42-02311.50] 他才就干嘛干嘛
[02312.66-02315.50] 那这种情况之下就叫做之后行
[02315.50-02315.98] 之后行
[02315.98-02318.50] 這是我們所說的第三個卻線
[02318.50-02319.82] 那同時我們一定要明確
[02319.82-02322.38] 毛木性表現的是一種現象
[02323.42-02324.10] 大主義
[02324.10-02326.10] 毛木性表現的是一種現象
[02326.10-02327.82] 這種現象就是在市場當中
[02327.82-02330.22] 會出現一紅而上的情況
[02330.22-02334.18] 而毛木性導致的結果是之後性
[02334.18-02336.42] 就是因為大家一紅而上
[02336.42-02339.50] 從而導致市場當中的東西變多了
[02339.50-02340.86] 不知錢不知錢
[02340.86-02342.86] 價格消耗發生之後你再去挑戒
[02342.86-02344.90] 那你之前所造成的損失
[02344.90-02346.70] 已经是没有办法稳回到了
[02346.70-02348.38] 这个就叫做之后性
[02348.38-02351.50] 这三个呢就是市场调节的缺陷
[02351.50-02354.10] 我们来简单的回顾一下
[02354.10-02357.70] 我们在自然配置方式当中给大家讲了两个
[02357.70-02359.22] 第一个呢就在这里
[02359.22-02360.42] 有这么几个方便问题
[02360.42-02361.14] 大家来看一下
[02361.14-02363.62] 首先第一个为什么会产生自然配置
[02363.62-02364.62] 原因在什么
[02364.62-02368.58] 原因就是因为自然是西缺的 对吧
[02368.58-02370.02] 就是因为东西不够
[02370.02-02372.34] 所以咱们才要去配置它
[02372.34-02374.70] 让我们所说的这种有限的自然
[02374.70-02376.64] 满足大多数人的需要
[02376.64-02379.04] 所以在这里大家一定要明确第一个点
[02379.04-02380.54] 这是资源的西缺性
[02380.54-02382.38] 是资源配置方式的原因
[02382.38-02384.10] 那资源的配置方式有两个
[02384.10-02384.94] 一个叫计划
[02384.94-02386.08] 一个叫市场
[02386.08-02388.26] 那计划主要是谁来做
[02388.26-02389.54] 政府来做
[02389.54-02393.66] 那么说了是政府在第二年经济开始运行之前就去做了
[02393.66-02397.74] 所以它是在经济运行前叫做市前条件
[02397.74-02399.42] 政府看得见摩的招
[02399.42-02401.92] 所以被称入为叫做看得见的手
[02401.92-02404.14] 出自于看似的通论
[02404.14-02405.06] 那我们说了
[02405.06-02406.98] 计划配置很公平
[02406.98-02408.46] 但是它的什么太低了
[02408.46-02410.18] 它的效率太低了
[02410.18-02411.66] 于是为了初期效率
[02411.66-02414.22] 出现了第二种配置方式
[02414.22-02417.18] 那第二种配置方式就叫做市场配置
