[00000.00-00004.08] 今天来聊聊为提当中的第三个方面的网
[01074.72-01075.30] 然后呢
[01075.30-01076.26] 尤其是到了晚上呢
[01076.26-01077.12] 时候又你一个人
[01077.12-01077.92] 然后他那个
[01077.92-01080.18] 那个酒店那个隔局的这个社交
[01080.18-01081.40] 有点奇刻的一进舞
[01081.40-01082.20] 就是一面大静子
[01082.20-01083.68] 我当时一看到那个镜子的时候
[01083.68-01085.92] 我就心下我稍微有一点紧张
[01085.92-01087.00] 因为我不太喜欢镜子
[01087.00-01090.00] 另外一开东的时候你自己都让人进入下一票
[01090.00-01095.64] 但是当我把这个行李放在旁边有仔细关锋那个镜子的时候发现那个镜子最上的铁的是
[01095.64-01098.00] 受过主义核心价值观非常大的几个字
[01098.00-01100.36] 我当时心就放到肚子里了
[01100.36-01101.72] 当然这是开一个玩笑
[01101.72-01104.80] 但是我们能够看到有关受过主义核心价值观的宣传
[01104.80-01106.60] 在生活当中其实是无处不在的
[01106.60-01109.28] 你其实甚至是看我们看到的那种电影
[01109.28-01112.32] 包括在逼战上看恐怖电影的时候
[01112.32-01116.08] 一旦有高能军出现提到前方高能接下来怎么样
[01116.08-01119.32] 但幕户體受主義和增加人們在屏幕當中就殺起來了
[01119.32-01122.22] 甚至包括我們現在在過年的時候幾乎服
[01122.22-01127.74] 這個服務也會提到什麼禁業服、愛國服、風線、這種啊、幾乎服
[01127.74-01130.16] 那五乎的理念來源是什麼?
[01130.16-01131.96] 也是社會主義和增加這款
[01131.96-01132.72] 用很多同一說
[01132.72-01135.64] 說老師這核心社會主義和增加這款我天天看
[01135.64-01137.04] 我都有點看逆了
[01137.04-01140.92] 同一會兒你要知道這個社會主義和增加這款對我們當下的國家來說
[01140.92-01142.08] 其實很重要的
[01142.08-01145.40] 它其實能夠從全方位的去展示一個國家的風貌什麼樣
[01145.40-01147.20] 一个社会的风望什么样子
[01147.20-01151.54] 一个国家当中的人的风望又是应该是什么样
[01151.54-01153.34] 我们以前在去讲到古人的时候
[01153.34-01155.38] 我们有很多美好的形容子
[01155.38-01158.72] 我们说他人意理智信说他温两公简让
[01158.72-01161.28] 但是现在的中国的当代人
[01161.28-01163.06] 他应该是一个什么样的风望呢
[01163.06-01165.12] 我们如何去落实这样的风望呢
[01165.12-01168.96] 我们就需要找到一个非常核心的价值引力
[01168.96-01171.26] 能够把这价值引力落实到生活当中去
[01171.26-01172.54] 这个东西就是什么
[01172.54-01173.82] 就是社会主义
[01173.82-01175.10] 核心价值观
[01175.10-01177.24] 收主以橫架之官的内容大家都会背
[01177.24-01178.68] 我在这里不做过多最树
[01178.68-01180.02] 我要给大家点一下考点
[01180.02-01183.74] 收主以橫架之官的分别从三个层次回答的三个问题
[01183.74-01187.38] 这三个层次分别是从国家层面去强调的
[01187.38-01189.18] 叫副强民主文明核心
[01189.18-01191.32] 回答了我们要建设什么样的国家
[01191.32-01194.96] 在社会层面我们提到了自由平等公正法制
[01194.96-01197.76] 我们在这里要去强调一个建设什么样的社会
[01197.76-01201.20] 在公民层面我们提到叫爱国静夜城信有善
[01201.20-01204.16] 我们在心时在调节之下要陪于什么样的公民
[01204.16-01207.36] 所以他从3个伪度分裂是建设什么样的国家
[01207.36-01208.96] 建设什么样的社会
[01208.96-01210.96] 陪似什么样的公民去定义了
[01210.96-01212.96] 而他再去考试的时候呢
[01212.96-01214.92] 大家就也他就喜欢考
[01214.92-01216.16] 我们所说的对应
[01216.16-01218.04] 就是国家层面有哪些提法
[01218.04-01219.48] 社会层面有哪些提法
[01219.48-01221.40] 公民层面有哪些提法
[01221.40-01222.60] 大家知道是不是有一个人家
[01222.60-01224.64] 如果对人的影响是钱一模花的
[01224.64-01227.64] 你可能不经意间总能在街头向位
[01227.64-01228.64] 在大家小像
[01228.64-01230.28] 在我们看到的路灯上面
[01230.28-01231.56] 在酒店的金融上面
[01231.56-01233.44] 甚至在我们的小区的这样的一个
[01233.44-01236.68] 公告兰当中 或者多少都能看到社会主义和家人关
[01236.68-01239.44] 他对你的影响是钱一末化的 时间一九
[01239.44-01241.00] 他慢慢的就会告诉我们
[01241.00-01244.80] 我们阴当建设什么样的国家 阴当是什么样的社会
[01244.80-01248.28] 我们在自身 历身的时候应该臭面什么样的公民
[01248.28-01250.80] 在这里面就有核心价值关 说老说获了
[01250.80-01252.00] 这东西这么生气呢
[01252.00-01254.24] 大家不要小去钱一末化的力量
[01254.24-01257.08] 这种钱一末化的影响不单单是在我们这一代
[01257.08-01258.64] 更是在我们所说的什么
[01258.64-01260.52] 下一代 社会主义和心价值关
[01260.52-01264.24] 他强大就强大在他从事务主义和人家是体系
[01264.24-01267.84] 那么龐杂的这样体系观念里面体练出来了
[01267.84-01269.96] 我们所说的这24个字
[01269.96-01271.80] 我们把个称为24真经嘛
[01271.80-01274.52] 这24个字的实操性特别的强
[01274.52-01277.36] 他是把国家的追求和老百姓的性
[01277.36-01279.48] 国家对于国家建设的追求
[01279.48-01282.80] 和人民对于生活的追求老老的绑在了一块
[01282.80-01284.52] 他的实际性就在于
[01284.52-01287.76] 他将一个唯独就是老百姓的生活的生意的唯独
[01287.76-01289.00] 就是国家的建设
[01289.00-01291.82] 也就是在这个里面国家和人民是一体的
[01291.82-01294.26] 老师 你说的这么抽象感觉说得好深
[01294.26-01295.20] 我觉得简单历算
[01295.20-01297.50] 同时来看一下核心 核心是什么意思
[01298.60-01301.24] 老师 核心就是核心嘛
[01301.24-01303.34] 对吧 其实我之前讲客文同学们
[01303.34-01305.58] 永久基本农田什么意思我找同学一解释
[01305.58-01307.64] 同学们跟我说老师永久就是永久
[01307.64-01309.98] 基本就是基本农田就是农田嘛
[01309.98-01311.28] 我们问同学们核心什么意思
[01311.28-01312.88] 同学们核心就是核心
[01312.88-01315.62] 我们经常在生活当中提到核心
[01315.62-01318.18] 我们也在科学发展官当中提到
[01318.18-01320.04] 和血是社會的本質屬性
[01320.04-01321.68] 到底什麼是和血呢
[01321.68-01323.76] 其實從猜自己的角度來看
[01323.76-01325.86] 我們來看一下和血怎麼寫
[01325.86-01327.42] 合呢是一個合
[01327.42-01328.56] 左邊加一個口
[01328.56-01329.82] 合代表的是什麼
[01329.82-01330.92] 代表的是兩是
[01330.92-01332.54] 代表你要吃吃口
[01332.54-01333.76] 代表就是吃
[01333.76-01335.76] 那和血的合的第一步就是什麼
[01335.76-01337.46] 就是人人有飯吃
[01338.70-01340.44] 和血社會就是要人有飯吃
[01340.44-01341.54] 這是要吃的吧
[01341.54-01343.66] 老實中國人非常的親切
[01343.66-01344.42] 他們經常
[01344.42-01346.54] 你看我們跑到之間打招呼
[01346.54-01348.74] 我对吧 现在可能先上聊一下多一点
[01348.74-01350.54] 你比如说像在以前农村
[01350.54-01351.94] 或者是在那个楼下
[01351.94-01352.94] 你看到大爷大妈
[01352.94-01354.34] 他们在去那两个时候
[01354.34-01355.50] 他们经常聊的是
[01355.50-01356.78] 吃了门您来 对了
[01356.78-01357.74] 就是问你吃饭
[01357.74-01358.94] 为什么中国人看吃饭
[01358.94-01360.34] 因为中国人经受过
[01360.34-01362.14] 我们所说的这样的一个苦痛
[01362.14-01364.22] 所以他们在生活当中
[01364.22-01365.86] 成切的问候就是你吃了
[01365.86-01366.22] 对吧
[01366.22-01367.14] 所以你看那个时候
[01367.14-01368.34] 我们追求的是什么社会
[01368.34-01369.74] 叫人人有饭吃
[01369.74-01370.74] 我们就是想要吃饱
[01370.74-01371.74] 那和鞋呢
[01371.74-01373.54] 和鞋的鞋左边是鞋子旁
[01373.54-01374.54] 又别是鞋
[01374.54-01375.94] 言代表的是什么
[01375.94-01377.34] 言代表的是说
[01377.34-01379.74] 接在古文当中代表的是都
[01379.74-01380.42] 就是什么
[01380.42-01382.02] 人人有话说
[01383.02-01385.14] 我们所说的和写社会就是什么
[01385.14-01386.06] 无非就是
[01386.58-01388.02] 人人有饭吃
[01388.78-01389.78] 人人有话说
[01389.78-01391.82] 这是老百姓追求的最简单的生活
[01391.82-01393.42] 把你吃饱了能够长得去聊天
[01393.42-01395.30] 你不受到任何的限制你的言论
[01395.30-01397.42] 不会被无端的去放大
[01397.42-01400.62] 这个就是人人有饭吃人有饭吃人有话说
[01400.62-01402.06] 这是我们追求的生活
[01402.06-01405.26] 老百姓对于核心社会的这样一个本质上的追求
[01405.26-01406.94] 那伤生到国家层面是什么
[01406.94-01410.18] 伤到国家层面人有饭吃就叫做风衣族食啊
[01411.90-01413.26] 人有话说最重要的是嘛
[01413.26-01415.26] 就叫做言论自由啊
[01415.66-01417.02] 所以同一们来看一下
[01417.02-01418.54] 社会主义核心价值观
[01418.54-01422.22] 它就是把人民本质上对生活的中理念相往
[01422.46-01425.26] 从上升到一个国家的围图上
[01425.26-01427.58] 就是把国家和人民经济融合在了一块
[01427.58-01428.46] 所以你看我说了
[01428.46-01429.78] 收主以恒家主官
[01429.78-01432.38] 为什么我们要去接那他
[01432.38-01434.18] 为什么我们要去见醒他
[01434.18-01437.10] 因为他是人们对于生活本质的一种追求
[01437.10-01439.98] 所以收主以恒家主官为什么叫做精神扭戴
[01439.98-01443.86] 因为他是全人民的全民族人民的性物追求
[01443.86-01445.82] 为什么叫做共同的思想基础
[01445.82-01448.18] 我们在刚刚在定位当中去提到了
[01448.18-01451.50] 因为他就是在本质上老百姓想的这些东西
[01451.50-01451.82] 对吧
[01451.82-01453.82] 所以叫做核心价值观
[01453.82-01455.78] 所以在这这大家解释这么多
[01455.78-01458.38] 所以两个考点第一个核心价值观的地位
[01458.38-01460.18] 第二个考点就是在这里面
[01460.18-01462.18] 我们要明确受主义核心价值观
[01462.18-01463.78] 它的一个内容
[01463.78-01468.38] 经常可能而也会考到受主义核心价值观和核心价值体系之间的关系
[01468.38-01470.78] 受主义核心价值体系的内容很多
[01470.78-01473.78] 你就知道核心价值观就是从什么呢
[01473.78-01477.18] 就是从受主义核心价值体系当中体练出来的
[01477.18-01487.18] 售主義核心价值體系中體鏈出來的
[01487.18-01492.18] 這個就是我們想了建設文化強國當中的第一步
[01492.18-01496.18] 就是打造一個我們最明鏈的這個內合
[01496.18-01499.18] 售主義核心价值觀叫售主義核心核觀
[01499.18-01501.18] 這是第二個點 尼共有兩個考點
[01501.18-01504.18] 我說了建設文化強國 建設售主義文化
[01504.18-01506.50] 除了陪遇和健行受助以恨下之关之外
[01506.50-01507.46] 我们还要干嘛
[01507.46-01509.94] 还有间谍文化自信
[01509.94-01511.54] 所以我们来看一下第三个问题
[01511.54-01513.14] 就是间谍文化自信
[01513.14-01515.26] 说繁荣受助以文化
[01515.26-01516.46] 就说到文化自信
[01516.46-01517.50] 在这几年的时候
[01517.50-01520.58] 我们的文化自信其实是空前的这样一个强大的
[01520.58-01522.46] 在那一年的时候
[01522.46-01523.50] 我们开冬奥会的时候
[01523.50-01524.90] 我不知道大家还记不记得
[01524.90-01526.58] 在那一年开冬奥会的时候
[01526.58-01529.34] 我们都会的开幕式和原本的
[01529.34-01531.58] 2008年的下较于会的开幕式
[01531.58-01532.70] 是不是完全不一样
[01532.70-01536.86] 然後之後呢我們再去採訪張一謀導演的時候張一謀導演當時什麼說的
[01536.86-01537.90] 張一謀導演說
[01537.90-01540.10] 說早在多年的時候說08年
[01540.10-01541.46] 說08年要運會的時候
[01541.46-01544.18] 那是我們第一次成半世界級的奧運賽事
[01544.18-01545.30] 說我們那個時候
[01545.30-01549.54] 恨不得把自己的家底都拋出來去給人家看看中國有這些東西
[01549.54-01551.70] 所以我們說了張一謀導演真的是
[01551.70-01553.42] 民伏歧視在李曼尼雅會的時候
[01553.42-01554.54] 導演真的特別的好
[01554.54-01556.54] 對吧當然多會倒的也很好
[01556.54-01559.50] 那那個時候他是說我們就恨不得把中國所有的文化
[01559.50-01561.50] 我们所有拥有的5000年文化
[01561.50-01563.22] 今天全部拿出来给人家看
[01563.22-01565.50] 所以那个时候我们看到开幕式的现场
[01565.50-01565.90] 对吧
[01565.90-01569.02] 我们看到大脚续续跑过的那个角色之后
[01569.02-01570.06] 然后点上了生活
[01570.06-01573.14] 我们看到了中国的整个文化发展的
[01573.14-01573.86] 这样的一个卖落
[01573.86-01576.98] 我们看到了中国的活资议刷的这样的一个现场
[01576.98-01577.86] 所以当时呢
[01577.86-01578.70] 全都换火
[01578.70-01580.50] 所以临发你要奥运会的开幕式
[01580.50-01582.86] 我们放在现在我们都说了这世界级的
[01582.86-01583.42] 然后呢
[01583.42-01584.78] 又线为前几年呢
[01584.78-01586.70] 我们知道东京下较运会的时候
[01586.70-01589.58] 看不着大说了一数可以低气
[01589.58-01591.54] 也太不可以接地斥等等这些热烂
[01591.54-01595.70] 所以我们说了我们的怀目的这样现场
[01595.70-01598.46] 那么的就是在整个事要一会看不着当中
[01598.46-01600.02] 都是属于12的
[01600.02-01601.42] 真的是非常的精彩
[01601.42-01603.86] 所以这是08年我们会发现非常的红大
[01603.86-01604.94] 但到了我们所说的
[01604.94-01606.98] 多二会中国承扮的时候你会发现
[01606.98-01608.22] 他变得变了
[01608.22-01610.14] 他不在下08年那么就红大
[01610.14-01614.18] 他以中国人所能展现出来的那种文化的
[01614.18-01615.02] 我们的底约很温柔
[01615.02-01616.42] 我们做了很多的缩剪
[01616.42-01618.38] 你看在看目视的现场当中
[01618.38-01619.78] 我们有道记时
[01619.78-01621.58] 我们有24节气去道记时
[01621.58-01622.70] 就有中国的特色
[01622.70-01623.90] 有中国人的浪漫
[01623.90-01625.30] 又能看到中国
[01625.30-01626.46] 在这样的一个
[01626.46-01628.06] 960万的土地上
[01628.06-01629.66] 它的美丽的这样的一个画卷
[01629.66-01630.98] 这是我们当时在微博上
[01630.98-01632.98] 说这是读数中国人的这样的浪漫
[01632.98-01634.58] 我们用这种去道记时
[01634.58-01636.82] 我们甚至给到了很多的这样的一个
[01636.82-01637.38] 内涵
[01637.38-01638.50] 我们看到了雪花
[01638.50-01640.94] 从无数小雪花变成很多的大雪花
[01640.94-01642.22] 我们看到了和平哥
[01642.22-01643.66] 我们是看到那个割子
[01643.66-01646.38] 它都预议过家的早日的这样一个痛疑
[01646.38-01647.66] 我们在多会的时候
[01647.66-01648.50] 它非常的減愿
[01648.50-01649.22] 甚至在最后
[01649.22-01650.34] 按照生活点燃的时候
[01650.34-01651.22] 也没有特别地垮成
[01651.22-01652.22] 而是两个
[01652.78-01653.58] 我们所说的
[01653.58-01654.94] 这样那个奥运火劲手
[01654.94-01655.74] 它点着
[01655.74-01656.62] 我们所说的这个
[01656.62-01657.70] 拿着这个奥运火劲
[01657.70-01661.06] 把那个雪花当中的生活点燃了
[01661.06-01661.46] 对吧
[01661.46-01662.22] 所以在这时候
[01662.22-01663.42] 我们发现08年都都要
[01663.42-01664.78] 会相当的重要简结
[01664.78-01666.54] 但是它依旧很美
[01666.54-01667.98] 按照张云某导演
[01667.98-01669.10] 能这样的一个话来说
[01669.10-01670.30] 它说现在我相信
[01670.30-01671.18] 我们这样的
[01671.18-01672.22] 这么大的一个国家
[01672.22-01673.34] 我们不需要再说
[01673.34-01676.82] 从我们所说非常红大的这样的一个场面是一支称我们
[01676.82-01680.34] 我们有足够的文化资先向世界宣言我们国家
[01680.34-01683.72] 我们现在的文化资先不在原资于我们有什么展示点
[01683.72-01685.46] 他们而是我们有足够的信心
[01685.46-01688.50] 让他们能够体会到我们中国文化的感染力
[01688.50-01691.10] 那也确实中国文化的感染力体现特别好
[01691.10-01693.58] 并认为形容收到很多大家的这种热爱
[01693.58-01696.94] 大家再去我们所说到多少会到那种吃那些东西的时候
[01696.94-01698.14] 我们也都能够发现
[01698.14-01699.18] 不吃得特别好
[01699.18-01700.88] 当时在那个意思上
[01700.88-01701.62] 在推特上
[01701.62-01703.26] 大家没有去看到那个评论
[01703.26-01703.76] 他说
[01703.76-01704.98] 大家一定要记得
[01704.98-01706.32] 说各国运动员一定要记得
[01706.32-01708.46] 说你们失去参加比赛的
[01708.46-01709.36] 而不是去度假的
[01709.36-01710.54] 甚至有人说
[01710.54-01713.20] 全世界连累最后的一点人在中国
[01713.20-01715.24] 他们感受到了中国的影视文化
[01715.24-01716.26] 吃了很多的叫子
[01716.26-01718.62] 他把他十几天吃了200多个叫子
[01718.62-01720.18] 然后看到了中国很多的
[01720.18-01721.12] 张金融游戏
[01721.12-01722.72] 中国的礼发很强啊
[01722.72-01723.12] 对了
[01723.12-01724.00] 所以等等
[01724.00-01725.02] 我们是通过实际上
[01725.02-01727.06] 感受到了这样文化的强大
[01727.06-01730.02] 所以我们说了中国的文化的抵运非常的深厚
[01730.02-01731.86] 我们不应该抛弃中国的文化
[01731.86-01733.66] 我们要坚定自己的文化
[01733.66-01736.02] 自信所以我们在这里才会提到另外一个点
[01736.02-01737.30] 我们在收上画一下
[01737.30-01739.98] 如果文化自信是更基础
[01739.98-01742.54] 更广泛更深厚的自信
[01742.54-01744.34] 为什么是基础广泛深厚
[01744.34-01745.94] 因为文化是一个女带
[01745.94-01747.66] 它是一种精神力量
[01747.66-01751.26] 而中国的文化号号当到五千年的这样的文化
[01751.26-01754.26] 它就是运语除了中国的深厚的这样一个
[01754.26-01755.78] 我们所说的文化内和
[01755.78-01757.78] 所以我们说了文化自信
[01758.18-01759.50] 它是更基础
[01759.50-01761.78] 更广泛 更深厚的自信
[01761.78-01762.58] 后面的一化
[01762.58-01763.86] 它也是一个国家发展
[01763.86-01764.78] 不成当中
[01764.78-01768.70] 更基本更深成更持久的力量
[01768.70-01771.22] 所以在这里面大家知道这是文化自信
[01771.22-01772.94] 在这个文化自信当中
[01772.94-01774.50] 我们现在大家注意一下
[01774.50-01775.18] 掌握的点
[01775.18-01775.78] 就是第一个
[01775.78-01777.62] 它是一种什么样的自信
[01777.62-01779.42] 基础 广泛 深厚
[01779.42-01781.26] 第二个就是我们要在这里明确
[01781.26-01782.70] 它是一种什么样的力量
[01782.70-01785.30] 就是基本深成持久
[01785.30-01789.02] 中国文化的影响你真的是后界很足 大家注意一下
[01789.02-01792.66] 那一下我们能够体现到中国的这样文化的力量
[01792.66-01795.30] 它是更基本 更深成 更持久的
[01795.30-01798.38] 其实在哪一个案例当中能够体现出来呢
[01798.38-01800.02] 就是在崛起年代当中
[01800.02-01802.34] 大家知道我非常喜欢崛起年代 对吧
[01802.34-01804.50] 什么光灰岁月这样的一些电距
[01804.50-01807.34] 这一个电视距里面当时有一个片段
[01807.34-01809.02] 就是那个顾轰明老先生
[01809.02-01813.10] 顾明老先生当时在考虑他要不要被感出北大这个事不
[01813.10-01814.34] 大家是不是还记得 对吧
[01814.34-01817.42] 然后在姑姑明老先生决定
[01817.42-01819.82] 说像学生来投票
[01819.82-01821.30] 他到底要不要留在北大的时候
[01821.30-01823.62] 姑姑明老先生就在北大做了一个讲座
[01823.62-01826.62] 但是那个讲座就是叫中国人的精神
[01826.62-01830.14] 我不知道大家在那个最现场天段当中
[01830.14-01831.42] 有没有这个印象
[01831.42-01834.58] 就是他走到那个演讲台上的时候
[01834.58-01836.06] 然后同时们都在下面秀
[01836.06-01837.34] 因为他那个有变了
[01837.34-01839.42] 然后他还整个挺那个傻的
[01839.42-01840.50] 然后什么煙的
[01840.50-01842.58] 他的普任和他都有一个变子
[01842.58-01844.48] 然后他当时上学的时候他很坦达
[01844.48-01845.98] 他说我知道你们笑什么
[01846.08-01848.48] 可是你笑你们笑的是我头上这个变子
[01848.48-01849.18] 他们你们看
[01849.18-01850.48] 然后他就赵过去了
[01850.48-01851.98] 他们三个人都在那个台上赵
[01851.98-01852.98] 以前就变子就
[01852.98-01854.58] 我一下就那个充着学生
[01854.58-01855.18] 蛮学生的学生
[01855.18-01856.78] 是为下面喝到才入的之间
[01856.78-01857.38] 对吧
[01857.38-01858.58] 然后他就说了
[01858.58-01860.08] 他说这有什么好的笑的呢
[01860.08-01861.58] 他说周华文化
[01861.58-01863.58] 就是他说就有什么好笑的呢
[01863.58-01865.36] 他说这个就是周华文化的一条根
[01865.36-01866.98] 所以周华文化转
[01866.98-01868.58] 转不断的这条根
[01868.58-01870.18] 可是在做的同学
[01870.18-01872.08] 他说不管你们愿不愿意听
[01872.08-01876.08] 原本是只要中国人才在
[01876.08-01878.28] 他就要衣服在这装变子
[01878.28-01879.88] 他只剩下不同的是什么呢
[01879.88-01880.88] 只剩下不同的是
[01880.88-01883.28] 如果变个是有型的在头上
[01883.28-01886.48] 竹军的变子是无形的在心里
[01886.48-01888.08] 他说千万不要以为
[01888.08-01890.48] 说我们各调了毛泛川上的西装
[01890.48-01892.48] 满嘴的他当时说的英格历史
[01892.48-01894.48] 对吧他说满嘴的英格历史
[01894.48-01897.48] 杨仁就会高看我们恰恰相反
[01897.48-01900.28] 当一个中国人喜欢成杨仁的时候
[01900.28-01901.88] 恰恰就会引起他们的什么
[01901.88-01906.92] 灭血 只有让他们看到我们中国人有着和他们不同的文明与精神
[01906.92-01909.84] 他们才会在心里对我们有真正的尊重
[01909.84-01912.08] 所以能够看得出来文化
[01912.08-01914.04] 它就是这个国家当中的什么
[01914.04-01916.16] 基本生成的支撑力
[01916.16-01917.76] 而中国和法业务场
[01917.76-01919.28] 它就是能够体现的是吗
[01919.28-01920.60] 持久的张特别量
[01920.60-01922.72] 所以它在当时的课程的现场
[01922.72-01923.88] 去给大家去讲演了
[01923.88-01925.32] 它今天的主题叫做什么
[01925.32-01926.32] 中国人的精神
[01926.32-01928.56] 我对这个片段一直记忆有些
[01928.56-01930.24] 我也希望呢 同时能够跟我
[01930.24-01931.78] 你画在回顾一下
[01931.78-01935.10] 公民老先生当时在中国人的精神的这一场演讲当中
[01935.10-01937.04] 或者他在祝了那种所论术的
[01937.04-01938.16] 中国人的精神
[01938.16-01941.64] 其实就是来自于中国几千年来的文化的
[01941.64-01942.94] 这样一个强大的支撑
[01942.94-01945.34] 咱们来看一下现场这个片段的感受一下
[01945.34-01947.34] 和为中国人的精神
[01947.34-01949.34] 领所都知道
[01949.34-01951.34] 在刚进的世界上
[01951.34-01953.34] 每一个国家、每一个民服
[01953.34-01955.34] 不养自己的精神
[01955.34-01956.34] 比如说美国人
[01956.34-01958.34] 他们春福,国大
[01958.34-01960.34] 但是他们不深深
[01960.34-01962.34] 英国人
[01962.34-01965.34] 春福,春福,深深
[01965.34-01966.34] 他们不深深
[01966.34-01970.34] 他们不深深
[01970.34-01971.34] 他们不深深
[01971.34-01972.34] 英國人
[01973.14-01973.90] 紛服
[01974.26-01975.06] 深深
[01975.70-01977.14] 但是不夠國大
[01977.62-01978.46] 俄國人
[01978.90-01980.42] 國大深深
[01980.78-01982.42] 但是沒有紛服
[01982.98-01985.54] 我聽過一些外國服用徵個講
[01986.30-01987.46] 他們在中國
[01987.82-01989.38] 基礎的月球
[01989.90-01992.10] 就月系歡動過人
[01994.98-01996.02] 這是為什麼呀
[01996.18-01999.02] 16 nine nine nine
[01999.02-02001.02] 25 nine nine
[02004.02-02006.02] 37
[02019.02-02021.02] 29
[02021.02-02025.14] 25
[02025.14-02026.46] 这种事都不会
[02026.46-02028.46] 你来人家喝水了
[02028.46-02030.46] 谁喝水了
[02030.46-02032.46] 谁喝水了
[02032.46-02034.46] 谁喝水了
[02034.46-02036.46] 谁喝水了
[02036.46-02038.46] 谁喝水了
[02042.46-02046.46] 我现在就来推打你们的问题
[02046.46-02048.46] 我们通过人
[02048.46-02052.46] 思想,性格, 如果很多的弱点
[02052.46-02055.46] 但是在我们中国人身上
[02055.46-02059.56] 有其他任何民族都沒有的
[02059.56-02061.56] 來以言遇著東西
[02061.56-02063.96] 大就是溫亮
[02064.96-02066.76] 什麼數分兩岸
[02066.76-02068.46] 是
[02070.46-02071.46] 回京當五月
[02071.46-02073.96] 你來回答這個問題
[02078.46-02079.46] 微信生活
[02079.46-02080.66] 學生意味
[02080.66-02081.66] 溫亮就是
[02081.66-02083.66] 溫省和落滾
[02083.66-02085.36] 溫亮是一種不好的精神
[02085.36-02088.64] 而下差距像中国人体制和道德成立有缺席
[02088.64-02089.52] 闹
[02090.24-02091.36] 闹闹
[02092.32-02093.76] 闹闹闹
[02094.72-02095.60] 文亮
[02096.40-02097.52] 我是分身
[02098.16-02099.76] 你告诉不是诺弱
[02100.24-02102.16] 文亮是一种力量
[02102.40-02103.92] 是一种同情
[02103.92-02106.48] 可人类最后会的力量
[02107.20-02108.88] 我告诉你们一个命
[02109.84-02111.12] 我们中国人
[02111.76-02113.92] 是所有同情的力量
[02113.92-02118.00] 此因為我們完滿產權特徵的比例
[02118.00-02122.24] 生活在一種心靈的生活中
[02122.24-02125.48] 這就是與仰仁不同的地方
[02125.48-02127.92] 中國人的權不生活
[02127.92-02130.08] 自動情感生活
[02130.08-02134.20] 自動擺子人性深處的情感
[02134.20-02138.64] 是心靈的基情和人類之外的情感
[02143.92-02145.92] 要不要
[02145.92-02149.92] 人能在说的这期同属于写吗
[02149.92-02151.92] 我给你这个例子
[02151.92-02154.92] 为什么与欧洲人相比
[02154.92-02158.92] 我们中国人有今年的经营
[02158.92-02160.92] 因为我们中国人
[02160.92-02162.92] 过程是一种心理的
[02162.92-02164.92] 心理的
[02164.92-02166.92] 用头要情形
[02166.92-02168.92] 和心理的力量来计视
[02168.92-02171.92] 要强力用头脑的记者
[02171.92-02181.82] 豐熱, 互造為, 國在體會力, 中國人比外國人有領好, 這是在全世界的公認
[02181.92-02190.82] 你貿貴真是什麼呢?是齊量, 做大人的親心, 中國人的一貿是發貼心的
[02190.92-02200.82] 他們懂得自己的感情, 他們會江心比心, 也請別人, 顯身處, 齊量和照顧的特徵
[02200.82-02202.94] 但日本人也講就很好
[02202.94-02205.86] 我刻在這沒安不著你冒
[02205.86-02208.94] 是一種沒有分方的花
[02208.94-02210.94] 我們中國人的冒
[02210.94-02212.54] 是發自內心的
[02212.54-02213.94] 是一種
[02213.94-02216.66] 並非它算發著
[02216.66-02218.34] 分方的相同
[02218.34-02233.34] 不然你那意思是中国人和外观的区别
[02233.34-02236.34] 中国人六星外观用脑背吗
[02236.34-02241.34] 你可以这样理解我公平现在这样
[02241.34-02243.34] 觉得在心一样
[02243.34-02247.34] 是在冰冻 但我
[02250.34-02253.34] 請教長長長長長的中國人
[02253.34-02256.34] 原來我就來切開個旁邊
[02256.34-02259.34] 審拜時真正的中國人
[02259.34-02261.34] 真正的中國人
[02261.34-02265.34] 是有的 甚至這些
[02265.34-02269.34] 而長人之方 或者心靈生活的人
[02269.34-02271.34] 中国人的进行
[02271.34-02273.94] 使用保障村的金看
[02273.94-02275.34] 中国人
[02275.34-02277.34] 兴成会小的秘密
[02277.34-02280.34] 就是中国人的心灵
[02280.34-02282.34] 与礼制造
[02282.34-02283.34] 把费费劫
[02283.34-02285.34] 保不宏明
[02285.34-02287.34] 将中身治理
[02287.34-02288.34] 宏较
[02288.34-02290.34] 以传过这种非常地静态
[02290.34-02293.34] 所以交责行为
[02296.34-02297.34] 好
[02297.34-02299.62] 好,这个就是在军新年队当中
[02299.62-02301.46] 我们所看到的公民老先生
[02301.46-02303.54] 当时在现场演讲的战略片段
[02303.54-02307.78] 从这个片段当中,我们就能获得多少的感受到中国人的力量
[02307.78-02309.70] 其实就是来自于我们所说的
[02309.70-02312.26] 中国几千年文明期电的这样子
[02312.26-02316.30] 所以,在当机社会当中,我们更多的再去探讨中国的文化
[02316.30-02318.70] 我们看着中国的文化不断的走向世界
[02318.70-02320.10] 扩大了文化的影响力
[02320.10-02322.94] 我们把这种影响力称之为叫做文化原始力
[02322.94-02324.30] 我们想要成心
[02324.30-02327.78] 想要通过我们国人的努力去讲好中国的这样的一个故事
[02327.78-02333.66] 这个时候呢,就是我们所说的在当代我们实现中华民族伟大幅行当中不可惠缺的照一还
[02333.66-02338.18] 我说了,在我们前面讲到中华民族伟大幅行进程的时候我们提到了
[02338.18-02343.50] 说中华民族伟大幅行中华莫莫的本质是国家付墙民族政兴和人民幸福
