[00000.00-00005.00] 了解了整個行政法以行政訴訟法的一個基本價格之後
[01196.14-01197.46] 同能對待
[01198.46-01200.62] 比如說我們都符合
[01200.62-01201.66] 相遇的是吗
[01201.66-01202.60] 第一宝的标准
[01202.60-01205.00] 那既然我们都符合相遇的标准
[01205.00-01206.46] 那这个时候你要怎么办
[01206.46-01207.72] 都是我们同能情况
[01207.72-01210.34] 我们都是相来生活比较便宜的
[01210.34-01212.34] 那同能情况就要通道对待
[01212.34-01213.68] 你不能说爱我和你的关系
[01213.68-01214.42] 天日比较好
[01214.42-01216.70] 就把这个我们所说的东西翻给我
[01216.70-01217.94] 或者相当的政策
[01217.94-01219.82] 相当的我们所说的福利给到我
[01219.82-01220.86] 那只能不行的
[01220.86-01222.62] 所以公平公正原则当中
[01222.62-01224.22] 第一个强调的是同能情况
[01224.22-01225.06] 同能对待
[01225.06-01227.26] 这个对同能来说是比较好理解的
[01227.26-01230.10] 但是它比较喜欢考什么呢
[01230.10-01231.50] 他比较喜欢考第二个
[01231.50-01232.34] 而第二个点呢
[01232.34-01235.34] 也是比较喜欢处理理解行题目的地方
[01235.34-01236.34] 叫不同情况
[01236.34-01237.22] 差别对待
[01241.94-01244.18] 不同情况差别对待
[01244.18-01244.98] 大家注意一下
[01244.98-01246.98] 不同情况差别对待
[01246.98-01248.22] 他也属于什么
[01248.22-01249.94] 他也属于我们所说的
[01249.94-01251.34] 公平公正原则
[01251.34-01254.42] 这个点反而是比较喜欢处理解行题目的
[01254.42-01256.66] 这是不同情况差别对待
[01256.66-01257.90] 经常我们会说了
[01257.90-01261.90] 我们会对老人残见而同技術学特殊的照顾
[01261.90-01265.40] 那对于老人残见而同技術学学特殊照顾的话
[01265.40-01270.60] 他属不属于说违背了和女原子或者是合理行政原子
[01270.60-01271.16] 没有啊
[01271.16-01272.80] 我们说了在正常情况之下
[01272.80-01274.40] 叫做同论情况通论对待
[01274.40-01277.80] 但是我们也要有要考虑到什么考虑到差异话
[01277.80-01279.20] 所以我们经常会看到
[01279.20-01282.60] 比如说在进行警区票家定价的时候
[01282.60-01284.80] 那物价局他在进行定价的时候他说了
[01284.80-01286.10] 那而同免票
[01286.10-01289.78] 老人呢 免票 对吧 承念人的中间的像我们这种人呢
[01289.78-01291.22] 那就是正常受价
[01291.22-01293.90] 我们能一次没有说阿套而同免票
[01293.90-01294.90] 而老人免票
[01294.90-01296.54] 而我因为我没有免票
[01296.54-01297.34] 所以我就去告他
[01297.34-01300.10] 我说你在去进行行政相当的管理的时候
[01300.10-01301.28] 你搞了一个叫做
[01301.28-01303.14] 阿伟被了和李行政原子
[01303.14-01305.06] 不能因为我们在这里其实强调了
[01305.06-01306.86] 和李行政他强调除了同动情况
[01306.86-01307.90] 通路对待之外
[01307.90-01309.54] 針对于我们所说的什么
[01309.54-01310.50] 差别情况
[01310.50-01312.14] 他也要差别对待
[01312.14-01314.30] 那最为常见的就是对老人而同
[01314.30-01315.98] 残忌人的弱势群体保护
[01315.98-01317.68] 我把他的出奇角度寫在旁邊
[01317.68-01318.08] 好吧
[01318.08-01319.68] 就是如果是群體保護
[01323.68-01324.98] 如果是群體保護
[01324.98-01328.08] 那他其實就是屬於公平公正原走
[01328.08-01330.48] 這也說符合我們正常的一個邏輯思維
[01330.48-01332.54] 我們經常在車上看到
[01332.54-01333.78] 所以說不要大了也奶奶
[01333.78-01334.98] 我們還會給人讓作
[01334.98-01336.78] 所以我們在地鐵上
[01336.78-01338.48] 公教上怎麼能看到愛心尊作
[01338.48-01339.88] 對反正不能說人家說
[01339.88-01341.18] 按摩摄這個愛心尊作
[01341.18-01343.38] 然後你就為為了合理行政原走
[01343.38-01344.18] 那只能不是的
[01344.18-01345.88] 所以在這裡面大概注意一下
[01345.88-01351.76] 这是第1个合理行政,第1个强调叫做工型工政原则,也叫做平等原则
[01352.02-01358.16] 合理行政当中的第2个就叫做考虑相关因素,考虑相关因素很少出理解行的题目
[01358.16-01362.78] 这个地方大家只需要知道考虑相关因素,它的一个含义就可以了
[01362.78-01372.24] 这是我们在进行行政决定,或者进行行行行政财量的时候,只是只考虑立法受权的目的不考虑不相关因素
[01372.24-01375.82] 有些在进行你就简单写就是直考虑
[01377.88-01380.44] 直考虑立法受权目的
[01385.04-01388.36] 直考虑立法受权目的不考虑其他
[01391.96-01392.98] 不考虑其他
[01392.98-01396.30] 这个就叫做考虑相关因素
[01396.30-01398.86] 这个地方其实考得特别特别的少
[01398.86-01399.70] 考特别少
[01399.70-01400.90] 而出过一次
[01400.90-01403.62] 在这里面就是提到了说
[01403.62-01407.62] 指考率受权目的不考虑其他属于哪一个原则的
[01407.62-01411.26] 这个时候就知道他属于合理行中原则就行了
[01411.26-01412.06] 大家注意一下
[01412.06-01414.06] 这是第二个
[01414.06-01415.86] 你说老师什么叫指指考虑
[01415.86-01418.06] 立法受权的目的不考虑其他
[01418.06-01420.18] 其实很简单比如说公园招考
[01420.18-01423.70] 像我们现在就已经进入到了公园报名
[01423.70-01424.98] 过去了一段时间了
[01424.98-01429.02] 马上在归的时间大家就要去参加相的公园考试
[01429.02-01432.30] 公园考试他对你的录取和不录取
[01432.30-01433.58] 他只看什么
[01433.58-01435.86] 只看第一个你的成绩合不合格
[01435.86-01437.10] 比是通通过
[01437.10-01438.10] 第二面试的时候
[01438.10-01440.14] 他对你进行面试之后看一项服
[01440.14-01441.26] 你服不服合
[01441.26-01442.90] 他的用人的这种要求
[01442.90-01444.18] 他只考虑这个
[01444.18-01445.58] 因为公园反当中
[01445.58-01447.34] 我们对于公园实施招陆的时候
[01447.34-01449.90] 其实考就是在公园反正已经明确规定了
[01449.90-01450.38] 对吧
[01450.38-01451.74] 他想招陆什么样的人
[01451.74-01452.46] 以及什么样的人
[01452.46-01453.70] 他能够被招陆到
[01453.70-01455.18] 这个就要什么
[01455.18-01456.90] 这个就考虑立法目的
[01456.90-01458.74] 它能不能在对女进行相对
[01458.74-01459.94] 路举和布与路举的时候
[01459.94-01461.38] 考虑你是什么新作的
[01461.38-01462.86] 上级的时候
[01462.86-01464.94] 比世都过了比世她看到的新作
[01464.94-01466.42] 然后面世的时候进来
[01466.42-01467.22] 考官好
[01467.22-01469.42] 考官说考生你好
[01469.42-01471.22] 好接下来你们就开始相当面试
[01471.22-01471.78] 了解
[01471.78-01472.02] 对吧
[01472.02-01473.78] 她说问你几个问题说你是什么做的
[01473.78-01475.14] 我是
[01475.14-01477.14] 我是水泥座的
[01477.14-01477.38] 对吧
[01477.38-01478.74] 或者是我是处女做的
[01478.74-01479.94] 当然没有会处女做效果
[01479.94-01480.38] 对了一散
[01480.38-01481.14] 玩了个
[01481.14-01482.58] 然后说我是处女做的
[01482.58-01483.46] 水泥座的
[01483.46-01484.62] 然后他说你新歌怎么样
[01484.62-01485.86] 说我这个人 新歌
[01485.86-01487.14] Perfect 对吧
[01487.14-01488.50] 追求完美
[01488.50-01489.86] 吹毛球词
[01489.86-01491.06] 鸡蛋里飘骨头
[01491.06-01492.74] 阿伟就可以把工作做的
[01492.74-01494.10] 曼宫出细火
[01494.10-01496.10] 做的这个工作细事长有了
[01496.10-01496.50] 对吧
[01496.50-01498.82] 然后你说这和我的新作和新国有关系
[01498.82-01499.78] 问你什么学习
[01499.78-01500.98] 你说我是必行学
[01500.98-01501.94] 你说他说不行
[01501.94-01503.30] 必行学招闻子
[01503.30-01506.34] 因此考虑让你的新作考虑让你的信息
[01506.34-01507.02] 学行
[01507.02-01508.82] 然后你在面试的时候说不与录用
[01508.82-01509.78] 不与录取
[01509.78-01511.22] 这个就要设计什么
[01511.22-01511.86] 这个就属于
[01511.86-01514.14] 我们现在听到这样的一个故事
[01514.14-01515.54] 你都会大护一些什么
[01515.54-01517.10] 好荒灭啊
[01517.10-01517.46] 对吧
[01517.46-01518.22] 太厉普了
[01518.22-01520.10] 那你看当你觉得荒灭和厉普的时候
[01520.10-01522.58] 其实在于整个行政法院行政中
[01522.58-01523.58] 其实就属于什么
[01523.58-01525.98] 其实他就属于不合理行政了
[01525.98-01528.06] 也就是他没有考虑到实际收钱目的
[01528.06-01529.78] 而考虑了一些其他的因素
[01529.78-01531.06] 所以在这里面你看
[01531.06-01533.82] 什么因为他是什么血型不与陆取
[01533.82-01534.66] 这种情况之下
[01534.66-01537.42] 其实就于公元旅行的只能没有必然的联系
[01537.42-01539.10] 你没有考虑到立法目的
[01539.10-01540.30] 那这个时候就要什么
[01540.30-01542.82] 这个就要被被烤率相关因素原则
[01543.58-01544.54] 所以这种情况之下
[01544.54-01545.06] 大家知道
[01545.06-01546.66] 烤率相关因素就是强调
[01546.66-01549.42] 它必须要符合立法收拾的目的
[01549.42-01550.42] 这是第2个
[01550.42-01551.22] 第3个点
[01551.22-01551.82] 大家注意一下
[01551.82-01555.66] 第3个点是在核立形狀当中最长烤的一个执政点了
[01555.66-01557.22] 它叫做比例原则
[01557.22-01559.42] 比例原则经常就会靠产
[01559.42-01561.38] 我们所说的理解形体目
[01561.38-01564.10] 它叫做比例原则包括三项内容
[01564.10-01565.22] 这三项内容当中
[01565.22-01567.22] 第1个就叫做核目的性
[01567.22-01568.50] 什么叫做核目的性
[01568.50-01574.14] 所谓的核目的性就是我们进行形装机关进行形装材量形装管理的时候
[01574.14-01576.18] 它是不是要材取相的措施
[01576.18-01579.26] 这种情况之下你材取相的具体措施
[01579.26-01581.82] 它必须是符合法律目的
[01581.82-01585.66] 所以在这里所谓的核目的性就是符合法律目的
[01586.94-01589.22] 就是符合法律目的
[01589.22-01594.86] 而符合法律目的大家注意一下在于咱们的整体的形装法当中一般情况下
[01594.86-01596.26] 出于什么的目的性
[01596.26-01597.86] 只是出于公共厉的性
[01597.86-01602.06] 所以经常看到什么为了公共利益的需要等等 对不对
[01603.56-01605.06] 为了公共利益的需要
[01605.06-01606.96] 然后我采取了什么地方措施
[01606.96-01608.96] 他出于对于公共利益的考量
[01608.96-01611.06] 那这时候就属于什么 核目的性
[01611.06-01613.56] 就属于比例原则当中的第一个核目的性
[01613.56-01615.36] 第二个就要做事当性
[01615.36-01617.06] 事当性的他强调的是什么
[01617.06-01621.56] 是结果与措施和手段之间必须存在的正当性
[01621.56-01625.06] 也就是我们出于公共利益的这个目的的需要
[01625.06-01627.76] 我要达到或者完成这个公共
[01627.76-01630.40] 利益的需要 我是不是可以猜出很多种方式
[01630.40-01634.56] 那你猜取的这个方式 他一定要选什么 有利于目的实现
[01634.56-01640.00] 这个就叫做事当性 所以事当性的就强调结果与错试和手段之间
[01641.52-01644.60] 叫结果与错试
[01646.48-01649.28] 还有我们所说的手段之间
[01651.76-01654.96] 手段之间存在着正当性
[01657.76-01660.58] 存在着正当性
[01660.58-01662.88] 这个就叫做事当性原则
[01662.88-01665.44] 而最维长考的其实这里的哪一个呢
[01665.44-01670.04] 就是我说在比例原则当中经常会考到的就叫做損害最小
[01670.04-01672.60] 这个損害最小的同学在旁边标准一下
[01672.60-01675.68] 所以的損害最小就是你小要实现你的公益目的
[01675.68-01677.48] 你的方式是不多种多样
[01677.48-01679.72] 那你要选哪一个方式最合理呢
[01679.72-01682.34] 同学在損害最小的旁边标准一下
[01682.34-01685.66] 就是机关能用轻微方式解决问题的
[01685.66-01686.94] 就用轻微的方式
[01686.94-01688.94] 所以在这里就在旁标主一下
[01688.94-01690.94] 就是能轻威则轻威
[01695.54-01697.78] 能轻威则轻威
[01697.78-01700.78] 就是你一定要在你所有的这些方式当中
[01700.78-01701.98] 去选一个什么
[01701.98-01704.82] 去选一个最小的損害公民
[01704.82-01706.50] 全一的这样一个手段和方式
[01706.50-01708.94] 这个就叫做損害最小原则
[01708.94-01709.98] 那说老师这里面
[01709.98-01711.14] 我们要重点找过什么呢
[01711.14-01713.14] 同时在合理形状者里面要记得
[01713.14-01714.98] 你大概最起码要知道合理形状
[01714.98-01716.38] 它包括三个子原则
[01716.38-01718.18] 這三個子元則分別都是什麼
[01718.18-01720.02] 第二個考慮疫情題目的地方
[01720.02-01722.26] 同論在這要必須明確
[01722.26-01725.34] 我們所說的公平公眾原則當中的差別情報
[01725.34-01727.50] 以及比例原則當中的損害最小
[01727.50-01729.26] 那你還上這裡損害最小原則
[01729.26-01731.02] 他再去考察的時候經常會給到
[01731.02-01733.38] 說我不出於為了實現什麼什麼目的需要
[01733.38-01735.58] 對吧我採用了最嚴厲的方式
[01735.58-01737.54] 最嚴重的方式達到了這個目的
[01737.54-01738.14] 然後問
[01738.14-01741.86] 他不符合我們所說的行政法當中的哪一項新聞原則
[01741.86-01743.42] 你採取最嚴厲
[01743.42-01746.64] 最嚴重的最激烈的状况是个手段
[01746.64-01748.10] 那他其实就唯为了什么
[01748.10-01749.82] 就唯为了我们所提到的
[01749.82-01751.62] 比率元责当中的損害最小
[01751.62-01753.78] 但他很少会考察到損害最小
[01753.78-01756.62] 一般请还要考到比率元责这就停了
[01756.62-01758.88] 所以我们在比率元责一般强调做什么
[01758.88-01759.84] 少肉米
[01759.84-01760.98] 云昕是少肉米
[01760.98-01763.22] 就是能不侵犯公民前一的
[01763.22-01765.26] 咱们就尽量的不侵犯
[01765.26-01766.94] 所以你还我们经常会提到
[01766.94-01768.86] 什么在行政强制的时候
[01768.86-01769.78] 我们强调说
[01769.78-01771.22] 你想让它去旅行一无
[01771.22-01773.06] 比如说他该叫电费了
[01773.06-01776.10] 他不就要对吧 或者他应该旅行什么行政意误他不理想
[01776.10-01778.54] 能不能给他水端了 能不能给他电端了
[01778.54-01781.66] 不行 因为我们在这时候强调是法律禁止
[01781.66-01784.30] 为什么禁止给老百姓断水端店
[01784.30-01789.18] 因为我们提到了 要尽量地能用轻微的方式去解决问题的
[01789.18-01790.98] 就要轻微的方式解决问题
[01790.98-01795.86] 所以在这里面 他是要符合行政法罢 合理行政原走的
[01796.86-01799.90] 所以这是我们所提到了关于合理行政
[01799.90-01803.94] 所以合力形狀大家知道合理合理 第一個公平是合理的
[01803.94-01806.44] 第二個是考慮相關因素是合理的
[01806.44-01809.62] 你想一想因為你是使你做處理做的不語錄用
[01809.62-01811.38] 離譜 荒謬 對吧
[01811.38-01813.58] 所以在這裡考慮相關因素院子
[01813.58-01816.94] 第三個比例院子當中有其要注意損害最小
[01816.94-01818.82] 前面的核目的形和適當性
[01818.82-01822.10] 你大概有個印象知道它的概念是什麼就行了
[01822.10-01824.46] 這兩個地方處理現題目很少
[01824.46-01827.70] 所以這是第二個我們叫做合理形證
[01827.70-01828.90] 就算合理行政
[01828.90-01831.90] 那第三一個就叫做城學政當院子
[01831.90-01833.10] 這個城學政當呢
[01833.10-01834.90] 他包括三個方面的內容
[01834.90-01836.50] 所以的城學政當呢
[01836.50-01838.10] 他其實強調的就是
[01838.10-01840.90] 我們在進行一項行政管理也好
[01840.90-01843.50] 或者進行一個具體行政行為也好
[01843.50-01847.90] 他在城學上是如何一步一步的把這個事去做出來的
[01847.90-01851.10] 所以這個就叫做城學政當
[01851.10-01852.30] 就叫做城學政當
[01852.30-01856.50] 所以我們來看一下他必須說這個行政管理的行為也好
[01856.50-01857.70] 或者是行政法
[01857.70-01859.70] 他在運行當中的程序政當院子
[01859.70-01860.86] 包括哪些內容
[01861.10-01862.90] 程序政當院子的第一個委育度
[01862.90-01863.82] 大家要知道
[01863.82-01866.22] 就是程序政當包括三個方面的內容
[01866.38-01868.74] 第一個就叫做行政公開
[01868.90-01870.58] 行政公開一般和什麼有關的
[01870.58-01872.74] 就是為了保證公民的知情權
[01874.10-01876.06] 為了保證公民的知情權的話
[01876.06-01878.90] 所以他就會有相打行政公開
[01879.10-01881.58] 行政公開他有要求同樣注意一下
[01881.74-01882.94] 一般請一下強調的
[01882.94-01885.94] 或是比較常見的就是政府的信息公開
[01885.94-01890.86] 比如说你灯露你所在地的政府官方网站
[01890.86-01892.74] 你是灯露政府官网站之后
[01892.74-01894.70] 你会发现太有很多的信息披露
[01894.70-01896.38] 这个信息披露的包括
[01896.38-01897.74] 哪个地方修什么东西
[01897.74-01899.30] 然后进展到什么程度了
[01899.30-01900.78] 有可能包括对吧
[01900.78-01904.46] 发一些考试照片考试的这样的一些公告
[01904.46-01906.62] 对吧又或者我们经常能看的
[01906.62-01908.74] 我们要出台什么什么的草案
[01908.74-01911.06] 或者是政府要出台什么什么样的决定
[01911.06-01912.78] 我们可能平时不太关心这个事
[01912.78-01913.58] 但是后续的时候
[01913.58-01915.18] 你就可以去网站去看一看
[01915.18-01918.26] 他经常会出现什么呢?经常他就会出现
[01918.76-01922.10] 在他的政府官网当中会专门有一套
[01922.86-01924.14] 有一套什么东西呢?
[01924.40-01926.44] 就是他就这项决定
[01926.44-01929.00] 或者这项草案或者这项什么东西
[01929.00-01930.28] 然后他会有
[01930.28-01934.12] 向民众开放的争求意见搞或者争求意见平台
[01934.38-01936.16] 那一他这种他其实都是什么
[01936.16-01937.96] 他其实都属于我们所说的
[01937.96-01940.26] 程序政当原则当中的内容
[01940.52-01944.12] 程庄当原则当中的行政公开呢?在这里面我们就说了
[01944.12-01946.80] 政府网站上或各形容情况
[01946.80-01948.60] 就会披露各种各样的信息
[01948.60-01950.28] 那稀稀披露他就属于什么
[01950.28-01952.56] 形容公开原则的一种体现
[01952.56-01953.92] 但是形容公开原则
[01953.92-01956.68] 我们说了原则人是政府信息公开
[01956.68-01958.88] 但政府可不是啥稀稀都公开的
[01958.88-01960.36] 所以在形容公开原则
[01960.36-01961.12] 他有一个例外
[01961.12-01962.68] 同没有简单去记一下
[01962.68-01963.96] 形容公开原则
[01963.96-01965.40] 他的一个例外
[01965.40-01966.80] 他的例外就在于什么呢
[01966.80-01967.76] 同样标准一下
[01967.76-01970.32] 这是国家秘密、商业秘密和个人演
[01970.32-01971.60] 个人隐私
[01971.60-01976.48] 他就是我们所说的一般情况是呀 不公开的这种情况啊
[01976.48-01978.16] 首先第一个就是国家秘密
[01978.16-01980.56] 睡到国家秘密的他能不能给你公开
[01980.56-01985.48] 只能不能公开啊 你说这个比如说国家的有很多的这种处方要
[01985.48-01989.28] 对吧 或者是我们国家所看到了很多社国家秘密这种写
[01989.28-01992.84] 你稍微网上 上政府网站去申请他
[01992.84-01994.80] 信息公开他能不能给你公开
[01994.80-01996.04] 他只能不能给你公开
[01996.04-01999.04] 所以国家秘密的话他一般情况之下 不公开
[01999.04-02001.04] 而且是任何情况下 不公开
[02001.60-02003.54] 所以是一律不公開的情況
[02003.54-02005.14] 這是睡到國家秘密
[02005.14-02007.04] 那還可能會睡到什麼呢
[02007.04-02009.86] 還可能會睡到商業秘密和個人隱私的
[02009.86-02011.32] 商業秘密和個人隱私呢
[02011.32-02014.04] 像這種消息一般情況之下
[02014.04-02015.48] 原則上不公開
[02015.48-02016.74] 但是有例外
[02016.74-02019.14] 這個例外就是如果它睡到國家
[02019.14-02020.38] 公共立的需要的話
[02020.38-02021.18] 那這個時候
[02021.18-02026.88] 經我們所說的所睡到商業秘密和個人隱私的這個企業和
[02026.88-02028.84] 在人的統一可以公開
[02028.84-02030.20] 所以商業秘密和個人隱私
[02030.20-02033.56] 他是屋元金同意或被公共利益可公開
[02036.80-02038.36] 就是金同意公開
[02038.36-02039.36] 這兩個點
[02039.36-02040.64] 同時只要知道
[02040.64-02044.12] 他是屋元的公開或者是政府信息公開
[02044.12-02045.76] 這種情況就行了
[02045.76-02047.28] 比如說打官司
[02047.28-02049.48] 打官司中國也有可惡可惡公司
[02049.48-02050.88] 然後說來打官司
[02050.88-02052.36] 你把那個可惡可惡公司的那個
[02052.36-02054.16] 可惡的配方的公開下
[02054.16-02055.44] 怎麼可能也公開呢
[02055.44-02056.40] 因為之屋是什麼
[02056.40-02057.84] 這屋元商業秘密
[02057.84-02058.20] 對吧
[02058.20-02059.60] 所以在這裡行政公開
[02059.60-02060.32] 大家知道
[02060.32-02063.36] 形容公開是原則上是公開的
[02063.36-02066.32] 但又例外就是國家秘密商業秘密和個人隱私
[02066.32-02068.64] 它沒有辦法去實行公開
[02068.64-02071.12] 這是我們所說的第一個叫形容公開原則
[02071.12-02072.72] 為了保證老百姓的知情權
[02072.72-02073.92] 最起碼咱們在知道
[02073.92-02075.20] 咱們所住的這個地方
[02075.20-02076.88] 它到底發生了什麼事
[02076.88-02079.20] 哪個地區現在其實都有自己的APP
[02079.20-02081.28] 你比如說林毅在線
[02081.28-02082.64] 比如說即示辦
[02082.64-02083.84] 對吧 你看像這種
[02083.84-02085.20] 它都有自己的地區APP
[02085.20-02086.08] 你下一個之後
[02086.08-02087.52] 你會發現的天天給你發消息
[02087.52-02088.80] 然後今天又辦了什麼
[02088.80-02089.72] 明天有办了什么
[02089.72-02090.84] 今天做了啥事
[02090.84-02092.28] 明天政府在哪个地方修路
[02092.28-02093.40] 今天哪一块停电
[02093.40-02094.20] 大家要怎么样
[02094.20-02095.20] 它这都是什么
[02095.20-02097.20] 这都是一行政公开
[02097.20-02099.04] 都是程序政盗体现
[02099.04-02100.28] 因为关管明
[02100.28-02101.92] 你最近要让老百姓知道
[02101.92-02104.20] 你这事做的是公开透明的
[02104.20-02106.60] 所以第一个叫做行政公开
[02106.60-02109.28] 行政公开就是程序政盗的第一个原则
[02109.28-02112.08] 程序政盗的第二个原则就叫做
[02112.08-02113.64] 工作参与
[02113.64-02117.88] 公众参与的就是老百姓参与到行政行为的全国城
[02117.88-02120.48] 說老百姓怎麼參與到行政行為的權貨成啦
[02120.48-02123.84] 你比如說你在做某像處罰或者是決定之前
[02123.84-02127.88] 比如說我還是因為誤闖紅燈它罰了20塊錢這件事
[02127.88-02131.64] 那它在進行處罰決定之前
[02131.64-02134.60] 它是不是在告訴我它為什麼罰我
[02134.60-02139.40] 對不對所以我們說了公眾參與當中的第一個就是在比如說在決定之前
[02139.40-02143.84] 它必須告訴我我的這個告訴我它罰我的這件事
[02143.84-02146.52] 它為什麼罰我對不對它罰我的依據是什麼
[02146.52-02148.12] 这是不是在决定之前
[02148.12-02150.12] 他在处罚决定开出来之前
[02150.12-02152.88] 告知我是我猜与到他的形政管理
[02152.88-02154.44] 他的形政处罚当中去了
[02154.44-02156.08] 这在决定前他要告知
[02156.08-02157.52] 那决定中那怎么样
[02157.52-02161.00] 他在决定中他必须要听取我的诚树和身边
[02161.00-02161.88] 他罚我了吗
[02161.88-02164.20] 他罚我之后他说你看这是处罚决定
[02164.20-02167.00] 形政处罚他可能会睡到听政程序
[02167.00-02168.76] 他说你要不要解释一下
[02168.76-02169.80] 我睡你听我脚变
[02169.80-02171.24] 我不是故意了怎么怎么样
[02171.24-02173.08] 那你看这是在决定过程当中
[02173.08-02174.48] 他要听取我的什么
[02174.48-02176.76] 听取我的成说身边
[02176.76-02177.76] 听说我成身边
[02177.76-02178.72] 然后我就跟他说说
[02178.72-02179.44] 听我脚变
[02179.44-02181.28] 然后我就跟他在那儿跟焦津解释
[02181.28-02182.08] 就说好的
[02182.08-02183.24] 我了解这个情况了
[02183.24-02184.80] 然后他就把这个处发决定
[02184.80-02185.76] 说发到我手里了
[02185.76-02187.00] 这时候在决定之后
[02187.00-02187.76] 他就说了
[02187.76-02189.76] 他说虽然你说了这些东西
[02189.76-02192.00] 但是依然没有办法
[02192.00-02193.80] 我们所说的就是
[02194.40-02195.08] 迷补
[02195.08-02198.36] 或者是应该没有办法合理性的说同级炒红灯的事实
[02198.36-02199.72] 这就是在决定之后
[02199.72-02200.96] 他就可以把处发决定
[02200.96-02202.28] 说送较到我的手中
[02202.28-02204.90] 并且在这个
[02204.90-02206.06] 出发决定说
[02206.06-02209.32] 送大给我之后跟我去解释说明说我为什么
[02209.32-02211.04] 没有听你刚才的角电
[02211.04-02212.60] 那这个是在决定之后
[02212.60-02213.64] 告知我
[02213.64-02214.52] 他不采
[02214.52-02217.20] 我的观点和证据的理由
[02217.20-02218.84] 所以公众参与呢
[02218.84-02220.60] 其实就是我们所说老百姓
[02220.60-02222.72] 参与到决定的全国城
[02223.72-02226.48] 叫做参与决定的
[02228.08-02229.00] 全国城
[02229.00-02230.72] 那参与决定的全国城
[02230.72-02232.52] 其实就包括我们刚才所说的
[02232.52-02235.96] 在决定前告知决定中成数身边
[02235.96-02237.00] 听我脚边
[02237.00-02238.64] 然后在决定之后告诉我
[02238.64-02239.24] 说行了
[02239.24-02240.08] 你脚边过后了
[02240.08-02240.84] 出来净数给你
[02240.84-02242.24] 前几个交易交
[02242.24-02242.80] 亲
[02242.80-02243.84] 然后我说为啥呢
[02243.84-02244.84] 他就给我告知我
[02244.84-02246.04] 在决定之后告诉我
[02246.04-02247.04] 他不采取
[02247.04-02249.40] 或是不接纳我的说明的理由
[02249.40-02250.20] 对一句
[02250.20-02250.44] 对吧
[02250.44-02251.56] 所以这个就是
[02251.56-02252.88] 我们所说的老百姓
[02252.88-02254.64] 参与决定的全过程
[02254.64-02256.32] 这个就叫做公众参与
[02256.32-02257.80] 最后一个就是在程序
[02257.80-02258.64] 张当当中
[02258.64-02259.76] 就是威了保证
[02259.76-02263.24] 你的形容管理和形容材觉它的一个公平性
[02263.24-02266.16] 这个时候就会摄一道一个什么叫做回避原则
[02266.16-02269.84] 回避原则一般情况会公务原法连接的比较紧密
[02269.84-02274.24] 我们常见的回避其实就是我们所提到的叫做公务回避
[02277.64-02281.28] 常见的就是我们所提到的叫做公务回避
[02281.28-02283.80] 那这个公务回避就是我们一般情况之下
[02283.80-02286.80] 认为它如果是和我的这个权有历害关系的话
[02286.80-02289.32] 我其实可以申请相当的人员回避的
[02289.32-02291.08] 这个就叫做回避也原则
[02291.08-02291.84] 你看
[02291.84-02293.34] 我们所说的回避原则
[02293.34-02295.24] 服服程序政当要求符合
[02295.24-02295.52] 对吧
[02295.52-02297.46] 因为我们说了在整个程序上
[02297.46-02298.84] 如何一步一步的
[02298.84-02301.92] 我们所说让这个形政材权政行为
[02301.92-02304.12] 然后他各符合法律性的规犯
[02304.12-02306.64] 各符合我们所说的公平公政原则
[02306.64-02308.08] 其实程序政当
[02308.08-02310.52] 他就能够我们所说的体现
[02310.52-02312.88] 这样或者是实现这样的目的要求
[02312.88-02313.32] 对吧
[02313.32-02314.54] 所以在这里大家注意一下
[02314.54-02317.00] 程序政当的一共三个方面的内容
[02317.00-02319.30] 这三个方面有一些小的细节代表主以下
[02319.30-02321.08] 第一个就是原则上
[02321.08-02322.12] 细细要供开
[02322.12-02323.66] 他是行政公开原则
[02323.66-02342.08] 但是也有理拜
[02342.08-02345.88] 叫注意它的原則的大原則小燕走的欠透
[02345.88-02348.00] 就是這個框架一定要收理清楚
[02348.00-02349.88] 框架不收理清楚不背下來的話
[02349.88-02352.16] 正常做體就可能一盟圈
[02352.16-02354.04] 這是程序政當
[02354.04-02356.20] 程序政當在考察的過程當中
[02356.20-02357.52] 我們只需要掌握兩個
[02357.52-02360.20] 第一個程序政當的子園則有哪三個
[02360.20-02362.16] 第二個就是形正公開原則
[02362.16-02364.52] 它的一個例外的表現
[02364.52-02366.64] 這第三一個叫做程序政當
[02366.64-02368.92] 第四一個呢就叫做高效變明
[02368.92-02370.24] 高效變明原則呢
[02370.24-02371.52] 其實就是資面意思
[02371.52-02376.16] 首先第一個高效高效就是什麼高效就是形狀效率原則
[02376.16-02380.96] 所以所謂的形狀效率就是基金旅行法定執責追手法定用實現
[02380.96-02386.56] 你在體驗當中看到說他為了我們所說的辦事不脫他這個效率比較快
[02386.56-02390.96] 那這個介紹做什麼就要做高效提倡的介紹做形狀效率
[02390.96-02395.84] 這個點其實很好變認 考察起來也不能所以在這兒被大家做過的解釋
[02395.84-02402.24] 但这个高效原子,或者行政效原子,它真的是在我们市场,或者行政机关改革之后
[02403.00-02406.60] 没隼了,对吧,对于老百姓来说它真的是一件
[02406.84-02407.88] 大好事
