[00000.00-00004.04] 小朋友大家好 欢迎大家来学习新的知识板块
[00004.04-00005.80] 我是结束青年的解锐
[01085.40-01086.68] 因为他没有完成
[01086.68-01088.60] 我们所说的革命任务和历史任务
[01088.60-01089.24] 那这种情况
[01089.24-01090.04] 是想老百姓
[01090.04-01091.88] 依旧是受过去受压迫
[01091.88-01093.40] 那这个时候的中国
[01093.40-01094.92] 又能去指望谁呢
[01094.92-01095.64] 我们来看一下
[01095.64-01096.92] 当时的中国情况
[01096.92-01098.44] 当下一个面结束之后
[01098.44-01099.56] 中国已经当时
[01099.56-01101.32] 没有可以在一靠的接级
[01101.32-01102.52] 能够记忆不帮助
[01102.52-01104.92] 我们去争取这个民族的独立和解放了
[01104.92-01105.48] 对吧
[01105.48-01107.64] 所以在当时我们就能够看到
[01107.64-01108.84] 自然接级整个
[01108.84-01110.92] 在我们所说的革命旅途当中
[01110.92-01112.52] 最终无论是改良派
[01112.52-01113.24] 还是革命派
[01113.24-01115.16] 都是以失败而高中的
[01115.16-01116.60] 而且恰恰这个时候
[01116.60-01117.56] 原视开切取了
[01117.56-01118.76] 些还革命的果实
[01118.76-01119.40] 而之后
[01119.40-01120.76] 原视开游去世了
[01120.76-01123.40] 宣入到了军华军法混战的
[01123.40-01124.36] 这样一个情况
[01124.36-01126.84] 整个中国当时是非常黑暗的
[01126.84-01128.60] 那个时候的中国想要什么
[01128.60-01130.76] 那个时候的中国想要的就是
[01130.76-01133.00] 争取民族独立和解放
[01133.00-01134.92] 一方面推翻风劲
[01134.92-01136.28] 地努界级的统治
[01136.28-01137.48] 推翻我们所说的
[01137.48-01138.52] 地国主义
[01138.52-01140.44] 然后达老军法除内乱
[01140.44-01141.64] 这个时候就做独立
[01141.64-01143.24] 但另一方面我们也想要
[01143.24-01144.76] 迎来新的国家的建设
[01144.76-01146.12] 周邀球解放
[01146.12-01148.20] 但自然接级已经失败了
[01148.20-01149.08] 这种情况之下
[01149.08-01150.68] 我们还能依靠谁
[01150.68-01153.72] 这个时候就出现了新的力量
[01153.72-01155.24] 这个新的力量是在哪里
[01155.24-01155.88] 但是呢
[01155.88-01158.36] 这个新的力量是在新的花玉弄之后
[01158.36-01159.88] 在新的花玉弄之后
[01159.88-01162.44] 很快我们就有了五四亿人动
[01162.44-01163.80] 于是在五四亿弄当中
[01163.80-01165.40] 动现出来了新的阶级
[01165.40-01166.84] 也就是我们所说的什么
[01166.84-01167.72] 公然阶级
[01167.72-01168.76] 那在这种情况之下
[01168.76-01170.04] 前面的那些阶级
[01170.04-01171.08] 它独立探索
[01171.08-01171.96] 就往突存到路
[01171.96-01172.68] 都失败了
[01172.68-01174.68] 那我们这个时候就只能一块谁了
[01174.68-01176.68] 就只能一块公然阶级
[01176.68-01178.52] 来领导和整级这个国家了
[01178.52-01181.32] 于是到了1919年五四亿弄的时候
[01181.32-01183.84] 中国进入到了革命的展新一一
[01183.84-01185.08] 这个展新的一一
[01185.08-01188.44] 我们把它称着为叫做新民族主义革命时期
[01188.44-01190.20] 也是我要给大家去讲的
[01190.20-01192.20] 详细的当时的这个阶段
[01192.20-01193.72] 新民族主义革命时期
[01193.72-01196.36] 是在191919年到1949年
[01196.36-01199.72] 这个阶段被称着为叫做新民族主义革命时期
[01199.72-01200.68] 那就说老师
[01200.68-01202.28] 那1919年之前呢
[01202.28-01205.08] 1919年之前咱们也在打仗
[01205.08-01206.28] 也在搞革命了
[01206.28-01208.56] 也在去探索这个国家的独立
[01208.56-01210.12] 那个时候叫做什么时期
[01210.12-01211.08] 来看一下
[01211.08-01214.36] 这个时候叫做救民族主义革命时期
[01214.36-01216.36] 如果老师都是民族革命
[01216.36-01218.12] 你在还分出了新就呢
[01218.12-01219.08] 原因很简单
[01219.08-01221.00] 大家注意想按照我们所说的
[01221.00-01222.52] 马斯的这个理论
[01222.52-01224.68] 马斯日为这个世界的他的耕体
[01224.68-01226.68] 是从什么时候怎么耕点的呢
[01226.68-01230.28] 他认为整个社会是从原始社会
[01230.28-01231.80] 到努力社会
[01231.80-01233.88] 在到风见社会
[01233.88-01235.48] 在到资文主义社会
[01235.48-01236.92] 最终走向什么呢
[01236.92-01237.80] 社会主义
[01237.80-01240.20] 然后从而实现共产主义
[01240.20-01241.88] 这是马斯他认为整个社会
[01241.88-01243.72] 根跌他的一个数据
[01243.72-01245.00] 而这样的一个根跌
[01245.00-01245.88] 大助理一下
[01245.88-01247.96] 是由谁推翻原始社会
[01247.96-01249.16] 来建立努力社会
[01249.16-01252.36] 大助理一下是由努力主推翻原始社会
[01252.36-01254.92] 而努力社会是由地主来推翻的
[01254.92-01256.92] 而风见社会要由谁来推翻
[01256.92-01258.68] 风见社会理论上
[01258.68-01260.84] 是应该由资产阶级来推翻的
[01260.84-01262.20] 你看那个时候中国主在
[01262.20-01264.12] 半殖民地半风见社会
[01264.12-01266.92] 我们的目的是不是推翻殖民推翻风见
[01266.92-01268.20] 那推翻风见社会
[01268.20-01269.32] 应该是谁都认我
[01269.32-01271.16] 应该是资产阶级的任务
[01271.16-01272.52] 但是资产阶级怎么样
[01272.52-01273.80] 资产阶级失败了
[01273.80-01274.92] 无论是改良派
[01274.92-01276.36] 还是我们所说的什么
[01276.36-01278.44] 无论是改良派还是革命派
[01278.44-01280.76] 最终都以十败而告终
[01280.76-01281.96] 所以在这种情况之下
[01281.96-01282.60] 你看
[01282.60-01285.72] 资产阶级推翻风见社会的
[01285.72-01287.24] 革命应该就叫做什么呢
[01287.24-01289.00] 叫做民主革命
[01289.00-01290.36] 但是资亿中国来说
[01290.36-01292.12] 中国的资产阶级失败了
[01292.12-01294.60] 那这个时候我们的民主革命任务
[01294.60-01296.20] 就由谁来继承了呢
[01296.20-01298.60] 就由我们所说的公人阶级来继承了
[01298.60-01300.68] 公人阶级原本搞的应该叫什么
[01300.68-01302.20] 应该叫无产阶级革命
[01302.20-01304.52] 或者叫做社会主义革命
[01304.52-01305.56] 因为这种情况之下
[01305.56-01308.12] 公人阶级应该推翻的是资产阶级
[01308.12-01310.52] 但是在中国由于
[01310.52-01311.88] 中国资产阶级失败
[01311.88-01314.68] 公人阶级承起了资产阶级的大企业
[01314.68-01315.96] 要去推翻什么
[01315.96-01317.56] 要去推翻风见社会
[01317.56-01320.28] 也说公人阶级干了什么事
[01320.28-01321.88] 干了民主革命的事
[01321.88-01323.00] 那这种情况之下
[01323.00-01324.36] 我们就是为了区分
[01324.36-01326.76] 那你说中国都是在搞民主革命
[01326.76-01329.48] 那原本的由资产阶级领导的
[01329.48-01330.36] 就叫个什么
[01330.36-01331.72] 就民主主义革命
[01331.72-01333.48] 而现在民主革命的大企
[01333.48-01335.40] 居然有公人阶级来考了
[01335.40-01336.52] 那这种情况之下
[01336.52-01337.48] 我们的革命
[01337.48-01338.44] 我们的民主革命
[01338.44-01340.12] 是为了要和之前做一个区分
[01340.12-01342.52] 于是我们这种手机把它称着为叫做什么
[01342.52-01343.88] 新民主主义革命
[01343.88-01345.80] 这个新民主主义革命大家注意一下
[01345.80-01347.40] 它是从什么时候开始的
[01347.40-01348.52] 在这里给大家说了
[01348.52-01350.44] 是从5虚动开始的
[01350.44-01351.80] 而5虚动之后
[01351.80-01353.72] 我们就开始去探索建立
[01353.72-01354.92] 中国共产党
[01354.92-01357.08] 于是召开了中共一大
[01357.08-01358.92] 而召开中共一大有了党之后
[01358.92-01360.60] 就要解决中国的问题
[01360.60-01361.88] 中国的问题在什么呢
[01361.88-01363.64] 就在于打老军法
[01363.64-01364.60] 除内乱
[01364.60-01366.12] 在于推翻帝国主义
[01366.12-01367.32] 在于成立新中国
[01367.32-01367.80] 对吧
[01367.80-01369.24] 就是一步一步来的
[01369.24-01369.88] 所以你看
[01369.88-01371.00] 中国共产党的城里之后
[01371.00-01372.28] 我们手机要打老军法
[01372.28-01373.00] 除内乱
[01373.00-01374.36] 去联合国民党
[01374.36-01375.56] 于是这个时候
[01375.56-01376.44] 就有了啥呢
[01376.44-01377.00] 在这儿
[01377.00-01378.12] 召开了国民党一大
[01378.12-01379.64] 开始打军法
[01379.64-01381.40] 有了国民革命
[01381.40-01383.08] 那在打军法打完了之后
[01383.08-01383.96] 我们会发现
[01383.96-01384.84] 军法
[01384.84-01385.88] 只打了一半
[01385.88-01386.20] 对吧
[01386.20-01387.56] 一几块要成功的时候
[01387.56-01388.44] 有人反水了
[01388.44-01390.28] 于是国民党开始
[01390.28-01391.80] 对于中国共产党下手了
[01391.80-01393.88] 于是我们就进入到了土地隔民党中
[01393.88-01395.08] 也就是中国共产党
[01395.08-01397.56] 他自我成熟和发展的这样的一个历程
[01397.56-01400.04] 而我们党随着他的不断成熟和发展
[01400.04-01401.24] 在这个过程当中
[01401.24-01401.96] 低过主义
[01401.96-01404.04] 对于中国的家破一栴的主建的家生
[01404.04-01405.96] 于是爆发了我们所说的什么
[01405.96-01406.92] 抗日的象征
[01406.92-01407.88] 那在这种情况
[01407.88-01409.00] 这下抗战
[01409.00-01411.08] 那进入抗战一旦打写
[01411.08-01411.80] 我们就要把
[01411.80-01412.76] 低过主义赶跑
[01412.76-01414.36] 把日本七六主义赶走
[01414.36-01416.04] 于是爆发了全面抗战
[01416.04-01417.72] 全面抗战结束之后
[01417.72-01418.44] 只有时候
[01418.44-01419.96] 只要矛盾又回味到了
[01419.96-01422.76] 又回味到了中国共产党和国民党之间
[01422.76-01424.68] 于是就有了我们所说的啥
[01424.68-01425.80] 解放战争
[01425.80-01426.52] 所以在这里
[01426.52-01428.84] 我们就可以把新民主主义革命时趣
[01428.84-01429.72] 去化阶段
[01429.72-01430.52] 怎么化阶段的
[01430.52-01431.64] 就刚才我说的
[01431.64-01433.64] 先有新的标志
[01433.64-01434.76] 标志的我们进入
[01434.76-01436.12] 新民主主义革命时期
[01436.12-01438.04] 然后革命任务是什么
[01438.04-01439.08] 达到军法
[01439.08-01439.88] 这个叫
[01439.88-01441.72] 国民革命时期
[01441.72-01442.84] 第二一个就是
[01442.84-01444.20] 在国民革命之后
[01444.20-01446.44] 国民党为了限制中国共产党的发展
[01446.44-01447.24] 中国共产党
[01447.24-01449.00] 他自身也要不断的发展
[01449.00-01449.48] 状大
[01449.48-01450.44] 在这里面
[01450.44-01451.80] 他自己自身发展
[01451.80-01453.88] 从又年走向成熟的时期
[01453.88-01455.88] 叫土地革命时期
[01455.88-01457.16] 那土地革命之后
[01457.16-01459.24] 我们接下来的任务就是抗战了
[01459.24-01460.84] 所以到了靠着战争时期
[01460.84-01462.76] 最后有到解放战争时期
[01462.76-01464.28] 所以新民主主义革命
[01464.28-01465.52] 他是可以化灯
[01465.52-01466.44] 时段的
[01466.44-01467.32] 而每一个时段
[01467.32-01469.40] 他都有一个非常明显的标志
[01469.40-01470.44] 这一张图
[01470.44-01471.48] 非常有用
[01471.48-01472.68] 因为他在考试的时候
[01472.68-01474.36] 有时候就会考到我们
[01474.36-01474.84] 说
[01474.84-01477.08] 以下他属于抗战时期
[01477.08-01479.04] 可能会发生的事件的事
[01479.04-01479.72] 那你最起码
[01479.72-01481.24] 要知道抗日战争
[01481.24-01483.56] 他大概是从什么时候到什么时候吧
[01483.56-01483.96] 对吧
[01483.96-01485.72] 或者他如果在这里去问到
[01485.72-01488.76] 说以下可能发生在国民革命时期的时候
[01488.76-01489.40] 那你只要知道
[01489.40-01490.28] 国民革命
[01490.28-01492.12] 他应该是从什么时候开始的
[01492.12-01493.88] 然后才能去往你对事件
[01493.88-01495.80] 所以这一条
[01495.80-01497.24] 我们所说的时间线
[01497.24-01499.56] 是新民主主义革命时期的时间线
[01499.56-01501.04] 也是我们要在当时当中
[01501.04-01503.32] 给大家讲的非常重要的一条线
[01503.32-01505.40] 所以在这里我把标志性的时间
[01505.40-01508.20] 都给大家在这个时间走上
[01508.20-01509.48] 给大家落下出来了
[01509.48-01511.88] 这个就是新民主主义革命时期
[01511.88-01514.12] 但总关整个中国的发展
[01514.12-01516.84] 我们把新民主义革命时期的时间走
[01516.84-01518.12] 再给他说放
[01518.12-01519.80] 你看在五岁东之后
[01519.80-01523.08] 我们进入到新民主义革命时期
[01523.08-01524.76] 一直革命到什么时候
[01524.76-01526.44] 革命在那个时候就一直打账
[01526.44-01527.48] 我们就俩的理解
[01527.48-01528.76] 那个时候就是在打账
[01528.76-01529.24] 对吧
[01529.24-01530.84] 所以一直打到1949年
[01530.84-01530.88] 1949年
[01530.88-01531.80] 1949年
[01531.80-01534.20] 解放战争生律之后新中国成立
[01534.20-01536.12] 那新民主主义革命有在怎么样
[01536.12-01536.92] 结束了
[01536.92-01538.84] 但新民主主义革命结束了
[01538.84-01540.12] 对于国家的建设
[01540.12-01541.24] 便没有停下来
[01541.24-01543.24] 1949年新中国成立之后
[01543.24-01546.36] 当时的中国叫做新民主主义革家
[01547.56-01550.12] 叫做新民主主义
[01551.40-01552.24] 国家
[01552.24-01553.56] 在这个新民主主义
[01553.56-01554.44] 国家当中
[01554.44-01555.60] 我们要知道
[01555.60-01556.36] 新民主主义
[01556.36-01557.72] 国家他并不是社会主义
[01558.20-01559.48] 因为新民主主义国家
[01559.48-01562.36] 他的接级购成特别的负责
[01562.36-01563.88] 有民主自然接级
[01563.88-01565.08] 有小自然接级
[01565.08-01566.92] 有工人有农民等等
[01566.92-01567.32] 对吧
[01567.32-01568.20] 但是我们也知道
[01568.20-01569.40] 只要是有自然接级
[01569.40-01571.00] 他其实就不能算做什么
[01571.00-01571.80] 只要有自然接级
[01571.80-01573.64] 他其实就不能算做社会主义
[01573.64-01576.28] 于是我们的新中国成立之后的任务
[01576.28-01577.24] 就是想和设法
[01577.24-01579.48] 把新民主主义国家改成什么
[01579.48-01580.92] 改成社会主义国家
[01580.92-01582.36] 那这时候改成社会主义国家
[01582.36-01583.08] 干嘛呢
[01583.08-01585.88] 这时候改社会主义国家的这个过程
[01585.88-01587.16] 就叫做社会主义
[01587.88-01589.16] 我这次革命
[01589.16-01591.16] 他没有通过留学西声而意
[01591.16-01592.20] 所以在这里面
[01592.20-01593.40] 新加坡成立之后
[01593.40-01595.32] 我们要建设社会主义国家
[01595.32-01597.48] 这时候搞的叫社会主义国命
[01597.48-01599.32] 社会主义国命什么时候完成
[01599.32-01600.04] 换句话说呢
[01600.04-01601.56] 就中国什么时候
[01601.56-01603.56] 正是建立了社会主义制度
[01603.56-01604.52] 大家注意一下
[01604.52-01606.52] 中国建立社会主义制度
[01606.52-01609.24] 是在三大改造完成
[01610.28-01613.00] 建立社会主义制度
[01613.00-01615.08] 是在三大改造完成之后
[01615.16-01616.28] 三大改造完成之后
[01616.28-01618.84] 中国正是成为社会主义国家了
[01618.84-01620.04] 有了社会主义制度
[01620.04-01621.72] 叫对社会主义进行什么
[01621.72-01622.44] 建设
[01622.44-01625.32] 你看所以从1956年到1978年之前
[01625.32-01628.28] 我们叫做社会主义的建设时期
[01628.28-01628.60] 对吧
[01628.60-01631.48] 所以在这里大家标准了建设时期
[01631.48-01633.00] 这个建设时期之后
[01633.00-01636.20] 我们都知道1977年到平同志恢复职务
[01636.20-01638.76] 1978年进行改革开放
[01638.76-01639.72] 改革开放意外
[01639.72-01641.32] 中国进入到了新时期
[01641.32-01642.84] 我们把的称论为叫做
[01642.84-01645.00] 改革开放和建设的
[01645.00-01646.12] 新时期
[01646.12-01647.64] 这段时间大家可太熟了
[01647.64-01648.68] 也就去把你改了开放
[01648.68-01649.24] 一只
[01649.24-01651.08] 搞来搞去搞来搞去搞到那一年
[01651.08-01652.44] 搞到2012年
[01652.44-01654.84] 2012年非常重要的一件事情
[01654.84-01656.04] 时代召开
[01656.04-01657.08] 时代召开之后
[01657.08-01657.56] 我们说了
[01657.56-01659.32] 中国进入到了一个什么
[01659.32-01660.52] 新时代
[01660.52-01660.92] 对吧
[01660.92-01662.60] 因为从2012年开始
[01662.60-01665.08] 我们的整体的生活都变得不一样了
[01665.08-01667.32] 我们开始改变了社会主乌短
[01667.32-01669.40] 我们提出中华民族的伟达附星
[01669.40-01671.16] 所以2012年到现在
[01671.16-01671.40] 对吧
[01671.40-01672.76] 今年是2023年
[01672.76-01675.08] 至今我们都处在什么当中
[01675.08-01676.44] 新时代当中
[01676.44-01678.28] 这个时间阶段的画分
[01678.28-01680.20] 同时每一料对这个时间段
[01680.20-01681.08] 有一个了解
[01681.08-01683.40] 我们要知道1919年到1949年
[01683.40-01685.24] 叫新民族主义革命时期
[01685.24-01687.48] 1946年到1956年
[01687.48-01689.08] 叫做社会主义革命时期
[01689.08-01692.20] 我们把这一段统称为叫做革命时期
[01692.20-01693.96] 那社会主义革命结束之后
[01693.96-01696.60] 有了社会主义制度要建设社会主义制度
[01696.60-01698.52] 于是1956年往后
[01698.52-01700.04] 到1978年之前
[01700.04-01702.12] 是社会主义的建设时期
[01702.12-01703.96] 而且78年改了开放
[01703.96-01707.56] 叫中国进入到了改革开放和建设的心时期
[01707.56-01710.92] 这一时期的领导人主要是凳三
[01710.92-01711.48] 对吧
[01711.48-01712.60] 还有科学发展官
[01712.60-01715.00] 也就是我们所说的这三个思想
[01715.00-01716.44] 在他的主要领导之前
[01716.44-01718.84] 中国一月成为世界第二大经济体
[01718.84-01721.80] 而2020年开始走向不同
[01721.80-01722.76] 所以在这里面
[01722.76-01725.80] 2020年18大照开进入到了新时代
[01725.80-01728.20] 这个时间走动来说非常重要
[01728.20-01729.00] 召在哪呢
[01729.00-01731.88] 大家再去学习10周的时候
[01731.88-01734.12] 或者是在学习西思想的时候
[01734.12-01734.60] 对吧
[01734.60-01736.84] 你就会发现这个时间走超久用
[01736.84-01738.60] 因为他会提到我们所说的
[01738.60-01740.44] 四十七四个成就
[01740.44-01742.36] 那四十七四个成就哪来的
[01742.36-01743.48] 就是从这来的
[01743.48-01746.52] 所以我把从1919年的时间走
[01746.52-01749.24] 一直苏里到2020年到今天的花
[01749.24-01751.56] 那这是整个时间的画分的时期
[01751.56-01752.92] 在前面这个部分
[01752.92-01754.52] 在新民主主义革命这个部分
[01754.52-01756.28] 我们要通过党史来讲
[01756.28-01757.72] 而到了后面的时候
[01757.72-01759.88] 在社会主义革命和建设这个部分
[01759.88-01762.68] 大家会发现他在某东思想当中
[01762.68-01763.56] 会提到很多
[01763.56-01766.52] 而到改革开放和建设的这个点
[01766.52-01769.24] 就是改革开放和建设新时七这个地方
[01769.24-01772.28] 他其实更多的是在我们所说的
[01772.28-01773.48] 到平理论三个代表
[01773.48-01775.00] 已经可以发展完这个时期
[01775.00-01776.68] 而到了我们所说的新时代
[01776.68-01779.08] 那就和我们现在所学的新思想
[01779.08-01780.28] 有很大的关系
[01780.28-01781.48] 所以这两个部分
[01781.48-01784.20] 其实是在中特当中是中点
[01784.20-01788.92] 前面这两个部分在当时和某东思想这个地方是中点
[01788.92-01791.72] 那这是我们所说的整个时间种
[01791.72-01792.68] 那我们所说的
[01792.68-01794.52] 后面这两个部分是在中特当中
[01794.52-01795.24] 给大家讲解
[01795.24-01797.88] 前面这个地方是在当时当中讲解的
[01797.88-01799.72] 那我们在接下来的讲的当中
[01799.72-01801.48] 就给大家左中去看一下
[01801.48-01804.44] 从我们所说的1919年开始
[01804.44-01806.36] 一直到我们所说的1945年
[01806.36-01807.88] 这一个阶段的历史
[01807.88-01811.88] 以及它背后所呈现的波兰状况的故事
