[00:00:00] 好,那我们就沿着这样一条主线来主意来看一下这些具体的事件。
[00:18:22] 然后后来当时被采访这个人就说,说我们已经做好了充分的准备,对吧?
[00:18:28] 我们相信并且有这样的一个信心是能够把这个青岛的主权要回来的。
[00:18:34] 所以你看这是在中国铺天盖地这样的宣传,就是我们所说的是一个战胜国。
[00:18:39] 在出去的时候是会享有相应的这样一个权利,但是事实恰恰是相反的。
[00:18:44] 当中国的外交代表团去到巴黎合会上的时候,当时完全是出乎我们的意料的,
[00:18:51] 因为我们当时说了弱国无外交,所以当时没有经过中方的统一,
[00:18:57] 而是直接把德国对中国的我们所说的青岛的战领直接移交给了谁呢?
[00:19:04] 直接移交给了日本。最开始的时候,威尔逊确实是提出了十四条,对吧?
[00:19:08] 说的比唱的都好听,那就是美国一贯做的这种事情了。
[00:19:11] 但是当时的日本就说,如果你们不同意,那我这边我就不参加了。
[00:19:15] 所以它日本也自己要退出我们所说的这个巴黎合会也有,来威胁美国,
[00:19:20] 结果美国当时放手就不管了,而当时的法国也放手不管了。
[00:19:23] 当时派过去的我们所说的这个外交代表团,大家都知道由我们所说的这个顾为军王正廷,
[00:19:31] 对吧?还有一个人,就是三个人,还有一个人姓陆,忘了叫什么名字了。
[00:19:36] 他们三个呢,就是到处去求人家,就跟人家去说,拿着那个资料就站在人家我们所说的这个法国的总理的这个门口,
[00:19:45] 然后当时呢,三个人在那儿站了一下午,那当时那个门口那个首位的工作人员对于这三个人呢,
[00:19:51] 可以说是非常鼻的眼神在看着他,然后结果呢,等了那么长时间秘书出来了,
[00:19:56] 秘书出来了之后呢,拿着,然后这三个外交代表就给这个秘书说一定要请我们所说的这个总理看一下,
[00:20:04] 说这就是我们中国的历史,就是那个意思就是青岛,他自古以来就是中国不可分割的这样的一个部分,
[00:20:11] 然后当时那个秘书拿说啊,说不好意思刚才啊,说他在里面睡觉,我们都不好意思打扰他,
[00:20:17] 说你把这个文件交给我吧,我又会帮你转交的,
[00:20:19] 然后他们就说有任何问题的话,一定要半夜给我们打电话,
[00:20:23] 我们随时都会被大家去解答这个事情,
[00:20:26] 然后结果呢,他们三个给人家备工去西,然后说了一大顿之后,
[00:20:30] 秘书一进身,转身就把这个文件丢到拉桶里,
[00:20:34] 他们去求威尔逊,威尔逊也说这是中国人自己做的事情,就应该自己承担,
[00:20:40] 那个时候他们三个作为中国的外交代表团,
[00:20:43] 在那么大的一个会议上没有办法维护国家自身的权利,
[00:20:47] 这是非常痛心的一件事情,
[00:20:49] 他们三个半夜就守在那个电话旁边不敢睡,
[00:20:52] 就希望有任何一个国家能够伸出援手来帮帮中国,
[00:20:55] 帮帮中国来争取一下中国自己在山东青岛的权益都没有等到,
[00:21:00] 半夜守着那个电话,这三个外交代表就在那个地方就放声大哭,
[00:21:06] 然后当时那个谁啊,那个王正廷啊,他就说了,
[00:21:10] 他说我昨天晚上做梦了,梦到了什么呢,梦到了这个凯旋门,
[00:21:14] 然后呢,凯旋门呢,一下子变成了北京的紫禁城,
[00:21:19] 我们欢呼着雀跃着,说迎着这个老百姓欢呼声,
[00:21:23] 然后回到了这个北京,然后回到北京之后呢,
[00:21:26] 然后大家都说啊,说哎呀,东西终于收回来了,
[00:21:29] 然后一路鲜花,然后就开始给他们欢呼,
[00:21:33] 但是呢,突然之间梦就醒了,
[00:21:35] 他说什么都没有,三人就在那个地方就哭,
[00:21:38] 中国自己的地方,中国守不住,
[00:21:40] 所以当时呢,没有办法,
[00:21:42] 他们就给谁,就给汪大谢发了电报,
[00:21:45] 当时给汪大谢发电报的时候,汪大谢特别的生气,
[00:21:48] 说这么屈辱的协议根本不能签,
[00:21:52] 不能把我们自己的东西交给日本,
[00:21:54] 所以汪大谢的就说不签,
[00:21:56] 当时的北洋政府说的是什么呢,
[00:21:58] 北洋政府的主论调就是签吧,
[00:22:00] 对吧,我们不能惹怒西方列强,
[00:22:03] 如果一旦惹怒西方列强的话,
[00:22:04] 那这种情况之下,
[00:22:05] 他反过来会制裁中国,会加制中国的,
[00:22:08] 所以当时的政府就说要签,
[00:22:10] 那汪大谢当时气得都不行了,
[00:22:12] 说那我这个总理,那我就不干了,
[00:22:14] 都要打辞职报告了,
[00:22:15] 这个时候电话打进来了,
[00:22:17] 电话那头就放声大哭,
[00:22:19] 说救一救他们吧,
[00:22:21] 当时汪大谢就说你们是中国的代表,
[00:22:23] 说哭什么哭对吧,
[00:22:25] 后来挂断电话之后,
[00:22:26] 他就开始去找谁呢,
[00:22:27] 当时汪大谢就去找蔡元培校长,
[00:22:31] 找了蔡公的时候,
[00:22:32] 蔡公当时说,
[00:22:33] 说我能有什么办法呢,
[00:22:35] 对吧,我一介书生,
[00:22:36] 我又能有什么样的办法,
[00:22:39] 这样的一个国家,
[00:22:39] 他真的也是没有任何的办法,
[00:22:41] 当时汪大谢怎么跟蔡公说的,
[00:22:44] 他说你蔡严明身后有北大,
[00:22:48] 北大背后有一个中国,
[00:22:49] 只要四万文中国人一条心,
[00:22:52] 中国就不会往,
[00:22:53] 于是当时后来的时候,
[00:22:55] 他就在北大发动了更准刚的演说,
[00:22:59] 你当时蔡元培说了,
[00:23:00] 说我三年前来到北大,
[00:23:02] 我心存一个梦想,
[00:23:03] 要把北大办成一个优秀的教育学堂,
[00:23:06] 优秀的教育学堂背后,
[00:23:08] 就准确无误地写着两个字,
[00:23:10] 爱国,
[00:23:11] 我们北大的学子不是要为自己做官,
[00:23:14] 而是要为国家出力,
[00:23:16] 要做国家的动粮制裁,
[00:23:18] 所以当时的学生特别的愤慨,
[00:23:20] 而且当时陈东西先生也说了,
[00:23:22] 说北大一手拖着国阁,
[00:23:24] 一手拖着公立,
[00:23:25] 失掉了哪一个,
[00:23:27] 都是对国家的犯罪,
[00:23:28] 所以当时的学生群情激愤,
[00:23:32] 所以就开始走上了街头,
[00:23:34] 于是就爆发了无所说的什么,
[00:23:36] 五四运动,
[00:23:36] 所以五四运动在这里,
[00:23:38] 同样话一下,
[00:23:38] 五四运动爆发在1919年,
[00:23:40] 也就是第一次世界大战之后,
[00:23:42] 对吧,
[00:23:43] 巴黎和会的外交失败,
[00:23:44] 就成了五四运动爆发的导活素,
[00:23:47] 而这个五四运动的爆发,
[00:23:49] 是学生最先走到了
[00:23:50] 我们所说的什么街头,
[00:23:52] 当时的学生,
[00:23:54] 这个就是给大家去展示的,
[00:23:56] 我们所说的这个在巴黎外交合会上,
[00:23:58] 他的这样的一个情况,
[00:23:59] 当时这个情况也是,
[00:24:01] 就是迫于各种各样的压力,
[00:24:03] 他们就一定是要让中国来去签订,
[00:24:05] 我们所说的巴黎和会上的条约,
[00:24:08] 当时这个顾维军,
[00:24:09] 也就是我们所说的陈道明演的这个角色,
[00:24:12] 非常的激愤,
[00:24:13] 当时在会上他就说,
[00:24:16] 说我在这里就把那个当时的日本,
[00:24:18] 就放声就给痛骂了,
[00:24:20] 他说日本的这样的一个行为,
[00:24:21] 和强盗有什么样的区别呢,
[00:24:24] 他说山东自古以来就是中国的,
[00:24:27] 中国不能失去山东,
[00:24:28] 就像西方不能失去耶路撒冷,
[00:24:31] 没有钱,
[00:24:31] 最后他说了说中国人,
[00:24:33] 永远不会忘记这沉痛的一天,
[00:24:35] 所以这个消息一旦传回国内之后,
[00:24:37] 就爆发了我们所说的五四运动,
[00:24:40] 那这是我们所说的,
[00:24:41] 巴黎和会的外交失败,
[00:24:43] 就是五四运动的导活素,
[00:24:44] 而当时呢,
[00:24:45] 主要我们所说的这些五四运动,
[00:24:48] 就是学生们所搞起的,
[00:24:50] 所以1919年5月4号,
[00:24:51] 北京三所高校的3000多名学生,
[00:24:54] 在天安门附近云集,
[00:24:55] 打出什么样的口号呢,
[00:24:56] 这个口号,
[00:24:57] 同学们要去记住,
[00:24:58] 叫做世死历争,
[00:25:00] 还我青岛,
[00:25:00] 把青岛标志出来啊,
[00:25:02] 叫收回山东的权利,
[00:25:04] 把山东标志出来,
[00:25:06] 后来他说了,
[00:25:06] 具体在巴黎和约上签字,
[00:25:08] 这个一看巴黎和约嘛,
[00:25:09] 那就是五四运动,
[00:25:10] 还有废除21条,
[00:25:13] 抵制日祸,
[00:25:14] 还有外征主权内成国贼,
[00:25:16] 这几个口号,
[00:25:17] 同学们要注意一下,
[00:25:18] 因为这个口号,
[00:25:19] 他一般在考察的时候,
[00:25:21] 他会去对比考察,
[00:25:23] 对比什么考察呢,
[00:25:24] 就是我们其实还有,
[00:25:25] 就是在后面啊,
[00:25:26] 在抗日战中的时候,
[00:25:27] 我们要给大家讲到129试遍,
[00:25:29] 在129试遍当中,
[00:25:31] 也有一些口号,
[00:25:32] 他在考试的时候,
[00:25:33] 在事业单位考试的时候,
[00:25:34] 就把这两个口号,
[00:25:36] 混着考察过,
[00:25:37] 所以这里面,
[00:25:38] 大家要注意一下,
[00:25:39] 五四运动他的一些口号,
[00:25:41] 是在这里面,
[00:25:42] 因为他们要抢占中国的什么,
[00:25:44] 山东青岛,
[00:25:45] 所以你看,
[00:25:46] 还我青岛,
[00:25:47] 收回山东权利,
[00:25:48] 是谁抢占我们的地盘,
[00:25:50] 是我们所说的日本,
[00:25:51] 所以在这里抵制日祸,
[00:25:53] 当时北京大学,
[00:25:54] 北京很多高校的学生,
[00:25:56] 都到街面上去发传单,
[00:25:58] 说希望大家去看一看,
[00:26:00] 然后不要去买日本的东西,
[00:26:01] 抵制日祸,
[00:26:02] 对吧,
[00:26:02] 我们今天也能够做到这些,
[00:26:04] 抵制日祸,
[00:26:06] 叫外征主权内成国贼,
[00:26:08] 这是五四运动的经过,
[00:26:09] 但是我们也都知道,
[00:26:10] 这3000多名学生,
[00:26:11] 所发起的这个运动,
[00:26:13] 很快就怎么样,
[00:26:14] 很快就被镇压了,
[00:26:15] 因为当时呢,
[00:26:16] 我们都知道这个,
[00:26:17] 北京他那边的那个是,
[00:26:20] 五饼香对吧,
[00:26:21] 他就去开始奉命,
[00:26:22] 去镇压这样的学生运动,
[00:26:24] 所以当时很多学生就怎么样,
[00:26:26] 就被捕了,
[00:26:26] 当时被抓起来的学生呢,
[00:26:28] 大概是有二三十人,
[00:26:30] 这个其实也是在,
[00:26:31] 引入去作品当中,
[00:26:32] 是有展示出来的,
[00:26:33] 当时这个学生被抓了之后呢,
[00:26:35] 就被关在监狱当中,
[00:26:37] 想方设法,
[00:26:37] 要把这些学生们保释出来,
[00:26:39] 因为当时的这个,
[00:26:41] 高校的老师们都非常的紧张,
[00:26:43] 这些学生,
[00:26:44] 后来呢,
[00:26:45] 就汪大蟹的做宝,
[00:26:46] 然后再加上蔡元培,
[00:26:47] 然后就把这些学生呢,
[00:26:49] 就保释出来,
[00:26:50] 就同意,
[00:26:51] 把他们从监狱当中,
[00:26:52] 去放出来,
[00:26:53] 但当时呢,
[00:26:54] 蔡元培和陈督秀,
[00:26:55] 去接这帮学生的时候呢,
[00:26:56] 这帮学生,
[00:26:58] 所以监狱当中不走,
[00:26:59] 那五饼香啊,
[00:27:00] 就是把蔡元培和陈督秀,
[00:27:02] 带到监狱的时候啊,
[00:27:03] 就对这帮学生们说,
[00:27:04] 他说,
[00:27:05] 说行了,
[00:27:05] 说你们呢,
[00:27:06] 以后也不要在这里,
[00:27:07] 继续闹事了啊,
[00:27:08] 你们要记得,
[00:27:09] 这次没抓你们,
[00:27:10] 你们要感谢政府,
[00:27:11] 那时候学生看都不看他一眼,
[00:27:14] 然后后来这五饼香说,
[00:27:15] 说你们的这个,
[00:27:16] 蔡元培校长啊,
[00:27:17] 和陈督秀来接你了,
[00:27:19] 然后这帮学生才裁头,
[00:27:20] 看了他们两个一眼,
[00:27:22] 当时有一个学生姓许啊,
[00:27:23] 然后他就站起来,
[00:27:25] 给蔡元培拘了一工,
[00:27:27] 拘完工之后呢,
[00:27:28] 又坐下了,
[00:27:29] 然后当时蔡元培就说,
[00:27:30] 说同学们,
[00:27:31] 说我们都很担心你们,
[00:27:33] 说跟我们回去吧,
[00:27:34] 然后这个同学他又站起来说,
[00:27:36] 说很感谢那个,
[00:27:38] 蔡元培校长对我们的这种牵挂,
[00:27:41] 但是我们不走,
[00:27:42] 他说我们十分清楚,
[00:27:44] 我等学生在这里被多拘留一天,
[00:27:46] 对国民就多刺激一天,
[00:27:48] 他说我等23人皆被儿等所杀,
[00:27:51] 可以惊醒中国四万万的人民,
[00:27:53] 我们不走,
[00:27:54] 我们要把老底做穿,
[00:27:56] 他说蔡先生您不用劝我们了,
[00:27:58] 我们很感激大家的帮助啊,
[00:28:00] 也向往预外自由的生活,
[00:28:02] 只要能唤醒中国民众,
[00:28:03] 哪怕付出生命也再做不细,
[00:28:05] 我当时看到这段的时候,
[00:28:06] 我整个人就是热泪萤矿嘛,
[00:28:09] 那当时那个现场的这个陈东秀先生,
[00:28:11] 也是一样的,
[00:28:12] 他看着这帮学生说出这样的话之后啊,
[00:28:15] 眼里泛起了泪光,
[00:28:16] 随即呢,
[00:28:17] 低下了头,
[00:28:18] 一会儿呢又放声大笑,
[00:28:20] 陈东秀先生就说,
[00:28:22] 你们呢,
[00:28:23] 你们也真不是一般的自大呀,
[00:28:25] 他说你们以为唤醒一个被封建思想,
[00:28:27] 进攻了几千年的民族,
[00:28:29] 是那么容易的事情吗,
[00:28:31] 你们以为要扫除这个国家,
[00:28:33] 这个民族血液里当中的麻木,
[00:28:35] 冷血,
[00:28:36] 堕性思维是一日之工吗,
[00:28:38] 那是要经过几代人努力的大事业,
[00:28:40] 现在的中国,
[00:28:41] 需要你们,
[00:28:42] 你们还没有资格去死,
[00:28:44] 然后当时说了这番话之后呢,
[00:28:46] 学生们都被放出来了,
[00:28:48] 那其实这就是我们所说的这个五四运动最开始的时候,
[00:28:51] 他爆发在学生中间啊,
[00:28:53] 那也恰恰是这些学生,
[00:28:55] 让我们能够看到在那个时候的青年,
[00:28:58] 学生们非常的热血,
[00:29:00] 其实他们也恰恰是这个国家的新的希望啊,
[00:29:03] 那这是五四运动,
[00:29:04] 最开始的时候爆发在学生群体当中,
[00:29:07] 而爆发在学生群体当中的运动的很快,
[00:29:10] 就在全国得到了响应,
[00:29:11] 所以到了6月份的时候呢,
[00:29:13] 各地开始声援五四运动,
[00:29:15] 当时声援最好的是什么呢,
[00:29:17] 就是上海,
[00:29:18] 上海出现了我们所说的叫做工人,
[00:29:21] 罢工,
[00:29:21] 学生罢课,
[00:29:22] 商人罢事,
[00:29:24] 工人一罢工,
[00:29:25] 让我们看到了有了新的阶级登上了历史舞台,
[00:29:28] 所以在这里面,
[00:29:29] 在经过当中还有一句话,
[00:29:31] 从我们标准出来,
[00:29:32] 就做工人阶级开始登上历史舞台,
[00:29:35] 工人阶级登上历史舞台之后,
[00:29:37] 其实就意味着中国的革命翻开了,
[00:29:40] 占新的一页啊,
[00:29:41] 那这个是五四运动的经过啊,
[00:29:44] 那五四运动对于中国来说有什么样的意义呢,
[00:29:46] 在这里面我们来看一下,
[00:29:48] 第三个点,
[00:29:49] 他说五四运动啊,
[00:29:50] 是中国近代历史上,
[00:29:51] 同样画一下,
[00:29:52] 叫彻底到,
[00:29:54] 反地反封建的革命运动,
[00:29:56] 把彻底的反地反封建,
[00:29:57] 这几个字去给他标准出来。
[00:29:59] 以前的革命运动主要是什么呢?
[00:30:01] 以前的革命运动啊,
[00:30:03] 主要是反封建会比较多一点,
[00:30:05] 比如说像辛亥革命,
[00:30:06] 辛亥革命孙中霊先生为什么失败?
[00:30:09] 就是因为他失败的一个原因啊,
[00:30:11] 就是因为他认为英美这些帝国主义是他的朋友,
[00:30:15] 所以他没有很明确的反地思想,
[00:30:17] 当时辛亥革命只是把矛头指向了什么,
[00:30:20] 清政府指向了满清朝廷,
[00:30:22] 所以那个时候只有反封建没有反地,
[00:30:24] 但五四运动不是这样的,
[00:30:26] 五四运动认为什么呢,
[00:30:27] 原本压在我们头上的清政府王朝,
[00:30:30] 他就是个不好的东西,
[00:30:31] 他必然要反封建,
[00:30:32] 但通过巴黎和会他们认为,
[00:30:34] 西方列强也不是好东西,
[00:30:36] 对吧,
[00:30:36] 因为他帮着我们所说的当时的美国、法国,
[00:30:39] 他帮着日本人,
[00:30:40] 他不帮着中国人,
[00:30:41] 所以这种情况之下,
[00:30:42] 他们是好些遗弃的,
[00:30:44] 那必然要反他们,
[00:30:45] 所以五四运动是彻底的什么?
[00:30:47] 反地反封建运动,
[00:30:49] 大家注意一下,
[00:30:49] 这是第一个五四运动的意义,
[00:30:52] 彻底的反地反封建,
[00:30:53] 第二一个,
[00:30:54] 大家先看他的意义啊,
[00:30:55] 第二一个呢,
[00:30:56] 就是在往下看到一句话,
[00:30:58] 五四运动促进了马斯主义的传播,
[00:31:01] 因为到了西方和他运动的后期,
[00:31:03] 其实就已经开始什么呀,
[00:31:04] 宣传马斯主义了,
[00:31:06] 所以在这里面先上圈二,
[00:31:08] 就促进了马斯主义的传播,
[00:31:10] 那第三个,
[00:31:12] 头面注意一下,
[00:31:13] 五四运动他其实为中国共产党的成立啊,
[00:31:16] 做了很大的准备,
[00:31:18] 所以在这里面来看,
[00:31:19] 他说了为中国共产党的成立,
[00:31:21] 做了思想和干部上的准备,
[00:31:23] 思想上的准备在哪呢,
[00:31:25] 就是刚才我们所说的,
[00:31:26] 在五四运动的过程当中宣传了什么,
[00:31:28] 宣传了马斯主义,
[00:31:30] 所以对于中国共产党有了一个明确的主要思想,
[00:31:34] 那干部上的准备是什么呢,
[00:31:35] 大家注意一下,
[00:31:36] 干部上的准备就是工人阶级,
[00:31:38] 因为中国共产党是工人阶级先锋队,
[00:31:42] 所以五四运动他就为中国共产党的成立,
[00:31:44] 做了思想和干部上的准备,
[00:31:47] 如果他这句话,
[00:31:48] 放在一个选项当中说,
[00:31:50] 做了思想当中准备主要是指马斯主义的宣传,
[00:31:53] 你要知道这句话是对的,
[00:31:54] 也就是在这里思想和干部上的准备分别是什么,
[00:31:57] 大家要注意一下,
[00:31:58] 这是第三个点,
[00:31:59] 那第四个点呢,
[00:32:00] 就在这儿,
[00:32:01] 头门标注圈四,
[00:32:02] 就是我们前面给大家说的,
[00:32:04] 在五四运动之后,
[00:32:05] 中国有了新的领导阶级,
[00:32:07] 有了新的阶级,
[00:32:08] 那就意味着中国的革命掀开了展新的一页,
[00:32:12] 进入到了什么时期,
[00:32:13] 新民主主义革命的时期,
[00:32:15] 所以在这里他说了,
[00:32:16] 五四运动是新民主主义革命的开端,
[00:32:19] 这句话是正确的,
[00:32:21] 所以在这里面,
[00:32:22] 大家注意一下,
[00:32:23] 这是五四运动的什么?
[00:32:24] 五四运动的意义,
[00:32:26] 所以把它标出来,
[00:32:27] 彻底的反立反封建,
[00:32:28] 宣传马斯主义,
[00:32:30] 为党的成立做好了准备,
[00:32:32] 那还有一个就是新民主主义革命的开端,
[00:32:34] 这是它的意义,
[00:32:36] 而在五四运动当中啊,
[00:32:37] 大家也知道,
[00:32:38] 五四运动有两股力量,
[00:32:40] 对我们来说是非常重要的,
[00:32:42] 一股是什么?
[00:32:42] 青年学生,
[00:32:43] 青年学生是最先走上街头去进行抗争的,
[00:32:47] 所以青年学生是什么?
[00:32:48] 是先锋,
[00:32:49] 那青年学生是先锋,
[00:32:51] 所以你把学生画出来,
[00:32:52] 把先锋标出来,
[00:32:54] 第二个呢就是,
[00:32:55] 学生虽然是先锋,
[00:32:56] 但是呢,
[00:32:57] 他所起到的这个作用,
[00:32:59] 只是打了一个前沿,
[00:33:00] 对吧,
[00:33:01] 但是在这一次五四运动当中,
[00:33:03] 更加大的一个力量是谁呢?
[00:33:05] 是工人,
[00:33:05] 所以工人经济登上历史舞台,
[00:33:07] 工人是什么?
[00:33:08] 大部分都是工人了,
[00:33:09] 那这个时候工人是主力,
[00:33:11] 啊,
[00:33:12] 工人是主力军,
[00:33:13] 所以这个地方在考试的时候,
[00:33:14] 通常就会把,
[00:33:16] 青年是先锋,
[00:33:17] 工人是主力,
[00:33:18] 给你调过来考,
[00:33:19] 就是说,
[00:33:19] 青年是主力,
[00:33:20] 工人是先锋,
[00:33:21] 那就错了,
[00:33:22] 所谓的先锋就是最先冲上,
[00:33:24] 冲在前面的,
[00:33:25] 打头阵的啊,
[00:33:26] 这个叫先锋,
[00:33:27] 所以这是我们所说的,
[00:33:29] 五四运动啊,
[00:33:30] 非常重要的一个,
[00:33:31] 那五四运动,
[00:33:32] 他既然为中国共产党的成立,
[00:33:33] 做了干部和思想上的准备,
[00:33:36] 那接下来我们就要聊一聊什么呢?
[00:33:37] 要聊一聊中国共产党,
[00:33:39] 中国共产党他的成立,
[00:33:41] 其实是诞生在中国老百姓生活的,
[00:33:43] 水深火热的这样的一个时期当中啊,
[00:33:46] 之前呢,
[00:33:47] 在网上有一个演讲,
[00:33:48] 不知道大家有没有去看啊,
[00:33:49] 就是张婉逸,
[00:33:51] 她当时呢,
[00:33:51] 在上海呢,
[00:33:52] 就做了一个演讲,
[00:33:53] 她就是以张婉逸的这个角色的带入,
[00:33:57] 去进行演讲的,
[00:33:58] 她当时在演讲当中啊,
[00:33:59] 说过这样一段话,
[00:34:00] 她说今天的青年啊,
[00:34:02] 说你们没有经历过一个世纪以前的中国,
[00:34:05] 说那时候的中国,
[00:34:06] 外有列强虎视,
[00:34:08] 内有军阀作乱,
[00:34:09] 目之所及,
[00:34:10] 到处恶表变,
[00:34:11] 也民不聊生,
[00:34:13] 儿童无以为家,
[00:34:14] 国家民生雕臂,
[00:34:16] 国家江王,
[00:34:17] 可以为家呀,
[00:34:18] 所以那个时候的中国,
[00:34:19] 可以说是到了一个非常紧张的,
[00:34:21] 存亡绝续的这样的一个时刻,
[00:34:23] 所以我们在整个,
[00:34:25] 我们所说的这个,
[00:34:27] 电视剧当中也能够看到,
[00:34:29] 当时呢,
[00:34:29] 陈督慧先生要被捕,
[00:34:30] 然后李达尔先生的冒险,
[00:34:32] 把陈督慧先生送走了,
[00:34:34] 他们走到这个河边的时候,
[00:34:35] 看到的都是非常惨的这样的一个景象,
[00:34:38] 当时陈督慧看到这样一个景象的时候,
[00:34:40] 是不是马上就忍不住了,
[00:34:43] 对吧,走到后面的时候,
[00:34:45] 就开始去放声大哭啊,
[00:34:46] 所以他们那个时候就开始要,
[00:34:48] 决定让老百姓过上好的生活,
[00:34:51] 所以才有了我们所说的这个,
[00:34:52] 南辰北裂,
[00:34:53] 相约建党的这样的一个事情啊,
[00:34:55] 那我们来看一下,
[00:34:56] 在当时的这个建党,
[00:34:58] 它的一个过程,
[00:34:59] 也是在电视剧当中的原片,
[00:35:47] 陈督慧先生,
[00:35:50] 我想你嘛,
[00:35:52] 我们的建党,
[00:35:56] 我们的有一颗,
[00:35:58] 坚强的平岛和戏,
[00:36:01] 你能见一个什么样的党,
[00:36:04] 一个用马克思学术,
[00:36:06] 不撞起来的仙境长大,
[00:36:08] 一个可以把中国人,
[00:36:11] 印象光明,
[00:36:12] 让中国人,
[00:36:14] 让中国人的好人,
[00:36:16] 不撞起来的仙境长大,
[00:36:20] 为什么?为什么?
[00:36:23] 我为了他们,我为了他们,我为了他们,
[00:36:29] 能不像人一样的活着,为了他们能够拥有人的权利,
[00:36:36] 人的快乐,人的尊严。
[00:36:42] 好,张副兄,让我们对着这些同胞,先试吧。
[00:36:50] 来,让我们宣誓。
[00:36:53] 为了让你们躲在琉璃失踪,为了让中国的老百姓
[00:36:57] 破坏中国的国民,
[00:37:01] 让中国的国民,
[00:37:05] 让中国的国民,
[00:37:09] 让中国的国民,
[00:37:13] 让中国的国民,
[00:37:17] 让中国的国民,
[00:37:21] 让中国的老百姓过上富裕幸福的生活,
[00:37:26] 为了让情人不再受欺负,
[00:37:30] 人人都能当家作主,
[00:37:33] 为了人人都受教育,少有所教,
[00:37:38] 少有所义,
[00:37:40] 为了中华名不国强,
[00:37:44] 为了民族再照复兴,
[00:37:48] 我愿意奋斗众生,
[00:37:52] 我愿意奋斗众生。
[00:37:56] 1920年2月,
[00:37:58] 李大昭冒险将受到警察局务的程度修,
[00:38:02] 送出北京的路程。
[00:38:04] 两人约定,分别在北京和上海等地,
[00:38:08] 仇建党的组织,
[00:38:10] 是称南城北里。
[00:38:12] 那这个呢,就是我们所看到的,
[00:38:15] 是称南城北里,
[00:38:17] 相约建党的一个过程,
[00:38:19] 刚才我们在这个影视剧片段当中也说了,
[00:38:22] 是在上海北京等地仇建党组织,
[00:38:25] 那其实第一个党小组是在哪里仇建的,
[00:38:28] 大家知道,
[00:38:29] 第一个党小组其实是在1920年在上海去仇建的,
[00:38:33] 1920年还发生过一件事情,
[00:38:35] 就是我们在前面其实有给大家去讲到过,
[00:38:38] 就是共产党宣言它的一个翻译,
[00:38:40] 共产党宣言的翻译,
[00:38:41] 其实对于中国共产党的成立,
[00:38:43] 是一个作用,
[00:38:44] 所以在刚才那个片段之后啊,
[00:38:46] 就是南城北里相约建党之后,
[00:38:48] 在1920年的时候,
[00:38:51] 在上海成立了第一个党小组,
[00:38:58] 成立了第一个党小组,
[00:39:01] 那紧接着在1921年的时候,
[00:39:03] 我们就开始筹备去组建我们的政党了,
[00:39:06] 其实对一个国家的发展来说,
[00:39:08] 它必须有一个坚强强大的领导核心,
[00:39:11] 领导这个国家,
[00:39:12] 它走向我们所说的强大和富强,
[00:39:15] 就是走出现有的这样的一个苦难,
[00:39:17] 所以在1921年的时候,
[00:39:19] 就召开了什么呢?
[00:39:20] 中共一大,
[00:39:21] 在中共一大当中,
[00:39:22] 这么几个点需要同们去注意啊,
[00:39:24] 首先第一个呢,
[00:39:25] 就是要大家知道,
[00:39:26] 1921年,
[00:39:27] 是中共一大召开的时间啊,
[00:39:29] 是7月23号,
[00:39:30] 1921年7月23号到31号,
[00:39:32] 大家注意一下,
[00:39:34] 第一个,地址,同样标注圈一,
[00:39:36] 中共一大是在上海召开的,
[00:39:38] 这个点同伴们一定要去给它实际清楚啊,
[00:39:40] 实际清楚啊,
[00:39:41] 中共一大在上海,
[00:39:42] 法租界啊,
[00:39:43] 在一个我们所说的,
[00:39:45] 这个叫旺志陆106号啊,
[00:39:48] 在这个地方,
[00:39:49] 去籌备建党的相当的一个事宜,
[00:39:51] 但是这个,
[00:39:52] 中共一大它召开的这个会议的时间啊,
[00:39:54] 相对来说时间比较长,
[00:39:56] 是好几天,
[00:39:57] 所以到了后面的时候呢,
[00:39:58] 没有办法啊,
[00:39:59] 因为要,
[00:40:00] 开始去抓共产国际,
[00:40:02] 所以在这里面,
[00:40:03] 我们整个中国共产党,
[00:40:05] 它的这个一大这个会议,
[00:40:07] 就转移到了哪儿呢,
[00:40:08] 大家注意一下,
[00:40:09] 就转移到了浙江加星南湖的游船上,
[00:40:11] 所以在这里面,
[00:40:12] 大家如果,
[00:40:13] 看到它那个提案当中问啊,
[00:40:15] 说中共一大召开的地址在哪儿,
[00:40:17] 它如果说是在浙江,
[00:40:18] 不对啊,
[00:40:19] 地址是在上海,
[00:40:20] 因为你现在去看,
[00:40:21] 还有中共一大,
[00:40:22] 会址,
[00:40:23] 这个地方所在地,
[00:40:24] 只要知道了后面的时候,
[00:40:26] 是转移到了浙江加星,
[00:40:27] 所以在这里面,
[00:40:28] 召开的,
[00:40:29] 起始地,
[00:40:30] 不是在上海,
[00:40:31] 那不是在浙江,
[00:40:32] 而是在上海,
[00:40:33] 大家注意一下啊,
[00:40:34] 那转移到浙江加星南湖的游船上,
[00:40:36] 那大家都知道,
[00:40:37] 就诞生了什么精神啊,
[00:40:38] 在这里就诞生了我们所说的,
[00:40:40] 红船精神。
[00:40:43] 这个红船精神,
[00:40:44] 以及我们所说的,
[00:40:45] 立年当中经常会考到的,
[00:40:47] 这是革命精神,
[00:40:48] 所以需要同学们在这里补充,
[00:40:50] 我们所说的红船精神,
[00:40:52] 它是一种什么样的精神啊,
[00:40:54] 在这里,
[00:40:55] 同学们标注一下,
