[00000.00-00002.00] 大家好 我是杰瑞
[00002.00-00004.00] 这奖批战次应合的考试知识
[01310.60-01313.16] 你只需要在这里能够分清楚
[01313.16-01315.04] 按照层次化跟有高有低
[01315.04-01316.80] 你知道低的叫社會心理
[01316.80-01319.04] 高的叫社會意識就可以了
[01319.04-01320.80] 所以這是第2種分類
[01320.80-01323.68] 這兩種分類的可好性非常弱
[01323.68-01326.12] 只是在個別題目中會出現
[01326.12-01328.44] 所以在這裡面給大家拿出來說一說
[01328.44-01329.88] 這是第2種分類
[01329.88-01333.00] 那還有對於社會意識還有第3種分類
[01333.00-01334.40] 這個第3種分類
[01334.40-01335.24] 同你們注意一下
[01335.24-01336.36] 這個點就是一個
[01336.36-01337.72] 兩星級的這是點了
[01337.72-01340.08] 說從社會意識
[01340.08-01343.04] 對經濟基礎的關係化分
[01343.04-01346.52] 话分为了意识形态和非意识形态
[01346.52-01348.42] 这个点同一秒注意一下
[01348.42-01350.16] 考试的时候考什么呢
[01350.16-01352.64] 大家注意考两个角度
[01352.64-01355.04] 第一个考他的话分标准
[01355.04-01358.04] 这个是最开始是一单位考试
[01358.04-01359.62] 或者是三十一幅军的文字
[01359.62-01361.56] 考试考试最简单的一种情况
[01361.56-01363.52] 比如说爱文把社会意识
[01363.52-01365.84] 分为意识形态和非意识形态
[01365.84-01367.32] 它的话分标准是什么
[01367.32-01368.36] 你这有时候要选
[01368.36-01370.36] 但是这是多少年前考的
[01370.36-01371.64] 比较简单的一种
[01371.64-01373.40] 那第二种在这里考什么呢
[01373.40-01375.68] 第二种考察它的具体分类
[01377.84-01379.80] 这个具体分类大家注意一下
[01379.80-01381.92] 它可以考实际性的停目
[01381.92-01384.12] 也可以考理解性的停目
[01384.12-01386.36] 如果它考实际性的停目的话
[01386.36-01388.12] 它会问得非常的直接
[01388.12-01391.28] 说一下ABCB4族选项当中
[01391.28-01393.48] 哪一組全是一种形态
[01393.48-01396.08] 哪一組全是非是形态
[01396.08-01399.96] 这是它考的比较简单的具份类考实际
[01399.96-01405.82] 但是隨這幾年考試的難度不斷加大,咱們也知道有一點越來越捲了
[01405.82-01412.22] 所以它的粗體上,它就變換了一下,還是具體分類,帶回考一些理解形的題目
[01412.22-01419.76] 比如說,以下屬於我們所說的社會意識形態的有,它就給到了A選項拍的電視劇
[01419.76-01425.24] 然後給到了B選項,寫一本數學註做,然後給到C選項地選項等等
[01425.24-01428.92] 那一看拍个电视剧和写一个数学住座
[01428.92-01430.84] 那在这里面哪一个属于一时平台
[01430.84-01432.08] 哪一属于非一时平台呢
[01432.08-01434.68] 他就不代是单纯的被送就能解决的
[01434.68-01436.52] 而是要在这个被送旧之上
[01436.52-01438.28] 能够给他认出来
[01438.28-01441.00] 那这个就属于我们所说的理解性的题目
[01441.00-01444.40] 所以在这里面对于第三种分裂的考察
[01444.40-01446.20] 近几年就会变得很多
[01446.20-01448.92] 而且变得稍微有一点难度了
[01448.92-01451.40] 那我们来看一下这里面它的画责
[01451.40-01456.16] 他說是對經濟基礎的關係法 話分有通過在這 發了老老爛的
[01456.16-01459.38] 你說老實在我現在我還沒有學什麼是經濟基礎呢
[01459.38-01462.04] 沒關係 我們在後面會講到經濟處
[01462.04-01466.14] 那你如果不瞭解他對經濟基礎的關係 到底是啥意思
[01466.14-01467.72] 你就在旁邊寫著一話
[01467.72-01472.76] 這個話分就是看他是否對特定基礎服務
[01473.56-01476.60] 是否為特定基礎服務
[01481.40-01485.08] 把血的旁邊就看他施否位特元捷律服務
[01485.08-01487.08] 如果他未特定捷律服務
[01487.08-01490.12] 那這個時候他就對生成經濟基礎
[01490.12-01490.92] 起到運作用
[01490.92-01492.76] 如果他不未特定捷律服務
[01492.76-01494.36] 他就沒有啥作用
[01494.36-01496.76] 那這裡面叫做對經濟處的關係
[01496.76-01499.48] 就看他施否位特定捷律服務
[01499.48-01501.48] 那未特定捷律服務的這些
[01501.48-01504.04] 我們就把它稱為叫做意識形態
[01504.04-01507.80] 不未特定捷律服務的這些就叫做非意識形態
[01507.80-01509.56] 所以在這裡面大就知道
[01509.56-01512.64] 如果是一是形態
[01512.64-01516.20] 如果不為特定接近服務就叫做非一是形態
[01516.20-01519.64] 也就是看它是否就有先領的接機性
[01519.64-01522.44] 我們來看一下在這裡面的一是形態
[01522.44-01523.96] 它是什麼是一是形態的
[01523.96-01525.96] 這個點需要大家去實際
[01525.96-01530.60] 他說一是形態是指反應並服務與經濟基礎的社會意識
[01530.60-01532.12] 包括那些來
[01532.12-01535.52] 包括第一個叫政治法律思想
[01535.52-01542.32] 第二个到德 艺术 宗教 指揮这几个点 需要同一们去 背下来
[01543.12-01545.04] 他们呢 就数月 艺术请台
[01545.04-01546.88] 你说老师这么老多 我咋去背呢
[01546.88-01549.76] 你就想一想这个东西 他是不是特别接触的
[01549.76-01553.68] 我们说了艺术请台 他是具有什么 先零的接级性的
[01553.68-01555.36] 他一定是被特别接触的
[01555.36-01557.92] 你比如说在这里 政治法律思想
[01557.92-01560.80] 政治法律思想主要是一种思想观念吧
[01560.80-01564.08] 那像这种思想观念在一场生活当中还是挺多的
[01564.08-01568.64] 比如我们经常会提到的个人自由或者是个人主义
[01568.64-01572.20] 还有我们所提到的叫做集体主义等等这一系列
[01572.20-01574.92] 你看我们会发现在社会主义社会
[01574.92-01577.60] 我们更加强调的观念是什么观念
[01577.60-01578.92] 集体主义观念
[01578.92-01580.72] 在我们所说的西方社会
[01580.72-01581.76] 它强调的是什么
[01581.76-01583.04] 强调的是个人主义
[01583.04-01585.20] 为什么会出现这样的一个差异呢
[01585.20-01587.60] 就是因为中国为什么强调集体
[01587.60-01591.52] 集体代表是大多数代表的是人民群众
[01591.52-01592.96] 所以对于我们来说
[01592.96-01598.08] 你看,他就是为特定的大多数的人民群众服务的这种观念,对吧?
[01598.08-01600.12] 那为什么西方强调个人主义呢?
[01600.12-01605.08] 强调极端的个人自由,就是因为西方,他强调的是个体
[01605.08-01607.96] 在这个个体里面就能够很明显的去看到
[01607.96-01610.72] 他其实维护少数人的利益的
[01610.72-01616.04] 在这里面他自己政治法律思想表现出来,你看,他为自然结局服务
[01616.04-01622.00] 所以他就顺着自然结局这个观念,于是就产生了很多,为自然结结
[01622.00-01625.04] 对自然接级有好处的这种政治法律思想
[01625.04-01626.44] 对于我们来说
[01626.44-01627.44] 我们为大多数人
[01627.44-01629.24] 出现的就是集体主义
[01629.24-01630.64] 强调的就是风险社会
[01630.64-01631.12] 对吧
[01631.12-01633.20] 你看这个就要个先领的借级性
[01633.20-01635.28] 你说道德它有没有借级性呢
[01636.12-01638.00] 道德它也是有借级性的
[01638.28-01639.88] 马斯的观念就是啥呢
[01639.88-01641.20] 按照马斯观念来说
[01641.20-01642.48] 不同的社会形态
[01642.48-01644.08] 它会产生不同的道德
[01644.08-01646.88] 努力之社会有努力之社会的道德
[01646.88-01649.08] 风见社会有风见社会的道德
[01649.08-01651.20] 资本主义社会有资本主义社会的道德
[01651.20-01653.60] 那收尾主的社会也有社会主义
[01653.60-01654.60] 他的道德
[01654.60-01655.60] 所以这个道德呢
[01655.60-01657.00] 他也具有些名的什么
[01657.00-01657.60] 接级性
[01657.60-01659.60] 有很多时候就说说老师那不是
[01659.60-01660.60] 那他每个国家呢
[01660.60-01662.20] 他其实都提上主老爱优
[01662.20-01666.60] 我们把这种任何国家都具有普世性的这个这一部分道德呢
[01666.60-01668.00] 认为他具有普边性的
[01668.00-01672.20] 但是道德整体上他会随着时代不断的变化
[01672.20-01675.20] 顺应时代的要求为特定情绪所服务
[01675.20-01676.80] 所以道德也具有什么
[01676.80-01678.40] 些名的接级性
[01678.40-01679.20] 大家注意下
[01679.20-01680.20] 这是道德
[01680.20-01682.72] 那造像就是我们提到的艺术
[01682.72-01684.84] 那艺术像我们所说的电影
[01684.84-01687.00] 电视剧等等这些的内容
[01687.00-01689.36] 它其实都属于艺术的一部分
[01689.36-01691.72] 那你看艺术它有没有仙明的借几兄
[01691.72-01694.16] 艺术也是有特定的借几兄的
[01694.16-01695.92] 你比如说我们拍了电影
[01695.92-01697.64] 我们看到的战狼二一号
[01697.64-01699.96] 我们看到的那个流浪低球二
[01699.96-01702.28] 我至今一就记得在流浪低球二当中
[01702.28-01704.96] 让我特别感看的一个情景
[01704.96-01708.96] 就是当时他们要去越球上去引爆什么样的东西
[01708.96-01711.32] 然后当时沙衣的角色是不出来了
[01711.32-01713.20] 说中国航空航艇中队
[01713.20-01715.24] 然后什么50岁以上的出列
[01715.24-01718.00] 你看那个场景当时给我带来的出动特别大
[01718.00-01720.64] 从那个场景当中就能够看得出来
[01720.64-01722.16] 我们还是在强斗什么
[01722.16-01723.56] 奉线精神 对吧
[01723.56-01726.00] 所以我们会发现对于艺术这个东西
[01726.00-01728.72] 我们无论是在流浪地球二当中也好
[01728.72-01730.44] 还是在战狼二里面也好
[01730.44-01732.24] 你看到的无经手举
[01732.24-01734.96] 那个奇质那还是中国的国企 对吧
[01734.96-01737.52] 你看它其实都在宣揚这一系列的东西
[01737.52-01738.72] 都在宣揚的是什么
[01738.72-01740.72] 我背后是五国家做支撑的
[01740.72-01742.92] 我背后是有人民群众做支撑的
[01742.92-01745.52] 它其实一直都在强调大多数人
[01745.52-01747.76] 强调集体主义强调团结
[01747.76-01749.16] 这是我们的主权力
[01749.16-01750.84] 包括我们看到的场景火
[01750.84-01751.32] 对吧
[01751.32-01753.40] 我们在场景火当中我们提到的
[01753.40-01755.96] 每一个人都是平凡的英雄
[01755.96-01756.28] 对吧
[01756.28-01757.92] 无数个先火的生命
[01757.92-01759.12] 由于奉性的人
[01759.12-01759.92] 在前线
[01759.92-01761.48] 他换来了我们今天的生活
[01761.48-01764.12] 它其实强调的是大多数人
[01764.12-01766.68] 它强调的是每一个平凡的个体
[01766.68-01768.24] 他们的力量会许到一块
[01768.24-01772.28] 它其实也能爆发出来无所说的无限的这样的一种活力
[01772.28-01776.60] 所以在这里面我们可以发现像受贵主义的艺术
[01776.60-01778.96] 我们就以电源为力 它强调的还是什么
[01778.96-01780.40] 集体主义和大多数
[01780.40-01783.60] 它就是为什么 为人民所服务的
[01783.60-01785.08] 但是你看西方的点缘
[01785.08-01787.60] 我们知道西方的点缘里面会有超级用凶吧
[01787.60-01790.00] 尤其是慢点的点缘里面 什么美国对长
[01790.00-01791.48] 刚给啥等等这些系列
[01791.48-01792.96] 一个人就能干算缺一种
[01792.96-01795.32] 一个人就能比了上一个军队
[01795.32-01798.04] 他们强调的是极端的 不能说极端的
[01798.04-01799.72] 他們強調的是個人自由
[01799.72-01800.88] 個人英雄主義
[01800.88-01802.12] 其實是他我們所說的
[01802.12-01803.28] 個人主義這種代表
[01803.28-01806.08] 而個人主義又回口到了誰的力去手上
[01806.08-01807.56] 資產接近的力去手上
[01807.56-01809.60] 那這裏面其實就能看得出來
[01809.60-01811.64] 一數他也具有鮮明的接近性
[01811.64-01812.96] 那宗教就更是了
[01812.96-01813.44] 對吧
[01813.44-01816.04] 那宗教就是為了教化群眾
[01816.04-01817.16] 所以在這裡面
[01817.16-01819.16] 宗教他也具有鮮明的接近性
[01819.16-01820.32] 包括哲學院士
[01820.32-01821.88] 不同社會
[01821.88-01823.64] 會不同的哲學體系
[01823.64-01824.72] 所以在這裡面
[01824.72-01826.04] 你說老師我背不住
[01826.04-01827.76] 那這有時候你就想一想同學們
[01827.76-01832.68] 你看到了这个东西,它是不是放着四海儿接着任何一个国家都一样
[01832.68-01835.92] 如果不是就因为它具有先名的接级性
[01835.92-01839.08] 在这种情况之下,它就属于意识形态
[01839.08-01841.08] 那这是考实进行的题目
[01841.08-01844.32] 它说考理解形题目,你这个说你叫知道,什么
[01844.96-01849.40] 整一份道德,比如说社会主义和新加坡官,它是不属于这个层面的
[01849.40-01855.08] 或者是拍个电影了,写个歌句了,写个小说了,那它属于意属
[01855.08-01858.36] 这一系列的都属于意识显胎
[01858.36-01859.80] 它就有线为了接级性
[01859.80-01863.00] 那和意识显胎相对应的去照做非意识显胎
[01863.00-01868.68] 非意识显胎用它的话来说是反应自然现象和不属于特定经济基础的
[01868.68-01871.56] 某些社会现象的社会意识显示
[01871.56-01873.08] 它说了这么多很复杂
[01873.08-01875.08] 你就归那出来一句话就行了
[01875.08-01877.88] 这是非意识显胎不具有接级性
[01877.88-01879.72] 所谓的不具有接级性就是
[01879.72-01882.76] 它在任何一个国家都一样
[01882.76-01888.38] 他在中国是这样,他在英国,在我们所说的法国德国,他也是一样的
[01888.38-01890.70] 这种就要做,不就有些名的进行
[01890.70-01894.78] 那像这样的非是形成哪些呢?比如说第一个叫做自然科学
[01896.06-01898.78] 自然科学包括数学语文
[01898.78-01902.68] 对吧,包括我们所说的物理,语文不能算自然科学
[01902.68-01904.78] 比如说数学物理,化学生物
[01904.78-01907.84] 这一系列的学科,他都属于什么自然科学
[01907.84-01912.40] 自然科学放在任何一个国家,套都是准则和规律,他本质都一样
[01912.40-01914.52] 不能说在中国社会主义国家
[01914.52-01915.44] 一家于大余儿
[01915.44-01917.08] 到了德国,到了法国
[01917.08-01919.44] 这么主义国家说,一家于是等于六了
[01919.44-01921.04] 这种情况下是不能的
[01921.04-01922.84] 所以在这里面,大家要知道
[01922.84-01924.16] 我们所说的这个
[01924.16-01927.12] 自然科学,他属于非是行态
[01927.12-01928.96] 放在任何一个国家都一样
[01928.96-01930.40] 所以在这里就说明了
[01930.40-01931.84] 他不具备先领的
[01931.84-01933.60] 解析性,这战科学
[01933.60-01935.96] 所以刚才咱们在最开始的时候
[01935.96-01937.60] 说他考理一些形提目的时候
[01937.60-01939.04] 这个问题是不是就解决了
[01939.04-01941.08] 咱们说了,他如果考理人提目说
[01941.08-01943.76] 以下属于意识形态的时候
[01943.76-01946.00] 会以下不属于意识形态的时候
[01946.00-01948.00] 我当时说给到了一个选项
[01948.00-01950.20] A选项拍一个电影
[01950.20-01952.68] B选项写一个数学驻作
[01952.68-01954.12] 同时们本能看到说
[01954.12-01956.28] 是写数学书的数学书
[01956.28-01957.64] 你看到写的是啥书
[01957.64-01958.44] 数学书
[01958.44-01959.52] 数学书
[01959.52-01960.56] 虽然科学
[01960.56-01961.92] 那就属于非识形态
[01961.92-01963.68] 所以现在考虑进行题目的时候
[01963.68-01965.72] 你还能够给它转的玩
[01965.72-01966.72] 能够转的玩
[01966.72-01968.28] 这叫做战科学
[01968.28-01972.38] 又或者我们所说的语言学研究人类语言的起源
[01972.38-01975.18] 或者叫做邏輯学咱都能看懂
[01975.18-01977.90] 对吧,你比如说我们看国外的推理电距
[01977.90-01979.76] 看的经济有二的
[01979.76-01981.92] 对吧,这种东西它不分国界的
[01981.92-01984.92] 这个叫邏輯学或者我们所说的心理学
[01984.92-01987.36] 研究人类社会心理现象的
[01987.36-01989.02] 放在哪个国家都一样
[01989.02-01991.06] 这个就叫做非事显拍
[01991.06-01994.12] 所以非事显拍主要有四种形式
[01994.12-01994.80] 大家注意
[01994.80-01999.48] 我们去问他,看他适合具有先领的接级性就可以了
[02003.88-02005.96] 这个就是我们所说的
[02005.96-02010.36] 意识形态和飞行派,这个点非常重要
[02010.36-02013.44] 我们说了,收尾存在,收尾意识
[02013.44-02016.76] 我们就来看,收尾存在和收尾意识的变政关系
[02016.76-02020.32] 它也是一个绝对的两星期的理解形的卡查电
[02020.32-02024.00] 收尾存在和收尾意识的关系分成两个层面
[02024.00-02028.00] 第二個層面叫社會存在決定社會醫事
[02028.00-02030.00] 所以在這裡面就經常會有一句話
[02030.00-02038.00] 就叫做有什麼樣的社會存在,就有什麼樣的社會存在
[02042.00-02044.00] 就有什麼樣的社會醫事
[02048.00-02050.00] 就有什麼樣的社會醫事案
[02050.00-02053.84] 这个就叫做社会存在决定社会议室
[02053.84-02056.92] 那像这样的一个现象最为长考察的
[02056.92-02058.96] 比如说比较喜欢考什么呢
[02058.96-02063.32] 大家注意一下考的最多的就是网络留星语
[02063.32-02065.88] 好的最多的就是网络留星语
[02065.88-02067.68] 说网络留星语的出现
[02067.68-02069.96] 它体现了什么样的哲学严厉
[02069.96-02072.28] 那就是社会存在决定社会议室
[02072.28-02073.92] 就是客观现实的情况
[02073.92-02076.36] 导致了一些网络留星语的出现
[02076.36-02078.16] 我们现在不都是网络
[02078.16-02080.48] 或者我们常见的说网尔梗的这些
[02080.48-02084.12] 它其实就是社会存在决定社会议实的体现
[02084.12-02087.68] 比如说这段时间我们还以风神电影为例
[02087.68-02089.64] 你看像风神电影里面
[02089.64-02092.52] 出了一个词叫做商务音语
[02092.52-02096.36] 当时因受的人
[02096.36-02097.64] 对吧 这是废响了
[02097.64-02100.52] 我们父母内代的偶像明星
[02100.52-02103.88] 看他说话其实多多少时候在一些口音的
[02103.88-02106.60] 所以大家就说商务音语就这个词了
[02106.60-02108.40] 你看看在第二当中就说过
[02108.40-02110.70] 说马看到什么是由轮距定的
[02110.70-02112.74] 对吧 你要做最勇敢的儿子
[02112.74-02114.54] 那你看大家就开始调看这种
[02114.54-02117.48] 那商务英语的出现其实体现的就是什么
[02117.48-02119.40] 社会存在决定社会议室
[02119.40-02121.70] 因为有这种现实情况存在
[02121.70-02125.04] 到这些网络留学的出现或者这种玩耿的情况出现
[02125.04-02127.34] 因为比如说在去年的时候
[02127.34-02129.12] 让我印象特别深的子
[02129.12-02130.16] 就是在去年说的
[02130.16-02132.20] 我们说是去年来的前年
[02132.20-02133.48] 就是出现的那个
[02133.48-02134.50] 叫做
[02134.50-02136.50] 野性捐款和野性消费
[02136.50-02139.10] 当年红业尔克对于河南发大水的时候
[02139.10-02140.70] 一下豪军捐了五千万
[02140.70-02142.42] 因为他照面上英文也没有多少钱
[02142.42-02142.86] 对吧
[02142.86-02143.86] 所以当时就说
[02143.86-02146.74] 这就是一个有钱款的民族企业
[02146.74-02147.90] 所以当时打个说法
[02147.90-02148.26] 你看
[02148.26-02150.10] 这不就是野性捐款了
[02150.10-02152.26] 后来大家为了回饿亏红业尔克
[02152.26-02153.26] 是否就去红业尔克
[02153.26-02154.42] 只顾兴去买东西
[02154.42-02157.14] 当时买东西在那个职位家里发现了很多
[02157.14-02158.14] 有趣的事情
[02158.14-02160.30] 当时安怕红业尔克里年
[02160.30-02162.50] 就他们同时做这种专场直播
[02162.50-02164.66] 就是在夏天提供品牌同时卖
[02164.66-02165.86] 夏天专场
[02165.86-02168.38] 然后我也想去点点看看
[02168.38-02169.42] 红色的客池文人什么样
[02169.42-02172.70] 然后我就不小心点到了安产的那个植物间里去
[02172.70-02174.70] 然后点进去之后那个小姐就就
[02174.70-02175.94] 每看到有新人来
[02175.94-02176.78] 隔一段时间就说
[02176.78-02177.98] 说这里山它只会见
[02177.98-02180.42] 大家想去红色的客的记得退出去
[02180.42-02182.98] 然后红色的客池文件在隔壁
[02182.98-02184.70] 你看大家都在帮红色的客打进牌
[02184.70-02187.18] 然后我就退出来进入到红色的客池文件了
[02187.18-02188.90] 结果进去之后的那个小姐姐
[02188.90-02189.70] 就开始说
[02189.70-02192.52] 我们这个下集款的这个就我当然看到是鞋子
[02192.90-02194.56] 说我们下集款的这个鞋子呢
[02194.82-02196.36] 现在已经全部都已经
[02196.62-02201.22] 就是37马以下的全部都卖完了说的是内款旅鞋
[02201.48-02203.28] 所以现在只剩了38390万了
[02203.52-02207.88] 如果大家拍了这个鞋你川不了的话你就不要去拍这个鞋了
[02208.14-02210.94] 然后后来就很多人就在下面说没关系没关系
[02211.20-02213.26] 我3600的脚拍了一个3900的鞋
[02213.50-02215.04] 小姐就说说你不要拍了
[02215.30-02216.84] 说把他留给有需要的人好吗
[02216.84-02220.18] 当时大家都说的是什么,大家都说的时候说没关系
[02220.18-02224.28] 川普川的上这个鞋不是你家鞋的问题,是我脚的问题
[02224.28-02228.36] 后来的时候,直播间火爆的程度就超乌我们的想象了
[02228.36-02232.46] 就有一次直播的时候本来想的直播代货三小时结果
[02232.46-02234.50] 一个多少时,所有东西都没完了
[02234.50-02236.80] 大家都对了直播间的东西不走
[02236.80-02239.36] 小姐就说,今天的东西已经全部都没有了
[02239.36-02241.92] 什么品牌,什么什么款式都没了
[02241.92-02245.00] 如果想购买的话,下次直播间的时候再来
[02245.00-02246.76] 大家就敦在直播间里不走
[02246.76-02251.36] 甚至有网友跟官看直播的网友在那里留言说说文不走
[02251.36-02252.52] 说你们这样吧
[02252.52-02254.12] 说你们把你家一融服
[02254.12-02255.00] 上上来了
[02255.00-02256.04] 上融服练节
[02256.04-02257.12] 上融服我也买
[02257.12-02257.40] 对吧
[02257.40-02258.76] 我在家里开空调纯
[02258.76-02260.16] 然后当小姐苦调不得
[02260.16-02261.12] 是不是在网说说
[02261.12-02263.44] 那个闯人机都采贸烟了这样的情况
[02263.44-02263.92] 对吧
[02263.92-02265.24] 所以在这种情况之下
[02265.24-02267.40] 我们一方面觉得像这样的企业
[02267.40-02269.04] 确实体制了民族的信息
[02269.04-02269.88] 让我们在那一次
[02269.88-02272.16] 大灾当中看到了人间的温暖
[02272.16-02273.60] 你看到了企业的光灰
[02273.60-02278.68] 但是同时像这样的一个用一个的段子在网络上当中理由行出现了很多
[02278.68-02281.64] 我们所说的玩耿的现象 网络留生育的出现
[02281.64-02286.52] 这些网络留生育它其实是一个时代精神的一个作用
[02286.52-02288.72] 那这种情况就是原自于什么
[02288.72-02290.24] 社会存在所决定的
[02290.24-02293.60] 我们生活当中已经利用生活原去的
[02293.60-02296.00] 我们在疫情期间的可爱的大白
[02296.00-02296.48] 对吧
[02296.48-02299.40] 我们甚至看到的什么随着物家非常
[02299.40-02302.22] 能浪这一系列东西在最开始几年的时候
[02302.48-02305.02] 出现的那种什么算你很动你玩
[02305.02-02306.06] 想这种网络的游戏性
[02306.06-02308.82] 我们现在称着为叫玩耳梦的这些情况出现
[02308.94-02310.40] 它其实都是收入存在
[02310.66-02312.10] 绝定社会议舍体现
[02312.26-02315.26] 所以它最为场见和最常好的就是这个点
[02315.26-02316.30] 大家要出意
[02317.06-02318.10] 这是收入存在
[02318.34-02320.66] 绝定社会议舍大家一定要知道
[02320.90-02322.70] 那收入存在绝定社会议舍
[02322.94-02325.78] 那社会议舍作为一种精神现象
[02325.78-02327.06] 它完全不发挥作用呢
[02327.06-02331.96] 咱们学过哲学,学过变成为无主意都知道,那不可能。
[02331.96-02334.76] 所以社会议是一定会有什么,反作有。
[02334.76-02336.42] 同们看出现了什么子。
[02336.42-02341.96] 反作有,那我说了,出现反作有你要咋办,警惕一点,所以它的考察角度就两个了。
[02341.96-02346.46] 第一个就是,是不是所有的社会议是都能推动社会存在发展,
[02346.46-02348.26] 或都能阻挨社会存在发展呢?
[02348.26-02350.26] 不是,一定有好坏之分。
[02350.26-02353.66] 所以社会议是它有先进和落后之分。
[02353.66-02356.46] 所以我们说先进的社会议是会促进。
[02357.06-02360.46] 而落後的社會議是會阻礙
[02363.96-02365.88] 所以在這裡面大家要知道
[02365.88-02366.90] 這是我們所說的叫
[02366.90-02368.40] 社會存在決定
[02368.40-02371.30] 社會議是收藝時的社會存在就反作用
[02371.30-02373.46] 但是這裡面區分仙境和落後
[02373.46-02375.76] 它其實只對判斷體
[02375.76-02377.70] 或者是判斷選項有用案
[02377.70-02380.26] 但是像社會議時的社會存在的反作用
[02380.26-02382.36] 它一般請問一下考理界線題目考的
[02382.36-02383.16] 比我多
[02383.16-02386.56] 那麼來看一下社會議的反作用的具體體線
[02386.56-02388.10] 社會意識的反作用
[02388.10-02389.36] 它是社會意識的
[02390.26-02391.94] 相對獨立性的體現
[02391.94-02395.60] 這個點很少會考察到相對獨立性這幾個字
[02395.60-02398.94] 但是它可能會在相對獨立性這個上面作文章
[02398.94-02401.66] 我忘了是在哪一個地區的施單位的時候
[02401.66-02403.12] 考為非常小的點
[02403.12-02404.22] 在判斷體裡面
[02404.22-02407.12] 說社會意識它具有絕對獨立性
[02407.12-02409.42] 12它對社會存在具有反作用
[02409.42-02410.24] 大助一下
[02410.24-02412.60] 這裡不叫絕對獨立性叫相對獨立
[02412.60-02414.08] 為什麼叫相對獨立呢
[02414.08-02415.76] 在這裡想要強的就是
[02415.76-02418.58] 社会意识他所有的这些做的表现
[02418.58-02420.72] 他其实都是什么
[02420.72-02422.68] 都是有社会存在所决定的
[02422.68-02425.12] 也就是社会意识本身就来自于社会存在
[02425.12-02427.24] 所以他不可能绝对独立出去
[02427.24-02430.48] 比如说了他不可能成为一个独立的东西存在
[02430.48-02432.08] 在马上是指指的这些观点当中
[02432.08-02433.68] 所有的精神层面东西
[02433.68-02435.92] 都是有客观存在所抬生的
[02435.92-02437.12] 所以在这里大家知道
[02437.12-02438.56] 他叫相对独立性
[02438.56-02439.68] 而不叫绝对独立
[02439.68-02442.92] 这个地方只考察过一个非常小的点
[02442.92-02445.72] 但是他就在相对这个地方做了一个文章
[02445.72-02447.26] 大家这里稍微敏感一点
[02447.26-02449.10] 对它有印象出现绝对
[02449.10-02451.10] 照说是错的就可以
[02451.10-02452.76] 这种相对独立性
[02452.76-02455.12] 它一共表现在五个方面
[02455.12-02456.30] 这五个方面当中
[02456.30-02457.44] 同学们先来看一下
[02457.44-02459.26] 它的一两星期的考虑
[02459.26-02460.26] 是第二个方面
[02460.26-02461.68] 你先画咱们再讲
[02461.68-02463.64] 第三个方面
[02463.64-02464.60] 两星期
[02464.60-02465.94] 还有第四个方面
[02465.94-02466.84] 这几个点
[02466.84-02468.76] 它其实是考理解性题目
[02468.76-02470.08] 最多的地方
[02470.08-02472.28] 我们就主意来看一下最5方面
[02472.28-02473.12] 首先第一个
[02473.12-02476.36] 他說社會議事與社會存在發展的不平衡性
[02476.36-02478.28] 有社會議事與社會存在
[02478.28-02481.52] 如果我們把他認為是兩兩小車的話
[02481.52-02482.76] 小車
[02482.76-02484.96] 我也不太華車
[02484.96-02487.12] 如果我們問認為
[02487.12-02488.56] 社會存在和社會議事
[02488.56-02490.20] 他是兩兩小車的話
[02490.20-02491.60] 這個是存在
[02491.60-02492.80] 這個是社會議事
[02492.80-02494.36] 如果按照社會存在
[02494.36-02496.00] 決定社會議事來看的話
[02496.00-02497.56] 這兩兩車一定是什麼
[02497.56-02498.96] 並價期驅的
[02498.96-02500.32] 社會存在跑多快
[02500.32-02501.76] 社會議事就跑得快
[02501.76-02504.36] 但是現實生活當中是這樣嗎?不是吧?
[02504.36-02505.92] 我們會發現現實生活當中
[02505.92-02507.44] 社會預測和所有存在
[02507.44-02509.92] 並不一定永遠都是平期的
[02509.92-02511.92] 有的時候社會意識跑得快
[02511.92-02514.04] 有的時候社會意識跑得慢
[02514.04-02516.52] 這種情況之下跑得快的最重要是什麼?
[02516.52-02518.56] 就叫做先進的社會意識
[02518.56-02521.52] 跑得慢的就叫做落後的社會意識
[02521.52-02522.92] 所以我們剛才才說了
[02522.92-02526.40] 社會意識的反作有分為先進和落後之分
[02526.40-02528.84] 先進的促進落後的怎麼樣?
[02528.84-02531.36] 所以在这里面大家知道
[02531.36-02534.16] 这个叫做社会议水收存在的不平后
[02534.16-02536.96] 不平后就是不可能永远都是一包其的
[02536.96-02538.44] 有先进和落后之分
[02538.44-02542.64] 所以我再写在这就是有先进和落后之分
[02542.64-02544.96] 这个点大家知道就可以了
[02544.96-02547.36] 这是第一个点稍微了解一下
[02547.36-02549.44] 第二个点它在这里面就说了
[02549.44-02551.64] 社会议是它和水有关
[02551.64-02555.04] 同时画一个词叫做与经济社会
[02555.04-02556.32] 把经济社会画出来
[02556.32-02558.88] 他說在這裡面說社會
[02558.88-02564.52] 一是與經濟社會的發展存在不完全同步性
[02564.52-02566.56] 比如說我們一般請問認為
[02566.56-02568.04] 經濟發展水平越高
[02568.04-02570.28] 這個是國家的精神靈民
[02570.28-02572.88] 數值或者這個國家的精神靈民就會怎麼樣
[02572.88-02573.48] 越好
[02573.48-02574.24] 我們一般請問
